Reg. No.,Project Name,Project Land Area (Sq Mtrs),Total Open Area (Sq Mtrs),Project Address,Project End Date,Type,Total Units,Total No. of Towers/Blocks,Promoter name,Promoter Type,Total no. Of Years Of Work Experience Of Group Entity In Gujarat,Total no. Of Completed Projects By Group Entity,Architect Name,Pool Avaliable,Disposal Of Sewage Water Avaliable,Lift Avaliable,Garden Avaliable,Security Avaliable,Drinking Water Avaliable,Water Conservation Avaliable,Water Supply Avaliable,Renewable Energy Avaliable,Community Hall Avaliable,Fire Safety Avaliable,Road Avaliable
PR/GJ/VADODARA/VADODARA/Others/MAA12311/250923,SORRENTO ROSETTE,"10,218.35","5,687.68","SORRENTO ROSETTE, NEAR SAPTAK ROSETTE, 30M CANAL ROAD, Vadodara, Vadodara, Gujarat,",31/12/2029,Mixed Development,341,1,AVKAR BUILDTECH LLP,LIMITED LIABILITY PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA11982/200623,KAMAXI AVENUE,"9,895","2,969.39","Kamaxi avenue ,Near pearl ultima, Vadodara, Vadodara, Gujarat,",31/12/2030,Mixed Development,256,7,SIDDHANATH ENTERPRISE,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA11204/160123,AAVKAR SKYLON,"2,095.33","1,230.77","Aavkar Skylon,Opp.Balaji Square,Mother School Road, Vadodara, Vadodara, Gujarat,",31/12/2026,Mixed Development,72,2,AAVKAR INFRA,PARTNERSHIP FIRM,8,1,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA11046/171222     ,Sanvicasa 105 And Sanvi Retail Spaces,"35,483","18,697.09","Sanvicasa 105 and Sanvi Retail Spaces, Near Rajanand Dwalling,, Vadodara, Vadodara, Gujarat,",31/12/2028,Mixed Development,316,0,,,5,1,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA10853/271022         ,ULTIMA CREST,"5,747","3,543.27","NARAYAN VIDYALAYA ROAD, GURUKUL CROSS ROAD,, Vadodara, Vadodara, Gujarat,",31/12/2027,Mixed Development,223,5,KAMLESH GANDHI PROJECTS,PARTNERSHIP FIRM,1,1,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA10731/041022,SKY GATEWAY,"2,864","1,802.14","Survey No.: 1188/2/1, T.P. No.: 3, F.P. No.: 864, , Vadodara, Vadodara, Gujarat,",31/08/2026,Mixed Development,117,1,SKY DEVELOPERS,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: No,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA10716/300922,Survi Pristine,"17,234","8,535.64","Survi Pristine, Opp. Banker's Heart Hospital, , Vadodara, Vadodara, Gujarat,",31/12/2027,Mixed Development,704,6,SURVI INFRASPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,7,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA10620/020922,KAMDHENU SERENITY SKY,"4,259.08","2,552.97","TP-25, BESIDE L&T KNOWLEDGE CITY,, Vadodara, Vadodara, Gujarat,",02/06/2027,Mixed Development,151,3,KAMDHENU INFRA,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA10447/140722,Auro Infinity,"2,488.65",748.45,"Auro Infinity Billabong School, Vadodara, Vadodara, Gujarat,",31/12/2028,Mixed Development,102,1,Shreeji Two,PARTNERSHIP FIRM,5,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA09671/050122,PARK PLATINUM,"3,240","2,052.37","T.P. 32, F.P. 95, Park Platinum, Makarpura GIDC Road, Vadodara, Vadodara, Gujarat,",31/12/2025,Mixed Development,122,3,ACCORD INFRA PROJECTS,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA09624/311221,SHANTAM HIGHLAND,"9,895","2,709.97","Shantam Highland, Beside Overbridge-Service Road, Vadodara, Vadodara, Gujarat,",31/12/2027,Mixed Development,239,3,VRAJ CREATION,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA09471/141221,SHREE RADHE SHYAM,"10,198","2,167.94","OPP PRATHNA VIHAR FLATS,, Vadodara, Vadodara, Gujarat,",31/03/2026,Mixed Development,149,3,SHREE RADHE INFRA,PARTNERSHIP FIRM,15,1,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: No,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA09364/A1M/180424/310327,DREAM VILLAS PH 2 (Named As DREAM VILLAS ELITE),"9,124","7,598.22","Dream Villas Elite, Behind Samanvay Status, Vadodara, Vadodara, Gujarat,",31/03/2027,Mixed Development,97,1,BHUMI ASSOCIATES,PARTNERSHIP FIRM,11,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA09046/140921,SHARNAM AURA,"2,297","1,300.26","""SHARNAM AURA"", NEAR DWARKA NAGARI SOCIETY,, Vadodara, Vadodara, Gujarat,",31/03/2026,Mixed Development,110,7,SHIV REALTY,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA08361/220421,ADITYA LANDMARK,"8,417","5,087.43","T.P. 5, F.P. 164, Beside Vihav Sky, Vadodara, Vadodara, Gujarat,",31/12/2025,Mixed Development,292,6,ADITYA INFRACON,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA08305/060421,PARAM BLISS,"3,639","1,863.42","Param Bliss, Next to Pushti, 30m Bill Canal road, Vadodara, Vadodara, Gujarat,",31/12/2025,Mixed Development,164,2,ANANT CORPORATION,PARTNERSHIP FIRM,3,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA08303/060421,SOLARIS PLUS,"5,035","2,679.4","SOLARIS PLUS, WAVES CLUB ROAD, NEAR BRIGHT DAY SCHOOL, Vadodara, Vadodara, Gujarat,",31/12/2025,Mixed Development,153,4,ANJANI DEVELOPERS,PARTNERSHIP FIRM,7,14,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA08279/310321,PRAKRUTI AARYA,"2,643","1,401.99","“PRAKRUTI AARYA”, Opp, Vivaah Party Plot, Vadodara, Vadodara, Gujarat,",31/12/2026,Mixed Development,131,2,SHREE ENTERPRISE,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA08178/100321,Raama Skyz,"6,920","4,843.27","Block No. 61 to 64, F.P. No. 187, Vadodara, Vadodara, Gujarat,",31/12/2025,Mixed Development,293,5,RAAMA INFRACON,PARTNERSHIP FIRM,11,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA07038/220520,SHANTANU GREEN - PLOT NO. 1,"8,620","7,870.9","Shantanu Green, Nr. Swami Narayan Tenament, Vadodara, Vadodara, Gujarat,",30/06/2025,Mixed Development,103,1,SHREEJI DEVELOPERS,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA06618/130120,SHREE KAPILESHWAR DWELLING,"7,723","4,320.47","RS 574 PAIKI 1, Vadodara, Vadodara, Gujarat,",30/05/2025,Mixed Development,356,4,SUVIDHA DEVELOPERS,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA06265/251019,SHYAMAL HEIGHTS,"11,146.34","7,048.93","SHYAMAL HEIGHTS, B/H L & T KNOWLEDGE CITY, , Vadodara, Vadodara, Gujarat,",18/01/2025,Mixed Development,567,4,RKP INVESTMENTS,PARTNERSHIP FIRM,10,8,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA06262/251019,RADHA KRISHNA HEIGHTS,"2,853","1,997.1","OPP. ESHANYA FLORANZA, YASH COMPLEX, Vadodara, Vadodara, Gujarat, 391330",30/09/2024,Mixed Development,89,2,MANGALAM CORPORATION,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA05581/EX1/020724/301124,AMARDEEP LANDMARK PHASE-I,"6,818","2,264.32","Amardeep Landmark Phase-I,Opp.Pandit Din dayal Upadhyay Nagar Gruh, Vadodara, Vadodara, Gujarat, 390019",30/11/2024,Mixed Development,261,9,AARADHYA REALITY,PARTNERSHIP FIRM,5,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA03714/161018,Narayan Greenwoods,"6,880","3,534.04","Near Pancham Luxuria, Vadodara, Vadodara, Gujarat, 391740",31/01/2024,Mixed Development,189,4,Narayan Realty Infrastructure,PARTNERSHIP FIRM,15,6,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA03285/A1M/020221,ADITYA ORBIT,"12,548","2,086.5","ADITYA ORBIT,NARAYAN VIDHYALAY ROAD, Vadodara, Vadodara, Gujarat, 390025",01/10/2023,Mixed Development,331,14,M/S BHAKTI ENTERPRISE,PARTNERSHIP FIRM,15,0,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: No,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: No,Road: Yes
PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/RN247AA10147/121122,GRAND VISSTA,"6,378","4,074.13","TP 26, FP 111/2, Surat City, Surat, GUJARAT, 395007",31/12/2027,Residential/Group Housing,168,3,VISSTA MODERN HOMES LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/RN198AA10098/A1R/200323,RAGHUVIR SHERON,"15,905.59","10,472.81","BLOCK NO 128 TO 145 PAIKY SUB PLOT No. (5+6+7)/C, Surat City, Surat, GUJARAT, 395007",31/12/2027,Residential/Group Housing,490,11,RAGHUVIR CORPORATION,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/RN194AA10094/190922,SHREEPAD INSPIRE,"7,376","5,655.12","FP-7, NR. DREAM FESTIVA RESTAURANT, Surat City, Surat, GUJARAT, 395009",31/12/2026,Residential/Group Housing,153,3,SANKALP ENTERPRISE,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/RN15AA09915/250422,SHALIGRAM FELICITY,"6,232","4,553.9","BLOCK NO.190, F.P.NO.42, T.P.NO.10 (PAL), SURAT-2 CITY SURVEY WARD PAL (BIN KHETI), CITY SURVEY NO-NA 190/P2, , Surat City, Surat, GUJARAT, 395009",31/03/2028,Residential/Group Housing,124,4,SHALIGRAM CREATORS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/RN107AA10007/A1R/271023,DMD PARK,"10,985","8,010.02","DMD Park, RS No: 333, FP : 31, TP 29(Rundh-Vesu), Vesu, Surat, Surat City, Surat, GUJARAT, 395009",31/12/2025,Residential/Group Housing,132,9,DMD PARK,Individual/Propritorship,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/RAA14333/281024/311229,SUN SATTVAM,"2,517.15","1,683.23","BLOCK NO.174, F.P. NO.47, O.P. NO.28, T.P.S. NO. 38 (VARIYAV), AT MOJE: - VARIYAV, TA: - ADAJAN, DIST: - SURAT , Surat City, Surat, GUJARAT, 395007",31/12/2029,Residential/Group Housing,104,2,SALASAR INFRA,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/RAA13529/200524/101029,KIRAN CONCORD TOWERS,"12,626.4","8,460.97","BLOCK NO 75, OPP BHESAN CRICKET GROUND, , Surat City, Surat, GUJARAT, 395009",10/10/2029,Residential/Group Housing,280,4,ANG INFRASTRUCTURE,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/RAA12987/200224/311229,MILLENNIUM ANTARA,"20,057.25","11,720.57","MILLENNIUM ANTARA, F.P.NO.83/1, Surat City, Surat, GUJARAT, 395007",31/12/2029,Residential/Group Housing,806,16,MILLENNIUM RESIDENCY,PARTNERSHIP FIRM,25,10,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/RAA05733/A1R/310524/301124,SWAPNABHOOMI,"12,034","7,935.28","Block No. 402, F.P. 101, T.P. 26 (Abhva), Surat City, Surat, Gujarat, 395007",30/11/2024,Residential/Group Housing,408,8,GREEN BUILDER,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/SUDA/RAA12531/251023,Veer Swastik Hills,"3,885","2,602.76","VEER SWASTIK HILLS,OPP,BHULKA VIHAR,BHATHA, FP 28 , Surat City, Surat, Gujarat,",31/12/2026,Residential/Group Housing,168,4,ANANT INFRA,PARTNERSHIP FIRM,2,1,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/SUDA/RAA12269/010923,SHILALEKH IMPERIA,"4,108","2,970.93","BLOCK NO.:- 17, T.P.S. NO:- 15 (PAL), O.P. NO.:- 17, , Surat City, Surat, Gujarat,",01/06/2028,Residential/Group Housing,147,3,SHILALEKH CORPORATION,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/SUDA/RAA11888/020623,Sangini Aura,"4,502","1,629.98","Opp. Sportena Club, , Surat City, Surat, Gujarat,",30/06/2027,Residential/Group Housing,79,2,SANGINI ASSOCIATES,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/SUDA/RAA10183/110522,SHUBHAM PEARL,"9,815","7,456.87","SHUBHAM PEARL, GAURAV PATH, Surat City, Surat, Gujarat,",31/12/2030,Residential/Group Housing,330,0,,,30,9,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/SUDA/RAA06461/A1R/301122,Raghuvir Spalex,"7,150","4,863.55","T.P. 07 (Vesu - Magdalla), O.P. 47, F.P. 53, Surat City, Surat, Gujarat,",30/06/2025,Residential/Group Housing,200,5,RAGHUVIR DEVELOPERS & BUILDERS,PARTNERSHIP FIRM,17,23,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/SUDA/RAA03127/090718,SWAGAT CLIFTON,"11,047","3,202.17","BLOCK NO. 125,129, O.P. NO. 65, F.P. NO. 36, T.P. NO. 43, Surat City, Surat, Gujarat, 395007",30/04/2024,Residential/Group Housing,540,6,SWAGAT CORPORATION,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/SUDA/MAA11704/020523,SOHAM ELEGANCE A+B,"4,950","1,368.7","T.P.S NO.10 (PAL) R.S. BLOCK NO.145 , Surat City, Surat, Gujarat,",31/03/2027,Mixed Development,124,1,SOHAM BUILDCON,PARTNERSHIP FIRM,15,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/SUDA/MAA10114/290422,SHREE HARI LUXURIA,"6,412","2,389.97","R.S.NO.25, BLOCK NO.32, Surat City, Surat, Gujarat,",31/03/2029,Mixed Development,262,4,NILKANTH ENTERPRISE,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/SUDA/MAA06106/A1R/281221,"SOHAM ELEGANCE C,D+E","4,950","3,950","TP NO 10 PAL RS BLOCK NO 145 , Surat City, Surat, Gujarat, 395009",30/09/2025,Residential/Group Housing,154,2,SOHAM BUILDCON,PARTNERSHIP FIRM,15,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/Others/RAA11954/130623,Laxmi Homes,"1,048.49",628.63,"CITY SURVEY NO. 42-43,, Surat City, Surat, Gujarat,",31/03/2027,Residential/Group Housing,24,0,LAXMI DEVELOPERS,PARTNERSHIP FIRM,15,7,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/OLPAD/Surat Municipal Corporation/RAA14569/231224/311229,SANTORINI SEVEN,"8,138.91","5,970.23","MOJE: DUMAS, BLOCK NO:-585/3, T.P.S. NO:-81 (DUMAS), O.P. NO:-194, F.P. NO:-194 SUB PLOT NUMBER:-3+4, DIST: - SURAT, Olpad, Surat, GUJARAT, 394550",31/12/2029,Residential/Group Housing,154,0,PALACIO REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/CHORYASI/Surat Urban Development Authority/MAA14223/051024/311028,SHREE HARI SOLITAIRE,"5,170","3,383.63","Revenue Survey no.14/2, Block no.22, Surat City, Surat, GUJARAT, 394210",31/10/2028,Mixed Development,172,2,VARNI ENTERPRISE,PARTNERSHIP FIRM,8,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/CHORASI/SUDA/RAA10610/300822,AVADH ERCOLE,"27,039","17,033.93","T.P.S. NO: 26 (ABHVA), F.P. NO: 84 + 85/1 + 92 + 93 + 94, O.P. NO : 84 + 85/1 + 92 + 93 + 94, Chorasi, Surat, Gujarat,",31/12/2028,Residential/Group Housing,371,15,AVADH INFRABUILD,PARTNERSHIP FIRM,2,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/CHORASI/SUDA/RAA09560/261221,ORCHID GARDENIA,"11,544","8,719.97","F.P.61, T.P.9, OPP.SHAVION, Chorasi, Surat, Gujarat,",11/11/2027,Residential/Group Housing,416,17,ORCHID INFRA,PARTNERSHIP FIRM,10,6,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
