Sr.No.,Project Name,Promoter Name,Promoter Address,Project Type,Email Id,Mobile No,Project Registration No.,District,Approved on
1059,ENSTIN EVOQ,SAGA INFRACON,"Enstin Evoq, Nr. Serenity lavish, Opp. Capital-02, Science city Road, Sola, Ahmedabad. Ahmedabad 380060",Mixed Development,enstinevoq.office@gmail.com,9725021571,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08656/240621,Ahmedabad,24-06-2021
1060,ORCHID VALLEY,SAFAL GOYAL REALTY LLP,"GOYAL HOUSE, OPP KARNAVATI CLUB S G HIGHWAY Ahmedabad 380015",Mixed Development,rivierasprings.rera@gmail.com,8980013923,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA08630/170621,Ahmedabad,17-06-2021
1061,Satatya Syril,RIDDHI SIDDHI INFRA,"501, Shivalik High Street, Nr. Keshav Baug Party Plot, Ahmedabad 380015",Mixed Development,riddhisiddhiinfra686@gmail.com,9998412345,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08452/A1M/EX1/190424/300924,Ahmedabad,11-05-2021
1062,SKYVIEW,HINDVA DEVELOPERS LLP,"Sr.No. 495/3, Hindva, Next to Shantiniketan Solitaire Gangotri Circle to SP Ring Road, Nikol Ahmedabad 382350",Mixed Development,hindvaskylife@gmail.com,9825051884,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08737/080721,Ahmedabad,08-07-2021
1063,SSD Premium Living,S.S.D. INFRASTRUCTURE,45/4 NR JAI BHOLE HOMES OPP HARI ICON NANA CHILODA AHMEDABAD Ahmedabad 382330,Mixed Development,ssdinfra9071@gmail.com,7043991109,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA08745/120721,Ahmedabad,12-07-2021
1064,SHYAM SHAYONA FAIRMONT,SHYAM SHAYONA INFRASTRUCTURE LLP,"A 610, DEV AURUM, NR ANAND NAGAR CROSS ROAD SATELLITE AHMEDABAD  Ahmedabad 380015",Mixed Development,dinesh@shayona.co.in,9099919044,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA10007/A1M/160125/311225,Ahmedabad,05-04-2022
1065,HIRAMANI-61,HIRAMANI DEVELOPERS,"HIRAMANI 61, NR. SR PETROL PUMP, RING ROAD, OGNAJ,AHMEDABAD Ahmedabad 380060",Mixed Development,hiramanideveloper@gmail.com,7990493975,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08421/060521,Ahmedabad,06-05-2021
1066,WHITE PELICAN,SHILP INFRA,"WHITE PELICAN OPP VISHALA EMPIRE, SP RING ROAD, DEHGAM CIRCLE, MUTHIYA Ahmedabad 382330",Mixed Development,shilpinfra2020@gmail.com,7434988937,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08451/110521,Ahmedabad,11-05-2021
1067,Ahmed E-Bad Ark,F S DEVELOPERS,"4.9 GULZARPARK , NR. FATEHWADI BUS STOP SARKHEJ Ahmedabad 380055",Mixed Development,ahmedbadark2021@gmail.com,9723770270,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08779/160721,Ahmedabad,16-07-2021
1068,ANANTA ARISE,ANANTA BUILDCON,"F-204, PRIDE ICON, S. P . RING ROAD, NEAR SCIENCE CITY, BHADAJ CIRCLE, Ahmedabad 380060",Mixed Development,anantabuildcon181@gmail.com,9825755997,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA09308/121121,Ahmedabad,12-11-2021
1069,SWASTIK GREENS,Greens And Swastik Developers LLP,"105,Vibhusha Bunglows, Village Dhuma ,Taluka Daskroi Ahmedabad 380058",Mixed Development,swastikgreens.rera@gmail.com,9638172126,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA08514/260521,Ahmedabad,26-05-2021
1070,SATYA SANKALP SKY,NESO PROPERTIES LLP,3A GOPIKUNJ PRAGATI NAGAR GARDEN NARANPURA Ahmedabad 380013,Mixed Development,satyasankalpsky@gmail.com,9033740180,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08643/EX1/120624/311024,Ahmedabad,18-06-2021
1071,ARISTO AALAYAM,ARISTO LIFESPACES LLP,"B 901, THE CAPITAL OPP. HETARTH PARTY PLOT, SCIENCE CITY ROAD Ahmedabad 380060",Mixed Development,admin@aristolifespaces.com,9979991887,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08720/050721,Ahmedabad,05-07-2021
1072,TATSATLIFE,SHREE DEVELOPERS,"FP-319 OF TP-229, SURVEY NO. 120-A, BEHIND SARDAR DHAM, JASHPUR-KHODIYAR, AHMEDABAD, GUJARAT Ahmedabad 382481",Mixed Development,shreedevelopers120@gmail.com,9737501454,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08903/130821,Ahmedabad,13-08-2021
1073,AVALON SKYLINE,AVALON INFRASTRUCTURE,"AVALON HOUSE, BESIDE KARNAVATI CLUB S.G. HIGHWAY Ahmedabad 380051",Mixed Development,avalonskyline@gmail.com,9825014007,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08591/080621,Ahmedabad,08-06-2021
1074,DEV RESIDENCY 5,GAJANAN INFRASTRUCTURE,"708,7th floor swanik Arcade,opp vardan tower Pragatinagar,to kk nagar road ,Naranpura, Ahmedabad 380013",Mixed Development,gajananinfrastructure2020@gmail.com,9913399444,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08659/240621,Ahmedabad,24-06-2021
1075,OLIVE GREENS,GSG DEVELOPERS,"10th Floor, Safal Profitaire, Corporate Road, Opp. AUDA Garden, Prahladnagar Ahmedabad 380015",Mixed Development,olivegreens.rera@gmail.com,8980014433,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08691/300621,Ahmedabad,30-06-2021
1076,SHYPRAM SKY,PRAMUKH NIRMAN ASSETS LLP,"24, SHIVAM COMPLEX, SCIENCE CITY, SOLA, Ahmedabad 380060",Mixed Development,shypramsky@gmail.com,9099398200,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08761/130721,Ahmedabad,13-07-2021
1077,SHIVAM RESIDENCY,SHIVAM INFRACON,"Survey No. 163/1, FP 76/2, Opp. Radhe Homes Bungalows, Near R. P. Vasani School Road, Beside NIDC, Narol, Ahmedabad - 382405. Ahmedabad 382405",Mixed Development,kishor.pansuriya@yahoo.com,9979898672,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09169/111021,Ahmedabad,11-10-2021
1078,SWARNIM DHARTI,GOLDEN DHARTI INFRASTRUCTURE,"32,0, SWARNIM STONE,BEHIND MARUTINANDAN HOTEL, THALTEJ,AHMEDABAD,AHMEDABAD CITY,AHMEDABAD Ahmedabad 382110",Mixed Development,swarnimdharti@gmail.com,8980006032,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08640/170621,Ahmedabad,17-06-2021
1079,Indraprasth Saptak,DEEP BUILDERS,"10th Floor President House Opp. C.N. Vidyalaya, Ambawadi Ahmedabad 380006",Mixed Development,malav@deepgroup1980.com,9925040161,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08765/140721,Ahmedabad,14-07-2021
1080,Rajshree Elanza,RAJSHREE DEVELOPERS,"B-1301, 13th floor, BVR EK, Opp. Inder residency hotel, Near westend hostel, Ellisbridge Ahmedabad 380006",Mixed Development,devershshah@gmail.com,9978371137,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08641/170621,Ahmedabad,17-06-2021
1081,AARADHYA,AARMOR INFRABUILD,"321, ISCON ARCADE , OPP TIME SQUARE NR BODYLINE CROSS ROAD , C.G ROAD Ahmedabad 380009",Mixed Development,infrabuild@aarmorgroup.com,9879845452,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA08607/A1M/130422,Ahmedabad,11-06-2021
1082,SHIV ANANTA,SHIV BUILDCON,"Bunglow No 15, Indraprasth Bunglows B/s Nilkanth Bunglow, TP 44, Chandkheda Ahmedabad 382424",Mixed Development,shivbuildcon329@gmail.com,8000788176,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08646/180621,Ahmedabad,18-06-2021
1083,PARIJAT RESIDENCY,SHREE VALLABH INFRACON,"PARIJAT RESIDENCY, OPP. PUSHKAR BUNGLOWS,NEAR S.B FARM BEHIND H.P. CNG PUMP, NANA CHILODA Ahmedabad 382330",Mixed Development,devgramparijat@gmail.com,9099054524,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08749/120721,Ahmedabad,12-07-2021
1084,SHYAM ONE15,VEGA INFRA,"SHYAM ONE15, NEAR OM CIRCLE BEHIND RELIENCE PETROL PUMP, VASTRAL Ahmedabad 382418",Mixed Development,shyamone15@gmail.com,9624814848,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08773/150721,Ahmedabad,15-07-2021
1085,AKSHAR LUXURIA,KESHAV NARAYAN INFRACON,"1203, SHIVALIK SATYAMEV, BOPAL AMBALI JUNCTION, BOPAL Ahmedabad 380058",Mixed Development,aksharluxuria2@gmail.com,8000125330,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA09070/EX1/200922,Ahmedabad,20-09-2021
1086,AL-MASEERA RESIDENCY,J F BUILDERS,"AL-MASEERA RESIDENCY, NEAR ARKAM RESIDENCY CANAL ROAD, VATVA Ahmedabad 382440",Mixed Development,j.f.builders2019@gmail.com,9824082223,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA09454/131221,Ahmedabad,13-12-2021
1087,PAARIJAT AAMRA,ORANGE BUILDCON,"SHOP NO 1, PAARIJAT HEIGHTS, VATVA GAMDI ROAD, VATVA-1, AHMEDABAD Ahmedabad 382440",Mixed Development,obuildcon@gmail.com,8155065584,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08667/250621,Ahmedabad,25-06-2021
1088,Pushkar Residency,NEELKANTH DEVELOPERS,"Pushkar Residency, Near Shantikunj Bunglows, B/h. Vimal Park Soc., Naroda Dehgam Road, Hanspur, Ahmedabad 382330",Mixed Development,neelkanthdevelopersrera@gmail.com,7575000741,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08425/A1M/280622,Ahmedabad,07-05-2021
1089,THE MANGO,SAHIL DEVELOPERS,"THE MANGO, NEAR SARDAR PARTY PLOT S.P. RING ROAD, HANSPURA Ahmedabad 382350",Mixed Development,themango188@gmail.com,9510551992,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09369/261121,Ahmedabad,26-11-2021
1090,Prime Elegance,Om Developers,"Prime Elegance, Near Vrundavan Party Plot, Hathijan Ahmedabad 382445",Mixed Development,omdevelopersrera@gmail.com,9825008367,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08763/140721,Ahmedabad,14-07-2021
1091,ORCHID BLUES,SAFAL GOYAL REALTY LLP,"GOYAL HOUSE, OPP KARNAVATI CLUB S G HIGHWAY Ahmedabad 380015",Mixed Development,rivierasprings.rera@gmail.com,8980013923,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA08645/180621,Ahmedabad,18-06-2021
1092,Sun Footprints,SUN REALTY,"Sun Builders Group, Nr Saket 3, Sindhu Bhavan Road Bodakdev Ahmedabad 380058",Mixed Development,sunatmosphere20@gmail.com,9978932051,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Urban Development Authority/MN96AA09996/270622,Ahmedabad,27-06-2022
1093,Shubham Elite,SHUBHAMELITE DEVELOPERS LLP,"608/A, PINNACLE BUSINESS PARK, OPP. ROYAL ARCHADE, AUDA GARDEN, PRAHALADNAGAR, AHMEDABAD Ahmedabad 380015",Mixed Development,srojivadia@yahoo.com,9687620393,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA08579/070621,Ahmedabad,07-06-2021
1094,SHIVANTA,NARNARAYAN INFRASPACE,NARNARAYAN SCIENCE CITY ROAD THALTEJ SOLA AHMEDABAD Ahmedabad 380060,Mixed Development,shivanta2021@gmail.com,8000199567,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09282/031121,Ahmedabad,03-11-2021
1095,NAND VATIKA - 2,SIYA DEVELOPERS,"30, KARNAVATI RESIDENCY,OPP. SHREERAM PARK, NEW INDIA COLONY ROAD, NIKOL, AHMEDABAD. Ahmedabad 382350",Mixed Development,siyadevelopers2020@gmail.com,8160016801,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08887/090821,Ahmedabad,09-08-2021
1096,VIENZA,DWARKESH INFRACON,"F.P. – 2/2, Survey No. – 341/2, T.P. – 57 Nr. Swarnim Stone, Opp. Chharodi Village, S. G. Highway, Ahmedabad Ahmedabad 382481",Mixed Development,info.vienza@gmail.com,7227050433,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08730/070721,Ahmedabad,07-07-2021
1097,Shiv Ganesh,S G Developers,"3-4 Sachin Park Society, Jodhpur Gam Road, Satellite, Ahmedabad Ahmedabad 380015",Mixed Development,shivganeshrera@gmail.com,9978981966,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08612/140621,Ahmedabad,14-06-2021
1098,Swastik Rise,9BROTHERS REALBUILD LLP,"8, Atmajyoti, Bopal Daskroi, Ahmedabad Ahmedabad 380058",Mixed Development,swastikrise2021@gmail.com,9913134732,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09613/A1M/231023,Ahmedabad,29-12-2021
1099,RUDRA OPULENCE,SHREE NARAYAN INFRASTRUCTURE,B/1/11 GALAXY SIGNATURE OPP SHUKAN BUNGLOWS SCIENCE CITY ROAD SOLA Ahmedabad 380060,Mixed Development,infra.narayan59@gmail.com,9924108063,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA09527/231221,Ahmedabad,23-12-2021
1100,ZANKAR RESIDENCY,Hiteshbhai Doshi - Prop. of Zanzar Developers,"UL/5, HARE KRISHNA COMPLEX OPP. KOTHAWALA FLAT Ahmedabad 380006",Mixed Development,zanzardevelopers@gmail.com,9427064203,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09927/190322,Ahmedabad,19-03-2022
1101,JAI KALINDI APPRTMENT,BALAJI ASSOCIATES,"A89 GIRIVAR BUNGLOWS, RAMVADI, ISANPUR, AHMEDABAD Ahmedabad 382443",Mixed Development,balajiassociates.ahm@gmail.com,7874894949,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08914/180821,Ahmedabad,18-08-2021
1102,Zaveri Greens,ZAVERI AND COMPANY (GUJARAT) LLP,"G-12, Ground Floor, Swagat Building, Near Lal Bunglow, C.G. Road Ahmedabad 380006",Mixed Development,zaverigreens@gmail.com,9825126401,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08713/030721,Ahmedabad,03-07-2021
1103,Vaibhavlaxmi Parisar,VAIBHAVLAXMI CONSTRUCTION COMPANY PRIVATE LIMITED,"SR.3565 BLOCK-1752,PADMAVATI CEMENT ARTICLES NH-8 BAREJA CHARRASTA, BAREJA, Ahmedabad Ahmedabad 382425",Mixed Development,vaibhavlaxmiccpl@yahoo.com,9824032400,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA08757/120721,Ahmedabad,12-07-2021
1104,GANESH HEIGHTS,GANESH INFRA,"19-20 SACHIN PARK SOCIETY NR SUBHADA COLONY JODHPUR GAM ROAD, SATELLITE, GUJARAT INDIA Ahmedabad 380015",Mixed Development,ganeshinfra48@gmail.com,9377125522,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08811/EX1/210624/070525,Ahmedabad,23-07-2021
1105,SHREE RADHE REPOSE,SHREEJI INFRA,"BLOCK NO 15B, T. P. S. NO 75, F P NO. 43/2, NEAR HANSPURA BUS STAND, NARODA DEHGAM ROAD, HANSPURA, Ahmedabad 382330",Mixed Development,shreejiinfraitr@yahoo.com,7874160011,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08678/280621,Ahmedabad,28-06-2021
1106,AMAAN RESIDENCY,AMANRAJUBHAISANDHI Proprietor of Aman Infrastructure,7/57 GOVERMENT A COLONY NEAR DARIYAKHAN GHUMATT DUDHESWAR Ahmedabad 380004,Mixed Development,amaanresidency2021@gmail.com,9825011635,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08947/260821,Ahmedabad,26-08-2021
1107,MURLIDHAR SKY,SPLENDID INFRABUILD LLP,"508, ABHIJEET-1, MITHAKHALI SIX ROADS ELLISBRIDGE Ahmedabad 380006",Mixed Development,murlidharsky@gmail.com,9825024730,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09028/A1M/041023,Ahmedabad,09-09-2021
1108,RATNADEEP FLORA,RATNADEEP INFRASTRUCTURE,"SR NO-204/2, PLOT NO-93-2 T.P. NO-66 OPP S V SQUARE, NEW RANIP, AHMEDABAD. Ahmedabad 382470",Mixed Development,ratnadeepinfrastructure204@gmail.com,9727476070,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08733/070721,Ahmedabad,07-07-2021
1109,STHAPATYA RESIDENCY,SWASTIK INFRASTRUCTURE,"G F SWAR APPARTMENT 5 KIRTI COLONY, NR. USMANPURA UNDERBRIDGE , USMANPURA, AHMEDABAD. Ahmedabad 380013",Mixed Development,swastikognaj@gmail.com,9974599655,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08957/310821,Ahmedabad,31-08-2021
1110,Swastik Vivanta,VIVSWASTIK BUILDCON LLP,"G 502, Garden Residency South Bopal Village Bopal Tal Daskroi, Ahmedabad 380058",Mixed Development,swastik.vivanta.rera@gmail.com,7878814319,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA08822/A2M/160524/310324,Ahmedabad,26-07-2021
1111,SIDDHIVINAYAK HEIGHTS,VINAYAK DEVELOPERS,"Survey No. 88/5, Near HP CNG Pump, Opp. GETCO GEB, Naroda-Himmatnagar National Highway-8, Nana Chiloda, Ahmedabad 382330",Mixed Development,vinayakdev.siddhivinayakheights@gmail.com,9924155034,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09118/A1M/290923,Ahmedabad,30-09-2021
1112,SILK VALLEY,KIRTI INFRA,"7, BHAKTI BUNGLOWS S.P.RING ROAD, NIKOL, Ahmedabad 382350",Mixed Development,kirtiinfra2020@gmail.com,9825130080,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08768/140721,Ahmedabad,14-07-2021
1113,KESHAR KADAM,Jatin Gordhanbhai Patel Proprietor of Keshar Developers,"Mandir Valo Vas, Khoraj Khodiyar Ahmedabad 382421",Mixed Development,kesharkadam6373@gmail.com,9825225244,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08767/A1M/060822,Ahmedabad,14-07-2021
1114,MALBAR PRIME,DHANANI DEVELOPERS,"6, SHREE KAMDURGA CO OP HOU SOCI PART-2, NR ANKUR CHAR RASTA, NARANPURA Ahmedabad 380013",Mixed Development,malbarprime@hotmail.com,9106835726,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08889/100821,Ahmedabad,10-08-2021
1115,BINORI AARNA,PRAKALP INFRASTRUCTURE,"378/1, OPPOSITE HATHISING WADI NEAR NEPTUNE HOUSE, ISKON AMBLI BRTS ROAD, Ahmedabad 380058",Mixed Development,binoriaarna240@gmail.com,9586958600,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08725/A1M/200622,Ahmedabad,05-07-2021
1116,RASHMI NIRVANA & RASHMI SOUTH PARK,RASHMI CORPORATION,"209, AKSHAT COMPLEX NR. PAKWAN CROSS ROAD Ahmedabad 380054",Mixed Development,rashminirvana009@gmail.com,9909977185,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09062/170921,Ahmedabad,17-09-2021
1117,RUDRAM SKYVUE,RUDRAM BUILDCON LLP,"Sur. No. 384, Plot No. 66/1, T.P. No 30, Rudram Icon Opp. Shayona Arcade, Opp. Silver Oak College, Gota Ahmedabad 382481",Mixed Development,rudramskyvue@gmail.com,9825316575,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08971/020921,Ahmedabad,02-09-2021
1118,SANSKAR ENCLAVE,SHILP INFRASTRUCTURE,"SANSKAR ENCLAVE TP 144 FP 182, NR SAVITA GREEN PLOT,OPP SHILP COURTYARD, CHANDKHEDA Ahmedabad 382424",Mixed Development,rrrao2122@gmail.com,8128027875,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09150/EX1/280524/300525,Ahmedabad,11-10-2021
1119,Skywalk Suyash,SADHNA REALITY,"D-9, Manthan Appartment, Opp Modi Petrol Pump, Nr Sun N Step Club, Sal Hospital Road, Ghatlodiya Ahmedabad 380061",Mixed Development,skywalksuyash@gmail.com,8511119588,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08972/020921,Ahmedabad,02-09-2021
1120,ROYAL LAKEVIEW,YAMUNA DEVELOPERS,"LAND SURVEY NO.301/2, T.P.411, NEAR RIVER SIDE B/H GAMTHI-2, NANA CHILODA Ahmedabad 382330",Mixed Development,yamunadevelopers123@gmail.com,9574560065,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09329/171121,Ahmedabad,17-11-2021
1121,Rajyash Regius,RAJYASH PROCON LLP,"305-405, Mauryansh Elanza, Nr. Parikh Hospital Shyamal Cross Road, Satellite Ahmedabad 380015",Mixed Development,rera.rajyashregius@gmail.com,9099778000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09171/111021,Ahmedabad,11-10-2021
1122,MOONLIGHT RESIDENCY,M S DEVELOPERS,15 Shilp Bunglows Opp Manohar Villa Gate No 1 Nikol Naroda Road Ahmedabad Ahmedabad 382330,Mixed Development,msdevelopers777@gmail.com,9824396364,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09639/311221,Ahmedabad,31-12-2021
1123,Trident Elanzza,Ratnamani Buildspace LLP,"2/D, River View Flat, B/h. Jivabhai Mention Ashram Road Ahmedabad 380009",Mixed Development,rera.tridentexperia04@gmail.com,9537836767,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08984/A1M/290322,Ahmedabad,04-09-2021
1124,BHAKTIKUNJ HERITAGE,NILKANTH BUILDERS,32 MALBAR HILL OPP SAHIKUTIR BUNGLOWS M G ROAD NIKOL AHMEDABAD Ahmedabad 382350,Mixed Development,bhaktikunjheritage2021@gmail.com,9824603757,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA08967/A1M/230523,Ahmedabad,31-08-2021
1125,SKYWAY ELEGANCE,LOTUS DEVELOPERS,"28, SHIVDARSHAN BUNGALOWS, OPP. SHREE RAM PARK, NIKOL NARODA ROAD, NIKOL, AHMEDABAD. Ahmedabad 382330",Mixed Development,skywayelegance@gmail.com,7874503383,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA09264/EX1/050225/281225,Ahmedabad,30-10-2021
1126,BRAHMDHARA RESIDENCY,KAAMNATH DEVELOPERS,"BEHIND DADA GRAM, SURVEY NO 43/1 TP 2 SANAND Ahmedabad 382110",Mixed Development,kaamnathdevelopers@gmail.com,9328069113,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA09209/221021,Ahmedabad,22-10-2021
1127,EUREKA HEIGHTS,ANAND BUILDCON,24 TULSI RESIDENCY KRISHNA BUNGLOW ROAD CHANDLODIYA Ahmedabad 382481,Mixed Development,anandbuildcon001@gmail.com,7383702082,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09019/070921,Ahmedabad,07-09-2021
1128,SARAL REVANTA,S R CORPORATION,4 S S PARK BEHIND ALFA SHOPPING CENTER NEAR DHANJIBHAI NO KUVO GHATLODIA Ahmedabad 382481,Mixed Development,saralrevanta2021@gmail.com,8141513585,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08867/020821,Ahmedabad,02-08-2021
1129,Zion Heights,AAKANSHA DEVELOPERS PRIVATE LIMITED,"A Block, Shop No.201, Radhekrishna Resdiency & Comm. Complex Opp. Karnavati Mega Mall, Vastral, Ahmedabad Ahmedabad 382418",Mixed Development,zionheightrera2021@gmail.com,9998338855,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08881/060821,Ahmedabad,06-08-2021
1130,SHINE SWASTI,SHINE INFRA,"Block-E, Bunglow No-09, Survey No-42,46, Swarnim Villa Opp BSNL Office, S.G Highway, Chharodi Ahmedabad 382470",Mixed Development,shineinfra87@gmail.com,9913146299,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08865/020821,Ahmedabad,02-08-2021
1131,SKY LEAF,SKY INFRA,"SKY LEAF,F.P-748-1 NR. Vaishnodevicircle, Vaishnodevi Ahmedabad 382210",Mixed Development,skyleaf09rera@gmail.com,9978981966,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA09523/221221,Ahmedabad,22-12-2021
1132,ARISTO AKALPYA,Aristo Lifespaces Builders LLP,"B901, The Capital, Hetarth party plot, Science City Road, Ahmedabad 380060",Mixed Development,acc.aristolifespaces@gmail.com,9929279524,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11050/171222,Ahmedabad,17-12-2022
1133,EKTA ANTARIX,EKTA DEVELOPERS,"A-4, AYODHYANAGARI SOCIETY NR. KALASAGAR FLATS, CHENPUR ROAD, GHATLODIA Ahmedabad 382470",Mixed Development,ektadevelopers5@gmail.com,9016512217,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08866/020821,Ahmedabad,02-08-2021
1134,SWASTIK ENCLAVE,PATEL SHARMISHTHA PRAVINBHAI proprietor of Swastik Corporation,MANSI BUNGLOWS PATELVAS MANDAVI CHOWK AHMEDABAD CITY Ahmedabad 380001,Mixed Development,swastikenclave2021@gmail.com,9824028408,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08917/180821,Ahmedabad,18-08-2021
1135,HR EXETER,HR SPACECON LLP,"3/B, SATYAWADI SOC OPP. PETROL PUMP, USMANPURA, ASHRAM ROAD Ahmedabad 380013",Mixed Development,hreliseoiirera@gmail.com,9978877555,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09049/140921,Ahmedabad,14-09-2021
1136,Ananta Elegance,N B Heights,"52, Vivekanandnagar Society , Sanand, Ahmedabad Ahmedabad 382110",Mixed Development,nbheight2021@gmail.com,9909477877,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA08968/310821,Ahmedabad,31-08-2021
1137,THE CENTRIUM,WISHPARK INFRA LLP,"B.No 15,Nilkhanth Bunglows,Opp Surtodaya Bunglows Nr Gulab Tower ,Thaltej Ahmedabad 380054",Mixed Development,thecentrium.rera@gmail.com,9925599310,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA08925/A1M/030524/310725,Ahmedabad,21-08-2021
1138,United Skydale,United Amadius,"United Skydale, Near Hathijan Circle, Opp. Sadguru Heritage, New Maninagar (Vinzol) Ahmedabad 382445",Mixed Development,unitedskydalerera@gmail.com,9673672637,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08874/040821,Ahmedabad,04-08-2021
