Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING
GGM/376/108/2019/70 DATED 14.11.2019,TULIP YELLOW,TULIP INFRATECH PVT. LTD.,"SECTOR 69, VILLAGE BADSHAHPUR",GURUGRAM,207.09,245.86,77.50,0,145.94,28.61,0,6.16,0,0,0,0,0,0,7.4583 (Acre),Not available,Not available,ANTI SKID TILES CERAMIC TILES/ VITRIFIED TILES,MARBLE/GRANITE COUNTER WITH SS SINK,UPVC/ HARDWOOD,SWITCHES ONLY (NO LIGHTS & FIXTURES),"3 NOS, CAPACITY10 & 13 PERSON, KONE OR EQUIVALENT",AS ABOVE SR. NO.8,NOT APPLICABLE
GGM/402/134/2020/18 DATED 20.07.2020,SIGNATURE GLOBAL PARK V,SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE HARIYAHARA, SECTOR-36",GURUGRAM,215.36,209,93.52,0,294.42,40.40,0,0,0,0,0,0,0,297.61,10.53125 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/324/56/2019/18 DATED 01.04.2019,TULIP PURPLE PHASE 2,TULIP INFRATECH PVT. LTD.,"SECTOR-69-70, GURUGRAM",GURUGRAM,44.65,19.5,22.96,26,22,15,100,50,0,-1,0,0,0,0,17.9936 (Acre),31-12-2023,80,ANTI SKID TILES CERAMIC TILES/ VITRIFIED TILES OR EQUIVALENT,MARBLE/GRANITE COUNTER WITH SS SINK,UPVC/ HARDWOOD,SWITCHES ONLY (NO LIGHTS & FIXTURES),"2 NOS, CAPACITY10 & 13 PERSON, KONE OR EQUIVALENT",NOT APPLICABLE,PAINT FINISHES
GGM/337/69/2019/31 DATED 24.05.2019,EMAAR DIGIHOMES,EMAAR MGF LAND LIMITED,"SECTOR 62, GURUGRAM",GURUGRAM,176,131,23.13,448,102,23,84,90,1228,73,25,39,0,0,22824.29 (Sqr/mtrs),Not available,Not available,IMPORTED MARBLE / VITRIFIED TILE / LAMINATED WOODEN FLOORING,ACRYLIC EMULSION + VITRIFIED / CERAMIC TILES,FACTORY FINISHED ENGINEERED DOOR AND UPVC WINDOW AND BALCONY DOORS,MODULAR SWITCHES,S.S. FINISH INSIDE LIFT CAR,MODULAR SWITCHES,ACRYLIC EMULSION
GGM/395/127/2020/11 DATED 18.03.2020,CENTRAL PARK FLOWER VALLEY,ST. PATRICKS REALTY PVT. LTD.,"SECTOR 29, 30, 32 & 33 OF VIL
LAGE DHUNELA & BERKA, TEHSIL SOHNA, DISTRICT GURUGRAM",GURUGRAM,157,77,63,236,44,24,3,94,0,0,0,0,0,0,20.225 (Acre),Not available,Not available,PLOTTED DEVELOPMENT,NA,NA,NA,NA,NA,NA
GGM/410/142/2020/26 DATED 21.09.2020,"SOBHA CITY, PHASE-5",SOBHA LIMITED,"REVENUE ESTATE OF BABUPUR VIL
LAGE, VILLAGE BABUPUR, SECTOR-108, GURUGRAM, HARYANA",GURUGRAM,125.83,145.21,59.62,0,80.84,27.62,0,4.39,0,0,0,0,0,0,5.10183 (Acre),Not available,Not available,NATURAL / ENGINEERED STONE FLOORING AND SKIRTING/ LAMINATED WOODEN FLOORING AND SKIRTING / VITRIFIED TILE FLOORING AND SKIRTING /CERAMIC TILE.,"CERAMIC TILE FLOORING, WALL TILING & PLASTIC EMULSION PAINT FOR CEILING.",FRAME – TIMBER FRAME & SHUTTERS – WITH BOTH SIDE MASONITE SKIN.,FITTING OF REPUTED MAKE APPROVED BY ISI & IS SPECIFICATION.,CAPACITY - 1 NO. OF 15 PASSENGER & 2 NOS. OF 8 PASSENGER LIFT OF REPUTED MAKE.,NA,PLASTIC EMULSION PAINT FOR WALLS & CEILING.
GGM/506/238/2021/74 DATED 03.11.2021,SMARTWORLD ORCHARD,SUPOSHAA REALCON PRIVATE LIMITED,"SECTOR -61, GURUGRAM MANESAR
URBAN COMPLEX, GURUGRAM, HARYANA.",GURUGRAM,903.51,156.2,222.96,372.0,180.0,76.96,5.00,34.44,0,0,0,0,0,44.78,20.60902 (Acre),Not available,Not available,VITRIFIED TILE / LAMINATED WOODEN FLOORING / CERAMIC TILE,GRANITE COUNTER WITH SS SINK,HARDWOOD DOOR FRAME WITH LAMINATED FLUSH/WOODEN DOOR,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,NA
GGM/604/336/2022/79 DATED 17.08.2022,WHITELAND BLISSVILLE,WHITELAND CORPORATION PRIVATE LIMITED,SECTOR- 76,GURUGRAM,117.83,114.67,103.94,0,54.80,0,0,3.11,0,0,0,0,0,116.52,1.9256 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/816/548/2024/43 DATED 15.04.2024,WATERFALL SUITES-II,KRISUMI CORPORATION PVT. LTD.,SECTOR- 36A,GURUGRAM,759.00,251.00,87.00,216.48,180.00,36.00,253.00,45.00,0,0,0,0,0,0,0.7850 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/414/146/2020/30 DATED 08.10.2020,SIGNATURE GLOBAL PARK V,SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE HARIYAHARA, SECTOR-36",GURUGRAM,239.96,173.88,116.25,0,98.61,40.40,0,0,0,0,0,0,0,272.62,2.15 (Acre),Not available,Not available,NA,NA,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/413/145/2020/29 DATED 08.10.2020,SIGNATURE GLOBAL PARK IV,SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE HARIYAHARA,SECTOR-36",GURUGRAM,288.82,239.25,163.27,0,168.25,57.55,0,8.21,0,0,0,0,0,365.33,15 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/596/328/2022/71 DATED 27.07.2022,BIRLA NAVYA (ANAIKA),AVARNA PROJECTS LLP,SECTOR 63A GURUGRAM,GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8331.72 (Sqr/mtrs),Not available,Not available,MARBLE / STONE / TILES / ANTI-SKID TILES / LAMINATED / EQUIVALENT,TILES / PLASTIC PAINT / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES FOR MAIN/ INTERNAL DOORS, ANODISED / POWDER COATED FRAMES FOR EXTERNAL DOOR WINDOWS",LED FOR ONLY THE COMMON AREAS,1 COMMON LIFT / PLOT + 1 ADDITIONAL LIFT IN 4BHK AS/ LAYOUT,ISI MARKED FOR ONLY THE COMMON AREAS,NA
GGM/561/293/2022/36 DATED 16.05.2022,VATIKA INDIA NEXT (PHASE-II),VATIKA LIMITED,"VILLAGE SIHI, SHIKOHPUR, SIKA
NDERPUR BADHA, & KHERKIDAULA, SECTOR- 81-85",GURUGRAM,1624.21,1212.71,1290.54,320.00,0,303.48,242.20,505.05,0,0,50.00,0,0,0,295.406 (Acre),31-03-2029,72,NA,NA,NA,NA,NA,NA,NA
GGM/650/382/2022/125 DATED 23.12.2022,M3M ANTALYA HILLS PHASE 1,LOON LAND DEVELOPMENT LIMITED,"SECTOR 79, GURUGRAM",GURUGRAM,417.63,208.89,79.47,497.67,237.23,33.00,81.43,5.00,0,0,0,0,0,478.43,8.7111 (Acre),Not available,Not available,VITRIFIED TILES/LAMINATE WOODEN FOR BEDROOM ; ANTISKID CERAMIC TILES FOR TOILET,"VITRIFIED TILES, PLASTER AND OBD",UPVC / ALUMINIUM POWDER COATED FOR EXTERNAL,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,PLASTER AND OBD
GGM/624/356/2022/99 DATED 27.10.2022,CENTRAL PARK FLOWER VALLEY FLOORS AND VILLAS,CENTRAL PARK FLOWER VALLEY,"VILLAGE DHUNELA & BERKA, SECT
OR-29,30,32 AND 33, SOHNA",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4938 (Acre),Not available,Not available,VITRIFIED TILES,ANTI SKID TILES,"FLUSH DOOR WITH VINEER / LAMINATED EQUIVALENT , PERLITE DOORS",A RATED,MITSUBISHI OR EQUIVALENT,A RATED,WHITE
GGM/620/352/2022/95 DATED 19.10.2022,"SOBHA CITY, PHASE-6",SOBHA LIMITED,"REVENUE ESTATE OF BABUPUR VIL
LAGE, VILLAGE BABUPUR, SECTOR-108, GURUGRAM, HARYANA",GURUGRAM,204.03,235.46,96.68,0,131.08,44.78,0,6.82,0,0,0,0,0,0,16.3995 (Acre),Not available,Not available,NATURAL / ENGINEERED STONE FLOORING AND SKIRTING/ LAMINATED WOODEN FLOORING AND SKIRTING / VITRIFIED TILE FLOORING AND SKIRTING /CERAMIC TILE,"CERAMIC TILE FLOORING, WALL TILING & PLASTIC EMULSION PAINT FOR CEILING",FRAME – TIMBER FRAME & SHUTTERS – WITH BOTH SIDE MASONITE SKIN,FITTING OF REPUTED MAKE APPROVED BY ISI & IS SPECIFICATION,3 LIFTS IN EACH TOWER,FITTING OF REPUTED MAKE APPROVED BY ISI & IS SPECIFICATION,PLASTIC EMULSION PAINT FOR WALLS & CEILING
GGM/828/560/2024/55 DATED 27.05.2024,SOBHA ALTUS,SOBHA LIMITED,"REVENUE ESTATE OF VILLAGE PAW
ALA KHUSRUPUR, SECTOR-106, GURUGRAM",GURUGRAM,133.47,320.44,74.62,0,165.64,12.69,0,8.32,2319.33,0,0,0,0,0,5.51 (Acre),Not available,Not available,CERAMIC/VITRIFIED,CERAMIC/VITRIFIED,ALUMINIUM/UPVC/GLASS,"SWITCHES, SOCKET, SWITCH BOARD, SWITCH BOARD BOXES,MCB, EXHAUST FAN",SCHINDLER/KONE/OTIS/EQUIVALENT,"SWITCHES, SOCKET, SWITCH BOARD, SWITCH BOARD BOXES,MCB, EXHAUST FAN",PLASTIC EMULSION
GGM/295/2018/27 DATED 29.11.2018,JOYVILLE GURUGRAM-I,JOYVILLE SHAPOORJI HOUSING PVT LTD,"VILLAGE-KHERKI MAJRA, SECTOR-
102, TEHSIL-GURUGRAM, DISTRICT-GURUGRAM, HARYANA",GURUGRAM,37,10,15,20,37,10,37,0,0,0,0,0,0,0,0.97 (Acre),Not available,Not available,VITRIFIED OR LAMINATED WOODEN FLOORING OR CERAMIC TILE.,KITCHEN COUNTER TOP – BLACK GRANITE. SINK – S.S. SINK WITHOUT DRAINBOARD.,DOOR FRAME : RED MIRANTI WITH PAINT WINDOW FRAME : ALUMINIUM - POWDER - COATED,ALL SWITCHES AND SOCKETS WILL BE OF MODULAR TYPE - ANCHOR ROMA OR EQUIVALENT,2NOS. PASSENGER AND 1 NOS. SERVICE ELEVATOR,ALL SWITCHES AND SOCKETS WILL BE OF MODULAR TYPE - ANCHOR ROMA OR EQUIVALENT,AS ABOVE DETAILED.
GGM/694/426/2023/38 DATED 02.02.2023,WESTERLIES PHASE-2,EXPERION DEVELOPERS PRIVATE LIMITED,SECTOR 108,GURUGRAM,1305.98,397.91,194.97,0,303.11,71.24,0,27.44,0,0,0,0,0,0,44.178 (Acre),22-03-2018,100,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
GGM/735/467/2023/79 DATED 24.07.2023,THE ANTALYAS,NAVRAJ INFRATECH PVT LTD,SECTOR 37 D,GURUGRAM,216.99,164.50,132.80,0,111.05,50.00,8.58,9.67,0,0,0,0,0,0,5.43 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES/ ITALIAN STONE,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,ACRLYLIC EMULSION
GGM/598/330/2022/73 DATED 01.08.2022,WHITELAND BLISSVILLE,WHITELAND CORPORATION PRIVATE LIMITED,SECTOR- 76,GURUGRAM,117.83,114.67,103.94,0,153.6,16.85,0,3.11,0,0,0,0,0,116.52,7.3187 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/821/553/2024/48 DATED 29.04.2024,M3M ALTITUDE,MANGLAM MULTIPLEX PRIVATE LIMITED,"SECTOR 65, GURUGRAM",GURUGRAM,321.19,127.03,80.30,369.37,144.54,32.12,205.88,64.24,0.00,0.00,0.00,0.00,0.00,0.00,2.79 (Acre),Not available,Not available,LAMINATED WOODEN FLOORING / VITRIFIED TILES / CERAMIC TILE,"STONE OVER KITCHEN COUNTER, SS SINK","""MAIN DOOR - MODULAR DOORS WITH HARDWARES. BED ROOMS / TOILETS / KITCHEN DOORS: - MODULAR DOORS WITH HARDWARES.""",COMMON AREA LIGHT FIXTURES,HIGH SPEED ELEVATORS (PASSENGER & SERVICE),COMMON AREA LIGHT FIXTURES,AS STATED ABOVE
GGM/531/263/2022/06 DATED 02.02.2022,M3M CAPITAL,UNION BUILDMART PRIVATE LIMITED,"SECTOR -113, GURUGRAM MANESAR
URBAN COMPLEX, GURUGRAM, HARYANA.",GURUGRAM,205.11,300.32,110.33,48.38,140.06,57.68,645.85,8.36,0,0,49.48,0,0,0,4.856 (Acre),Not available,Not available,VITRIFIED TILES/LAMINATED WOODEN FLOOR/CERAMIC TILE,N.A.,EXTERNAL ALUMINIUM WITH GLASS INTERNAL – WOODEN,AS PER APPROVED MAKE,3 LIFT PER TOWER,AS PER APPROVED MAKE,NA
GGM/518/250/2021/86 DATED 20.12.2021,THE MILLENNIA-IV,STERNAL BUILDCON PRIVATE LIMITED,"VILLAGE GADAULI KALAN, SECTOR
37D, GURUGRAM-MANESAR, DIST. GURUGRAM, HARYANA",GURUGRAM,117.36,164.52,63.5,0,173.42,18.08,0,16.34,0,0,0,0,0,0,5.89 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN (DOOR FRAME), MS / ALUMINIUMN/ UPVC (WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/444/176/2021/12 DATED 22.03.2021,INDEPENDENT FLOORS AT DLF GARDENCITY SECTOR 91/92,DLF LUXURY HOMES LIMITED,"DLF GARDEN CITY, SECTOR 91 /
92,",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986 (Acre),Not available,Not available,IPS FLOORING / TILES / GRANITE,WHITE WASH / OBD,MS / AL DOORS AND WINDOWS,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTING,NA
GGM/586/318/2022/61 DATED 04.07.2022,SS LINDEN RESIDENTIAL FLOORS - II,SS GROUP PRIVATE LIMITED,"SS LINDEN, SECTOR-84",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8511 (Acre),Not available,Not available,ITALIAN MARBLE & VITRIFIED TILES,GLAZED 600MM HIGH TILES ABOVE COUNTER LEVEL & BALANCE ACRYLIC PAINT,SOLID HARDWOOD / UPVC FRAMES,MODULER TYPE,01 NO PASSENGER WITH 06 PERSONS CAPACITY,MODULER TYPE,ACRYLIC EMULSION PAINT
GGM/812/544/2024/39 DATED 08.04.2024,KRISUMI WATERSIDE RESIDENCES,KRISUMI CORPORATION PVT. LTD.,"SECTOR- 36A, GURUGRAM, HARYAN
A",GURUGRAM,2092.02,692.04,238.97,596.58,497.15,99.43,696.01,123.29,0,0,0,0,0,0,5.0951 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/818/550/2024/45 DATED 22.04.2024,PARQ,KEYWEST EDUINFRA & SERVICES PRIVATE LIMITED,"VILLAGE NAURANGPUR, SECTOR-80",GURUGRAM,164.66,429.71,83.83,60.00,107.29,32.23,41.00,8.57,2708.3,33.3,60,0,0,0,5.6 (Acre),Not available,Not available,MARBLE/ PREMIUM QUALITY TILES/ EQUIVALENT,FLOOR TILES & PAINT,DOUBLE/SINGLE GLASS,LED FIXTURES,PASSENGER/SERVICE/FIREMAN LIFT,LED FIXTURES,PAINT SURFACE
GGM/865/597/2024/92 DATED 04.09.2024,TARC ISHVA,TARC LIMITED,SECTOR 63A GURUGRAM,GURUGRAM,2055.81,710.79,258.80,2499.31,0,57.59,120.72,931.50,1740.54,185.67,60.95,0,0,0,6.9500 (Acre),Not available,Not available,TILE/WOODEN FLOORING/MARBLE,SINGLE LEVER COUNTER TOP,WINDOWS - ALUMINIUM POWDER-COATED SECTIONS AND FLUSH DOOR,FAN AND ELECTRIC POINT,2 PASSENGER LIFTS SERVING EVERY APARTMENT,"HEAVY DUTY CONDUTING MODULAR SWITCHES, C CURVE MCB",ACRYLIC EMULSION PAINT
GGM/443/175/2021/11 DATED 15.03.2021,INDEPENDENT FLOORS AT DLF GARDENCITY SECTOR 91/92,DLF UTILITIES LIMITED,"DLF GARDEN CITY, SECTOR 91 /
92,",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969 (Acre),Not available,Not available,IPS FLOORING / TILES / GRANITE,WHITE WASH / OBD,MS / AL DOORS AND WINDOWS,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTING,NA
GGM/581/313/2022/56 DATED 27.06.2022,SIGNATURE GLOBAL CITY 63A (1),SIGNATUREGLOBAL (INDIA) LIMITED,VILLAGE KADARPUR SECTOR 63,GURUGRAM,185.03,112.51,37.56,0,60.19,7.69,0,10.57,0,0,0,0,0,0,5.0125 (Acre),Not available,Not available,MARBLE / STONE I TILES I ANTI-SKID TILES / LAMINATED I EQUIVALENT,TILES / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES, ANODISED / POWDER COATED FRAMES FOR WINDOWS/ UPVC","LED FOR ONLY THE COMMON AREAS, ISI MARKED",1 LIFT / PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,OBD / TILES EQUIVALENT
GGM/579/311/2022/54 DATED 27.06.2022,ASHIANA ANMOL PHASE III & PLAZA PH II,ASHIANA HOUSING LIMITED,VILL. DHUNELA SEC 33 SOHNA,GURUGRAM,216.51,102.70,17.86,162.69,0,13.54,205.26,3.28,0,0,12.43,0,0,0,6.7879 (Acre),Not available,Not available,LIVING/ DINING / LOBBY : DOUBLE CHARGED VITRIFIED TILES BEDROOM: DOUBLE CHARGED VITRIFIED TILES KITCHEN. OF HOUSE DOUBLE CHARGED VITRIFIED TILES BATHROOM & BALCONY : CERAMIC TILES,"DOUBLE CHARGED VITRIFIED TILES, 600MM HIGH CERAMIC TILES DADO ABOVE PLATFROM AND PLASTIC PLASTIC EMULSION OF PLEASING SHADE. KITCHEN PLATFORM IN QUALITY QUARTZIGRANITE STONE WITH STAINLESS STEEL SINK WITH STAINLESS, SHINK DRAIN AND PROVISION FOR HOT AND COLD WATER SUPPLY.",FOLDED STEEL SECTION,"CONVENIENT PROVISION AND DISTRIBUTION OF LIGHTS AND ELECTRIC FITTINGS POWER PLUGS; PROVISION FOR ELECTRICAL CHIMNEY ABOVE PLATFORM, GAS PIPELINE AND WATER PURIFIER POINT IN KITCHEN.",TWO GEARLESS HIGH SPEED AUTOMATIC LIFTS IN EACH BLOCK WITH DG BACKUP.,NA,NA
GGM/612/344/2022/87 DATED 28.09.2022,M3M CAPITAL PHASE -2,UNION BUILDMART PRIVATE LIMITED,"SECTOR -113, GURUGRAM MANESAR
URBAN COMPLEX, GURUGRAM, HARYANA.",GURUGRAM,443.0,230.86,101.73,548.53,429.55,59.84,464.48,547.0,0,0,0,0,0,0,7.7139 (Acre),Not available,Not available,RETAIL (TYPICAL FLOOR)- RCC BASE SLAB OFFICE (LOBBY)FINISHED GRND FLOOR LOBBY & RCC BASE SLAB FOR TYPICLFLOOR LOBBIES. OFFICE (UNIT FLOOR FINISH) RCC BASE SLAB,N.A.,ALUMINIUM FRAME,COMMON AREAS & TOILETS TO BE PROVIDED WITH LED LIGHTFIXTURES.,STANDARD MAKE ELEVATORS,PROVISION OF CABLE UP TO DISTRIBUTION BOARD ISI /BISAPPROVED,PAINT/GLASS
GGM/626/358/2022/101 DATED 21.11.2022,ELAN THE PRESIDENTIAL,ELAN AVENUE LIMITED (FORMERLY KNOWN AS AIRMID DEVELOPERS LIMITED),"SITUATED IN SECTOR 106 IN THE
REVENUE ESTATE OF VILLAGE PAWALA KHUSRUPUR TEHSIL KADIPUR DISTRICT GURUGRAM, HARYANA",GURUGRAM,30.79,65.95,54.91,200,15.33,12.00,67.5,186.82,0,0,24.00,133.37,0,0,12.767 (Acre),Not available,Not available,"VITRIFIED TILE, LAMINATE WOODEN FLOORING",SINGLE LEVER COUNTER TOP,FULL HEIGHT WINDOWS- ALUMINIUM PODER COATED SECTIONS AND WOODEN FRAME WITH FLUSH DOOR WITH VENEER FINISH (ON BOTH SIDES) & ARCHITRAVES,FAN AND ELECTRIC POINT,4 LIFTS IN ONE TOWER,"HEAVY DUTY CONDUTING MODULAR SWITCHES, C CURVE MCB",PREMIUM ACRYLIC DISTEMPER
GGM/619/351/2022/94 DATED 04.10.2022,SIGNATURE GLOBAL CITY 63A(2),SIGNATUREGLOBAL (INDIA) LIMITED,"VILLAGE-KADARPUR, SECTOR-63A,
GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2395 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN (DOOR FRAME), MS / ALUMINIUMN/ UPVC (WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/670/402/2023/14 DATED 16.01.2023,GODREJ ICON TOWER 4/E AND TOWER 5/F,OASIS LANDMARKS LLP,SECTOR 88A & 89A,GURUGRAM,76.49,54.73,39.93,0,21.13,12.63,33.75,12.14,0,0,7.33,0,0,0,1.424625 (Acre),31-12-2029,0,"VITRIFIED TILE OR EQV. IN LIVING/DINING, WOODEN FLOORING OR EQV. IN BEDROOMS, ANTI-SKID TILES OR EQV. IN TOILETS, KITCHEN, BALCONY & UTILITY",GRANITE COUNTER WITH SINK AND CP FITTINGS,"TEAK FRAME IN MAIN DOOR, RED MERANDI/ FLUSH DOOR IN INTERNAL DOORS, ALUMINIUM OR EQ. FRAME WITH GLASS FOR WINDOWS & SLIDING DOOR WINDOWS",PHILLIPS OR EQUIVALENT LED LIGHTS IN COMMON AREA,STONE ARCHITRAVE AND ITALIAN MARBLE/STONE FLOORING IN CAR BODY AND GRANITE CLADDING,LED LIGHTS IN COMMON AREA,AS MENTIONED BELOW
GGM/573/305/2022/48 DATED 06.06.2022,SIGNATUEGLOBAL PARK V (2),SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE DHUNELA, SECTOR 36, S
OHNA DISTRICT,GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7756 (Acre),Not available,Not available,MARBLE / STONE I TILES I ANTI-SKID TILES / LAMINATED I EQUIVALENT,TILES / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES, ANODISED / POWDER COATED FRAMES FOR WINDOWS/ UPVC","LED FOR ONLY THE COMMON AREAS, ISI MARKED",1 LIFT / PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,OBD / TILES EQUIVALENT
GGM/665/397/2023/09 DATED 13.01.2023,SIGNATURE GLOBAL CITY 92-2,SIGNATURE INFRABUILD PVT. LTD.,"VILLAGE MEVKA, WAZIRPUR, SECT
OR-92, GURUGRAM",GURUGRAM,242.60,100.2,151.94,0,349.68,55.6,0,35.13,0,0,0,0,0,0,8.3125 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,OPEN KITCHEN,WOODEN / UPVC/ALUMIN UM,NA,OTIS/FUGITE CH,NA,NA
GGM/785/517/2024/12 DATED 09.02.2024,THE ESTATE RESIDENCES,ANANT RAJ LIMITED,SECTOR 63A GURUGRAM,GURUGRAM,86,70,80,850,90,10,400,15,0,0,60,0,0,244,5.43263 (Acre),Not available,Not available,TILES/MARBLES/GRANITE/LAMINATED WOOD,"MODULAR KITCHEN WITH APPLIANCES AS PER POINT 6.6 IN UNIT WISE SPECIFICATION, CABINE TRY AND SS SINK",MS/UVC/AL/WOOD/COMPOSITE MATERIAL,NA,BRANDED MAKE,"SWITCH BOX AND SOCKETS, HOME AUTOMATION IN SELECT AREAS AS PER DESIGN",NIL
GGM/801/533/2024/28 DATED 18.03.2024,PREMIER FLOORS,JMS INFRA REALITY PVT. LTD.,"SECTOR 95, VILLAGE-WAZIRPUR",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937 (Sqr/mtrs),Not available,Not available,CERAMIC / VITRIFIED TILES,CERAMIC TILES,"FLUSH DOORS, ALUMINIUM/UPVC","ISI MARK, COPPER & ALUMINIUM",NA,ISI MARK,PAINT
GGM/358/90/2019/52 DATED 20.09.2019,ULTIMA PHASE-II,DLF LIMITED,"VILLAGE LAKHNOLA, SECTOR 81,
GURUGRAM, HARYANA",GURUGRAM,1227,31,51,205,102,256,1102,51,1707,0,10,686,0,0,11.343 (Acre),30-11-2020,67,IPS FLOORING/ IMPORTED MARBLE,WHITE WASH/ TILES UP-TO 2’ ABOVE COUNTER & ACRYLIC EMULSION PAINT IN BALANCE AREA,"MS ANGLE & PRESSED MS DOOR FRAMES, MS Z-SECTION WINDOW FRAME, FLUSH DOOR SHUTTERS",MODULAR FITTINGS,OTIS,MODULAR FITTINGS,NA
GGM/427/159/2020/43 DATED 20.11.2020,SIGNATURE GLOBAL PARK-III,SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"1309 13TH FLOOR DR. GOPAL DAS
BHAWAN 28 BARAKHAMBA ROAD NEW DELHI 110001",GURUGRAM,200.20,188.16,83.53,0,118.23,24.29,0,15.27,0,0,0,0,0,167.13,10.55625 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/553/285/2022/28 DATED 25.04.2022,BIRLA NAVYA (DRISHA 1B),AVARNA PROJECTS LLP,SECTOR 63A GURUGRAM,GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2908.1 (Sqr/mtrs),Not available,Not available,MARBLE / STONE / TILES / ANTI-SKID TILES / LAMINATED / EQUIVALENT,TILES / PLASTIC PAINT / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES FOR MAIN/ INTERNAL DOORS, ANODISED / POWDER COATED FRAMES FOR EXTERNAL DOOR WINDOWS",LED FOR ONLY THE COMMON AREAS,1 LIFT / PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,ACRYLIC PAINT
