Project Name,Registration No.,Promoter Name,Project Address,Date of Registration
Gayatri Girija Vihar,BRERAP00371-4/480/R-167/2018,Gayatri Engicon P. Ltd.,"Plot No 753, Mohalla Panchsheel Nagar,Gola Road Nagar Parishad road, Danapur, Patna, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -753",29 Sep 2022
GAYATRI RESIDENCY,BRERAP94559-2/229/R-1798/2024,PREM SINGH,"DANAPUR SHAHJADPUR, EAST GOLA ROAD, NEAR SUBHAM MARRIAGE HALL, DANAPUR, PATNA , Block- Danapur Mauja - दानापुर District - PatnaPlot No -982P",10 Jan 2025
GAYATRIUM,BRERAP41146-2/158/R-1477/2022,ROSHAN BROTHERS INFRASTRUCTURE PVT. LTD.,"KHATA NO-445, PLOT NO-1437, MAUZA- SHEIKHPURA, SHASHTRI NAGAR POST OFFICE ROAD, BAILEY ROAD , PATNA , Block- Patna Sadar Mauja - शेखपुरा District - PatnaPlot No -1437",20 Feb 2023
GBN AAWAS,BRERAP00693-7/193/R-1493/2022,Grih Bhoomi Nirman Pvt Ltd,"IAS Colony, Bailey Road, Rupaspur, Patna 801503., Block- Danapur Mauja - धनौत District - PatnaPlot No -Mauza - Dhanaut, Thana no - 20, Khata no 64, Survey Plot no 289",30 Nov 2022
GBN EMPIRE,BRERAP00693-3/835/R-687/2019,Grih Bhoomi Nirman Pvt Ltd,"Bailey Road, Near Poddar Tiles, Rupaspur, Patna, Block- Danapur Mauja - धनौत District - PatnaPlot No -365,366",10 Jul 2019
GBN KUSUM RAJ RESIDENCY,BRERAP35655-1/86/R-1407/2022,GBN KUSUM RAJ CONSTRUCTION,"East Gola Road, Danapur, Patna, Bihar, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -853",06 Jun 2022
GBN PATLIPUTRA RESIDENCY,BRERAP00693-5/1199/R-1121/2021,Grih Bhoomi Nirman Pvt Ltd,"Vivek Vihar Colony, Near Hanuman Mandir, West of Patliputra Station, Digha Narar Road, Danapur, Patna., Block- Danapur Mauja - सिकन्दरपुर District - PatnaPlot No -113",03 Feb 2021
GBN SHANTI SATISH VILLA,BRERAP00693-4/932/R-765/2019,Grih Bhoomi Nirman Pvt Ltd,"Raghunath Path, R.P.S More, Bailey Road, Patna., Block- Danapur Mauja - सगुना District - PatnaPlot No -550,552",12 Sep 2019
GBN SKYWALK,BRERAP00693-6/168/R-1353/2022,Grih Bhoomi Nirman Pvt Ltd,"Vijay Singh Yadav Path, Near Tribhuwan School, Saguna More, Khagaul Road, Danapur, Patna 801503, Block- Danapur Mauja - आशोपुर District - PatnaPlot No -360, 362, 365, 366, 368",06 Apr 2022
GEETA ENCLAVE,BRERAP00143-2/731/R-551/2019,ABHINAV AWAS PRIVATE LIMITED,"Rustampur, Shahpur (Sikandarpur- Nasariganj), Gurdarul Road, Patna., Block- Danapur Mauja - शाहपुर District - PatnaPlot No -532(p), 611(p)",02 Apr 2019
GEETA ENCLAVE,BRERAP00143-2/731/R-551/2019,ABHINAV AWAS PRIVATE LIMITED,"Rustampur, Shahpur (Sikandarpur- Nasariganj), Gurdarul Road, Patna., Block- Danapur Mauja - शाहपुर District - PatnaPlot No -532(p), 611(p)",02 Apr 2019
GEETA ENCLAVE,BRERAP00184-3/85/R-1389/2022,SUPRIYA DEVELOPERS PRIVATE LIMITED,"AMBEDKAR PATH, ANAND VIHAR COLONY, BAILEY ROAD, PATNA , Block- Danapur Mauja - रुकनपुरा District - PatnaPlot No -588P",06 May 2022
GEETA GARDEN,BRERAP0001131-2/957/R-947/2020,BHAVYA CONSTRUCTION PVT.LTD,"CHANDRA SEKHAR NAGAR, GOLA  ROAD, PATNA , Block- Danapur Mauja - दानापुर District - PatnaPlot No -975, 976",05 May 2020
GEETA NUTAN ENCLAVE,BRERAP00186-2/1130/2020,SADHAVI BUILDERS PRIVATE LIMITED,"PLOT NO-208 P, KHATA NO-351, SHASTRI NAGAR, PATNA., Block- Patna Sadar Mauja - शेखपुरा District - PatnaPlot No -208P",12 Aug 2020
GEETA PALACE,BRERAP12502-001/13/R-1679/2024,ACCOCCA DEVELOPERS PRIVATE LIMITED,,24 Apr 2024
Geetanjali Residency,BRERAP00183-3/103/R-338/2019,Geetanjali Estate Pvt. Ltd.,"R.K.Puram Colony, Danapur-Khagaul Road, Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -739",14 Jan 2019
GEETANJALI VAIDYANATH VIHAR,BRERAP00212-1/179/R-241/2018,Geetanjali Real Tech Private Limited,"NEAR CANT ROAD USRI BAZAR DANAPUR, Block- Danapur Mauja - उसरी कला District - PatnaPlot No -06P",02 Nov 2018
Geetanjali Vatika Green City Block C and Block D,BRERAP00109-1/120/R-302/2018,GEETANJALI VATIKA PVT LTD,"Khata No. 8, Ilahibagh, Patna, Block- Sampatchak Mauja - इलाहीबाग District - PatnaPlot No -46",17 Dec 2018
Geetanjali Vatika Green City Phase 2,BRERAP00109-2/651/R-412/2019,GEETANJALI VATIKA PVT LTD,"Khata No.: 5, 8, 4, 18, Block- Sampatchak Mauja - इलाहीबाग District - PatnaPlot No -35, 46, 33, 31",07 Feb 2019
Geetanjali Vatika Green City Phase 3,BRERAP00109-3/652/R-833/2019,GEETANJALI VATIKA PVT LTD,"Khata No.: 2, 4, Block- Sampatchak Mauja - इलाहीबाग District - PatnaPlot No -6, 30",14 Nov 2019
GEN X DAFFODILS,BRERAP80740-2/161/R-1468/2022,GENXECO INFRA PRIVATE LIMITED,"NEAR VIDYA CENTRAL PUBLIC SCHOOL, JALALPUR NAHAR ROAD, KOTHWA MORE, DANAPUR, PATNA , Block- Danapur Mauja - जलालपुर District - PatnaPlot No -369,370",20 Sep 2022
GEN X ICON,BRERAP00702-1/537/R-295/2018,GEN X HOME PVT LTD,"PLOT NO 199 PART,MAUZA-SAGUNA,PATNA, Block- Danapur Mauja - सगुना District - PatnaPlot No -199 PART",14 Sep 2021
GENEVA RESIDENCY,BRERAP13549-2/72/R-1377/2022,GENEVA INFRA PRIVATE LIMITED,"MAUZA-SHEKHPURA, THANA-RAMKRISHNA NAGAR, THANA NO-111, KHATA NO-86, PLOT NO- 810-P, ANCHAL-PHULWARI, DISTRICT-PATNA., Block- Patna Sadar Mauja - शेखपुरा District - PatnaPlot No -810P",13 Apr 2022
GENX BUDDHA,BRERAP85440-1/96/R-1742/2024,GENX BUILDCON PRIVATE LIMITED,"GAYA-BODH GAYA ROAD, HARIO NEAR AIMS, GAYA , Block- Sadar Gaya Mauja - हरियो District - GayaPlot No -152",06 Aug 2024
GENX SHIVA,BRERAP00702-2/134/R-1453/2022,GEN X HOME PVT LTD,"MAUZA- KOLUHUA PAIGAMBARPUR, PARGANA- BISARA, P.S- AHIYAPUR, MUZAFFARPUR  , Block- Kanti Mauja - कोल्हुआ पैगम्बरपुर District - MuzaffarpurPlot No -2837,2838,2839",31 Aug 2022
Ghanshyam Enclave,BRERAP00036-3/113/R-58/2018,ASHIRWAD ENGICON PRIVATE LIMITED,"Mauza-Sheikhpura, Mosmo Chakaso, Pargana - Azimabad, PS-Ramkrishna Nagar, Block- Patna Sadar Mauja - शेखपुरा District - PatnaPlot No -7",26 Jun 2018
"Ghar Apna Block A, B, C and D",BRERAP00300-2/18/R-1571/2023,Nissaa Realtors Private Limited,"Mauza- Saguna, Tauzi No.-5292, Khata No.- 172, Thana No.- 23, Situated At- Bailey Road Danapur, Patna, Bihar, Block- Danapur Mauja - सगुना District - PatnaPlot No -213 P",23 May 2023
GHAR LAKSHMI MILESTONE,BRERAP00273-4/377/R-840/2019,GHAR LAKSHMI BUILDCON PRIVATE LIMITED,"PAINAL,PLOT NO.3878,3880,3881,3882,3883,33889, Block- Bihta Mauja - पैनाल District - PatnaPlot No -3878,3880,3881,3882,3883,3889,",20 Nov 2019
Gharana Tower,BRERAP00167-4/428/R-258/2018,Gharana Associate InfraPromoters Pvt. Ltd.,"mohalla Rampur, Jail Road, P.S. Rampur in the district of Gaya, Block- Sadar Gaya Mauja - रामपुर District - GayaPlot No -Khata No: 90, Plot No: 4829, 5633, 5634",23 Nov 2018
Gharonda Complex,BRERAP00113-2/156/R-1308/2022,GHARONDA BUILDCON PRIVATE LIMITED,"Gaya Sherghati Road, Paharpur, Near AT Gate., Block- Sadar Gaya Mauja - कलेर District - GayaPlot No -1122",28 Mar 2022
GHOSH ENCLAVE,RERAP12714-002/l64/R-1712/2024,SANKALP GREEN HOMES,,14 Jun 2024
GILANI TOWER,BRERAP000710-2/903/R-983/2020,TAMEER ENGINEERS PRIVATE LIMITED,"HUSSAINPUR, PHULWARI SHARIF, Block- Patna Sadar Mauja - रानीपुर District - PatnaPlot No -1166",12 Jun 2020
GIRIJA SOCIETY,BRERAP00903-1/748/R-565/2019,TITANIUM HOMES PRIVATE LIMITED,"KHABRA (KIRATPUR GURDAS), Block- Musahari Mauja - खबङा District - MuzaffarpurPlot No -134, 135",05 Apr 2019
Gita Residency,BRERAP00034-2/550/R-399/2019,Divya Contractors & Builders Pvt Ltd,"Harisabha Road
Aamgola, Block- Musahari Mauja - महमदपुर काजी District - MuzaffarpurPlot No -151, 154 Part / 274 N",06 Feb 2019
Global Apartment Phase II,BRERAP00208-1/104/R-57/2018,Lakshya Bharti Global Infra Corporation Ltd.,"Global Colony, Chipura Panchayat, Block - Sampatchak, P. S. - Gaurichak, Patna, Block- Patna Sadar Mauja - सवलपुर District - PatnaPlot No -107 (Part)",26 Jun 2018
GLOBAL BAIDYANATH CITY,BRERAP12480-002/178/R-1638/2024,GLOBAL INFRA,,19 Jan 2024
GLOBAL KIRAN CASCADE,BRERAP00241-1/646/R-731/2019,GLOBAL INFRATECH,"VIVEK VIHAR COLONY GOLA ROAD , Block- Danapur Mauja - धनौत District - PatnaPlot No -39",19 Aug 2019
GLOBAL TOWER,BRERAP00208-004/69/R-1589/2023,Lakshya Bharti Global Infra Corporation Ltd.,,19 Jul 2023
GOA CITY,BRERAP21329-006/163/R-1633/2024,PALVIRAJ CONSTRUCTION PVT. LTD,,08 Jan 2024
GOBIND GOPAL APARTMENTS,BRERAP81137-1/03/R-1125/2021,MITTAL INFRASPACES,,18 Jan 2022
GOKUL DHAAM,BRERAP0003128-1/917/R-970/2020,WHITE TIGER INTERIO AND DEVELOPER PRIVATE LIMITED,,08 May 2020
GOKUL DHAM RESIDENCY,BRERAP12539-1/1262/R-1170/2021,KATYAYANI HOMES,"JANTA ROAD CHITKOHRA, PATNA , Block- Patna Sadar Mauja - चितकोहरा District - PatnaPlot No -2208P, 2207P, 2206P",20 Jul 2021
GOKULAM,BRERAP80303-1/854/R-733/2019,Dream Homes Creation Private Limited,"GOKULAM, NEAR RAILWAY CROSSING SARARI, Block- Danapur Mauja - सरारी District - PatnaPlot No -1601",20 Aug 2019
GOKULDHAAM RESIDENCY,BRERAP93651-1/108/R-1216/2021,ADITYA BUILDMAX PRIVATE LIMITED,"PLOT NO-1388 KH, BESIDE MAHINDRA RESIDENCY, KALI MANDIR, WARD NO-14, SIKANDARPUR, MUZAFFARPUR, Block- Musahari Mauja - सिकंदरपुर District - MuzaffarpurPlot No -1388 KH",24 Sep 2021
GOKULDHAM,BRERAP00381-1/268/R-761/2019,DOKANIA DEVELOPERS,"KRISHNA NAGAR, BANGAON ROAD, SAHARSA, Block- Kahra Mauja - सहरसा District - SaharasaPlot No -4847",12 Sep 2019
GOKULDHAM,BRERAP00618-1/455/R-272/2018,GOKULDHAM CONSTRUCTION AND BUILDERS PRIVATE LIMITED,"RANIPUR , MEHANDIGANJ, Block- Patna Sadar Mauja - रानीपुर District - PatnaPlot No -2394P",03 Dec 2018
GOKULDHAM,BRERAP33626-2/1115/R-892/2020,LOKANKARA INFRASTRUCTURE DEVELOPERS PRIVATE LIMITED,"MAUZA-KUMHRAR, THANA-AGAMKUAN, PATNA., Block- Patna Sadar Mauja - कुम्‍हरार District - PatnaPlot No -337",03 Feb 2020
GOKULDHAM CITY,BRERAP12346-001/81/R-1608/2023,SWANSGREEN INFRA PROJECT PRIVATE LIMITED,,10 Oct 2023
Gokuldham Phase-I,BRERAP00246-009/143/R-1627/2023,MAATARA HOMES AND DEVELOPERS PRIVATE LIMITED,"VILL DUBHAL PS MEDICAL, Block- Bodh Gaya Mauja - बेलाडीह District - GayaPlot No -418",15 Dec 2023
Goutam Budha Residency.,BRERAP15818-10/140/R-1454/2022,SOUMYVINAYAK CONSTRUCTION PVT.LTD,"Mauza-Bhalua, P.S-Bodhgaya, Dist-Gaya, Block- Bodh Gaya Mauja - भलुआ District - GayaPlot No -Khata no-66 New, 06 OLD, Plot No-146 New, 95 OLD",31 Aug 2022
Govind Apartment,BRERAP00409-1/281/R-373/2019,SAMBHAVI SHELTERS LIMITED,"club road, ara, near DM kothi. ara, Block- Ara Mauja - पकड़ी District - BhojpurPlot No -92 and 95",28 Jan 2019
Govind Gopal Heritage,BRERAP93815-1/1106/R-843/2019,Vindhywasini Engicon Pvt. Ltd.,"Mauza- Sri Rampur, Thana No-58, Thana- Maner, Khata No-258., Block- Maner Mauja - रामपुर दियारा District - PatnaPlot No -295 P, 301",22 Nov 2019
GRAND PLAZA,BRERAP00658-1/642/R-489/2019,SKYLINE VILLA LIMITED,"Near Malighat Chowk, Muzaffarpur., Block- Musahari Mauja - कन्हौली विशुनदत्त District - MuzaffarpurPlot No -4692/514",06 Mar 2019
GRAND SAPPHIRE,BRERAP00527-005/22/R-1680/2024,Deep Sheetal Engineers Pvt Ltd.,,24 Apr 2024
GRAVITY MALL,BRERAP00117-1/156/R-215/2018,GARDENIA NEWTECH DEVELOPERS LLP,"PLOT NO.- 294, PURANI BYPASS ROAD, MAIN ROAD KANKARBAGH, Block- Patna Sadar Mauja - लोहानीपुर District - PatnaPlot No -294(P)",14 Sep 2021
GREEN AVENUE,BRERAP00907-3/897/R-726/2019,Sidhanta Estate Pvt. Ltd.,"KUMHRAR, Block- Patna Sadar Mauja - कुम्‍हरार District - PatnaPlot No -413P",16 Aug 2019
GREEN CITY,BRERAP00954-1/655/R-684/2019,SHITAL BUILDTECH DARBHANGA,,09 Jul 2019
GREEN CITY,BRERAP00954-1/655/R-684/2019,SHITAL BUILDTECH DARBHANGA,,09 Jul 2019
GREEN GHAR,BRERAP00190-1/91/R-588/2019,GREEN GHAR INFRASTUCTURE AND CONSTRUCTION PVT LTD,"Dighara Rampur Sah, Block- Musahari Mauja - दीघरा रामपुर साह District - MuzaffarpurPlot No -2246, 2247, 2257, 2258, 2243",12 Oct 2022
GREEN GHAR EXT-01 PHASE-III,BRERAP00190-3/206/R-1531/2023,GREEN GHAR INFRASTUCTURE AND CONSTRUCTION PVT LTD,"Vill - dighra rampur sah PS- Sadar Muzaffarpur, Block- Musahari Mauja - दीघरा रामपुर साह District - MuzaffarpurPlot No -2327 , 2330, 2331",08 Feb 2023
"GREEN GHAR EXT-01, PHASE -II",BRERAP00190_012/31/R-1736/2024,GREEN GHAR INFRASTUCTURE AND CONSTRUCTION PVT LTD,,25 Jul 2024
Green Height,BRERAP00190-2/1211/R-1201/2021,GREEN GHAR INFRASTUCTURE AND CONSTRUCTION PVT LTD,"Maharani Colony Agamkua Near Old Age Home, Block- Patna Sadar Mauja - रसीयाचक District - PatnaPlot No -583, 584, 586",09 Sep 2021
GREEN HERITAGE,BRERAP01065-1/744/R-455/2019,SATYA SAI AWAS,"Raj Nagar, PGS More,Saguna , Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -694P",26 Feb 2019
GREEN HOMES PROPERTIES PVT. LTD.,BRERAP95226-1/939/R-660/2019,GREEN HOMES PROPERTIES PVT. LTD.,"GANOURI SINGH S/O LATE DWARIKA SINGH VILL - JAGANPURA, RAMKRISHNA NAGAR, PHULWARI SARIF KANKARBAGH, PATNA - 20, Block- Phulwari Sarif Mauja - जगनपुरा District - PatnaPlot No -168",13 Jun 2019
GREEN RESIDENCY,BRERAP91535-1/1174/R-1033/2020,TAJ HERITAGE BUILDCON PRIVATE LIMITED,"FEDRAL COLONY, ISOPUR, PHULWARI, PATNA, Block- Phulwari Sarif Mauja - फुलवारी District - PatnaPlot No -4159",31 Aug 2020
GREEN VATIKA,BRERAP00165-9/515/R-268/2018,GRIHVATIKA HOMES PRIVATE LIMITED,"PLOT NO 1321,THANA NO-21,KHATA N0 51,SHAJAHDPUR, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -1321",29 Nov 2018
GREEN VATIKA,BRERAP00956-1/1134/R-1126/2021,PROMINAL REALITY ASSOCIATES PRIVATE LIMITED,,08 Feb 2021
GREENS MANOR,BRERAP00198-1/254/R-107/2018,CITY GREENSS INFRASTUCTURE,"JUDEGS COLONY, NEAR RPS SCHOOL, DANAPUR, PATNA, Block- Danapur Mauja - सगुना District - PatnaPlot No -519",21 Feb 2023
Gulab Raj Complex,BRERAP00949-7/114/R-1268/2022,RAJ CONSTRUCTION,"PURANDARPUR,THANA-JAKKANPUR DIST-PATNA, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -Khata No-24 Plot No-188",09 Feb 2022
GULABI MEGA CITY APARTMENT,BRERAP12282_001/68/R-1580/2023,GULABI MEGA CONSTRUCTION PRIVATE LIMITED,,28 Jun 2023
GULMOHAR ENCLAVE,BRERAP12638-001/R-1665/2024,ALPHA INFRASTRUCTURE,,04 Apr 2024
GULZAR APARTMENT,BRERAP00472-1/308/R-265/2018,ABIDA ENGICON PRIVATE LIMITED,"ISOPUR, PHULWARISHARIF, Block- Danapur Mauja - आशोपुर District - PatnaPlot No -46/47/48/49/48A",16 Mar 2023
GUNJESHWARI APARTMENT,BRERAP00808-1/664/R-450/2019,SAI HOMES,"WARD NO 3, SANKAT MOCHAN COLONY, MADHUBANI BIHAR, Block- Rahika Mauja - कामत भवानीपुर District - MadhubaniPlot No -2676, 2677, 2678, 2679,2700, 2701, 2702, 2703, PART(OLD), 655(NEW)",20 Feb 2019
GYAN BHAWAN,BRERAP00271-1/332/R-205/2018,ELEVATION SOLUTIONS PRIVATE LIMITED,"WEST LOHANIPUR,BUDHMURTI,KADAMKUAN PATNA PLOT NO 21, Block- Patna Sadar Mauja - लोहानीपुर District - PatnaPlot No -21",04 Oct 2018
GYMS TOWER,BRERAP12553-1/1160/R-1055/2020,SAIDHAM INFRAHOMES PRIVATE LIMITED,"MAUZA-SANDANPUR, THANA-SULTANGANJ, THANA NO-11, WARD NO-18,24,40,54, DIST-PATNA, Block- Patna Sadar Mauja - संदलपुर District - PatnaPlot No -1725, 1287, 1288.",06 Nov 2020
H. B. TOWER,BRERAP25039-1/878/R-1061/2020,MAKAN PLANNERS AND DEVELOPERS PRIVATE LIMITED,"GOBINDPUR MORE, WALMI, AIIMS ROAD, PHULWARI SHARIF, Block- Patna Sadar Mauja - सलेमपुर (डुमरा) District - PatnaPlot No -721",11 Nov 2020
H2O CITY,BRERAP00031-7/91/R-1266/2022,Anshul Homes Pvt. Ltd,"MAUZA-NEORA, WARD NO-9, PARGANA-NEORA, THANA-PHULWARI, THANA NO-104, TAUZI-3102 AND BIHAR GOVERNMENT, DISTRICT-PATNA., Block- Phulwari Sarif Mauja - निहुरा District - PatnaPlot No -713, 714, 715, 721, 752, 753, 1676P",15 Mar 2022
H2O City,BRERAP00031-5/131/R-790/2019,Anshul Homes Pvt. Ltd,"H2O City, Opp. K.S College
Near Shiwala Chowk, Khagaul- Bihta Road, Danapur, Block- Bihta Mauja - नेऊरा District - PatnaPlot No -753 & 1676",21 Oct 2019
H2O CITY PHASE 3,BRERAP00031-010/172/R-1675/2024,Anshul Homes Pvt. Ltd,,12 Apr 2024
HAHARO GREENS,BRERAP93850-1/1022/R-769/2019,HAHARO INFRACON AND SERVICES PVT LTD,,13 Sep 2019
HAI TOWER,BRERAP00137-1/27/R-31/2018,MAA SHAMBHAVI ENGICON PVT. LTD.,,05 Oct 2021
HAJARI ENCLAVE,BRERAP00914-1/719/R-522/2019,M V REALCON PVT LTD,"Bazar Samiti Gola Road Patna, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -856(P),857(P)",25 Mar 2019
HALKHORI COMPLEX,BRERAP00026-3/38/R-13/2018,SRI MATESHWARI CONSTRUCTIONS,"HALKHORI COMPLEX,OPPOSITE BHARAT GAS AGENCY,RAMJI CHAK, DIGHA, PATNA, PIN CODE-800018, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -728",03 May 2018
HAPPY HOME RESIDENCY,BRERAP01033-1/712/R-505/2019,REPLICA ESTATES PVT LTD,"KHAJPURA, Block- Patna Sadar Mauja - खाजपुरा District - PatnaPlot No -499",12 Mar 2019
HARDEO KUNJ,BRERAP00460-2/1305/R-1093/2021,MAALAXMI INFRA DEVELOPERS PRIVATE LIMITED,"JALALPUR, PATNA, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -135",07 Jan 2021
HARI ENCLAVE,BRERAP00125-2/15/R-1539/2023,TRIBHUVAN AWAS PVT. LTD.,"NEW AG COLONY RK PURAM DANAPUR PATNA, Block- Danapur Mauja - जमसौत District - PatnaPlot No -2084 P",10 Mar 2023
Hari Mewa Complex,BRERAP33821-1/21/R-1180/2021,SHRI SHRI SAI CONSTRUCTION,"Mauza, Bigrahpur, Survey Thana - Phulwari Sharif, at present P.S - Jakkanpur, Thana No. 22, Tauzi No. - 131, Khata No. 15, Block- Phulwari Sarif Mauja - विग्रहपुर District - PatnaPlot No -74",10 Aug 2021
HARI NAGAR GROUP HOUSING,BRERAP00070-2/248/R-440/2019,BALPRADA BUILT PRIVATE LIMITED,"NH-98, NEAR AIIMS, BHUSAULA DANAPUR, Block- Phulwari Sarif Mauja - भुसौला दानापुर District - PatnaPlot No -42, 43, 45, 47, 48, 49, 50, 51, 55, 56, 60, 92, 93, 1330, 1345, 1346, 1347, 1348",15 Jun 2022
HARI NAGAR GROUP HOUSING TOWER 5,BRERAP51719-1/891/R-653/2019,ARIHANT CONSTECH PRIVATE LIMITED,"NH-98,NEAR AIIMS,BHUSAULA DANAPUR, Block- Phulwari Sarif Mauja - मुहम्‍मदपुर कोरजी District - PatnaPlot No -1330,1345",30 May 2019
HARI RAM HERITAGE,BRERAP04259-1/1297/R-1242/2021,SIDHI DEVELOPERS PRIVATE  LIMITED,"SURVEY PLOT NO-97,WARD N0-2/28,CIRCLE NO-6,HOLDING NO-120C OLD,323/223 SHEET NO-20 AT S P VERMA ROAD PATNA, Block- Patna Sadar Mauja - मोहर्रमपुर District - PatnaPlot No -97",25 Nov 2021
Hari Residency,BRERAP00320-1/197/R-261/2018,PRIME ENGICON PRIVATE LIMITED,"Hari Residency,
Nalanda Colony,Khajpura
Patna-800014, Block- Patna Sadar Mauja - खाजपुरा District - PatnaPlot No -593,377",28 Nov 2018
HARICHARAN COMPLEX,BRERAP25802-1/879/R-888/2020,HAWK BUILDTECH PRIVATE LIMITED,"MAUJA- SAIDPUR SALEMPUR CHATURA, VILL.- BOCHACHAK, PS- PHULWARI SHARIF, Block- Danapur Mauja - सैदपुरा District - PatnaPlot No -898, 899, 901",20 Oct 2021
HARIHAR COMPLEX,BRERAP02856-002/61/R-1760/2024,MODERN BATH PRIVATE LIMITED,,06 Sep 2024
HARIHAR ENCLAVE,BRERAP00245-1/145/R-163/2018,VIJAY KUMAR BUDHIA,"JALALPUR DANAPUR PATNA, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -113P",10 Sep 2018
HARIHAR RESIDENCY,BRERAP12472-001/167/R-1666/2024,BHUSHAN REALTORS PRIVATE LIMITED,,04 Apr 2024
"HARIHAR RESIDENCY A,B,C",BRERAP00236-1/206/R-178/2018,BALAJI TIRUPATI CONSTRUCTION PVT LTD,"SIYARAM MARGH,SHIV PURI BORING ROAD PATNA, Block- Patna Sadar Mauja - राजापुर District - PatnaPlot No -713PART,727PART",24 Sep 2018
HARILAL COMPLEX,BRERAP00530-2/716/R-1078/2020,KOSUT BUILDERS AND DEVELPOERS PVT.LTD,"MITHAPUR,KOTWALI,PATNA, Block- Patna Sadar Mauja - मीठापुर District - PatnaPlot No -17,170,171,172,173",31 Dec 2020
HARIS NAGAR,BRERAP51028-1/777/R-774/2019,AMAN REALCON PRIVATE LIMITED,,20 Sep 2019
HARSH RORAL CITY,BRERAP00083719-1/972/R-982/2020,HARSH DEVTECH PVT. LTD.,"VILL- GHURI CHAK, MAUZA- GODHNA, NEAR NEORA, DANAPUR BIHTA ROAD, THANA- BIHTA, Block- Bihta Mauja - गोढना District - PatnaPlot No -1674, 1669",12 Jun 2020
HASHMI RESIDENCY,,HONEST BUILDERS & DEVELOPERS PRIVATE LIMITED,"CHITKOHRA,NEAR EMAARAT AL- AZIZ,P.S-GARDANIBAGH PATNA 800002, Block- Patna Sadar Mauja - चितकोहरा District - PatnaPlot No -145 $ 146 (P)",29 Jan 2019
HASTINAPUR DINESH,BRERAP00123-3/489/R-710/2019,HASTINAPUR INFRATECH PVT LTD,"PHULWARI THANA GAURICHAK, Block- Sampatchak Mauja - बैरिया District - PatnaPlot No -251,254,255,256`",09 Aug 2019
HAUSLINE CITY,/BRERAP12460-001/153/R-1628/2023,HAUSLINE DEVELOPERS PRIVATE LIMITED,,27 Dec 2023
Haweli Arunabh,BRERAP00436-3/1282/R-1048/2020,Haweli Homes Pvt. Ltd.,"Mauza- Dhanaut, Thana No.- 20, Tauzi No.- 5553, Khata No.- 102, Thana- Danapur., Block- Danapur Mauja - धनौत District - PatnaPlot No -2471",30 Sep 2020
Haweli Madhuri Bibha Enclave,BRERAP00436-2/1173/R-905/2020,Haweli Homes Pvt. Ltd.,"Mauza- Saguna Raghunath Path, Thana- Danapur, Thana No.- 23, Tauzi No.-5292, Khata No.- 61, Block- Danapur Mauja - सगुना District - PatnaPlot No -518 P",17 Feb 2020
Haweli Shivgiri,BRERAP00436-1/335/R-230/2018,Haweli Homes Pvt. Ltd.,"Mauza - Mainpura, Shastri Nagar, Khata - 362 & 354, Block- Patna Sadar Mauja - मैनपुरा District - PatnaPlot No -1453, 1455",29 Oct 2018
HAYWOOD HEIGHTS,BRERAP20513-1/45/R-1373/2022,HAYWOOD REAL ESTATE PRIVATE LIMITED,"AT MAUZA TURIKHURD THANA 423 PLOT NO-529, Block- Bodh Gaya Mauja - तुरी खुर्द District - GayaPlot No -529",13 Apr 2022
HAZARI UNIVERSE,BRERAP00271-3/694/R-438/2019,ELEVATION SOLUTIONS PRIVATE LIMITED,"SOUTH OF TRIDEV MANDIR,JAGAPURA, Block- Phulwari Sarif Mauja - जगनपुरा District - PatnaPlot No -652",15 Feb 2019
HEAVEN CITY,BRERAP00715-1/928/R-760/2019,ROOF ENGICON PVT.LTD.,"ROOF ENGICON PVT LTD NEAR SARARI GUMTI, BESIDE RAMJANKI MADIR MOHAMADPUR PHULWARI PATNA, Block- Phulwari Sarif Mauja - मुहम्‍मदपुर कोरजी District - PatnaPlot No -1203",12 Sep 2019
HEAVEN HOMES,BRERAP01116-1/1221/R-1063/2020,SHAFAF CONSTRUCTION PVT LTD,"ISHOPUR RAI CHOWK, GULSHAN COLONY, BESIDE FARAH EKTA INDANE GAS GODOWN, NOHSA, PATNA  , Block- Phulwari Sarif Mauja - नोहसा District - PatnaPlot No -942 P, 943 P",24 Nov 2020
HEAVEN PALACE,BRERAP74427-4/168/R-1492/2022,GHARANA DEVELOPER,"NABIPUR GAUS, PHULWARISHARIF, Block- Phulwari Sarif Mauja - अब्‍बुपुर लोदीपुर District - PatnaPlot No -1726",22 Nov 2022
