XID,Project Name,Location,Price Range,Price per Sqft,Project Status,Configurations,Unit Sizes,Builder,Total Number of Units,Project Size,Launch Date,Completion Date,Locality,Micro Market,USP,Builder URL,Builder Experience,Ongoing Projects,Past Projects,RERA Number,Specifications,Sports Amenities,Convenience Amenities,Safety Amenities,Environment Amenities,Leisure Amenities
r412884,Olympia Panache,"Navallur, Chennai",Rs3.57 Cr - 5.12 Cr,,Well Occupied,"4, 5, 6 BHK",4623 Sq. Ft to 6789 Sq. Ft,Olympia,123 units,23 Acres,Ask for Details,30-Oct-15,Navallur,Chennai South,"Strategically located near Rajiv Gandhi Salai, OMR Road, and East Coast Road.,Promising investment opportunity with growing resale value.,Strategically located near Rajiv Gandhi Salai, OMR Road, and East Coast Road.,Promising investment opportunity with growing resale value.,Spacious apartments with laminated wooden flooring in master and bedrooms.,Ensured safety and security with 24x7 CCTV surveillance.,Fitness enthusiasts can enjoy the on-site gymnasium.",https://www.squareyards.com/olympia-projects/624/builder,15 Years Experience,11,,Delhi/Agent/0027/2017,Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Chimney; Bathroom: Premium Bath Fittings,Gymnasium; Swimming Pool; Kids' Pool; Tennis Court(s); Kids' Play Areas / Sand Pits,,24 x 7 Security,,Cafe / Coffee Bar; Sauna; Party Hall; Clubhouse; Jacuzzi
r399668,Chandrika Paradise,"Anekal, Bangalore",Price on Request,,Ready to Move,Ask for Details,1157 Sq. Ft to 2139 Sq. Ft (Saleable),Chandrika Constructions,87 units,5.27 Acres,Ask for Details,Ask for Details,Anekal,South Bangalore,,https://www.squareyards.com/chandrika-constructions-projects/16980/builder,,1,,,,,,,,
r377402,Sukhwani Hermosa Casa,"Mundhwa, Pune",Rs94.85 Lac - 1.02 Cr,"Rs10,216 Per Sq. Ft",Under Construction,"2, 3 BHK",614 Sq. Ft to 637 Sq. Ft (Carpet),Sukhwani Associates,563 units,5 Acres,Ask for Details,3-Mar-20,Mundhwa,Pune East,,https://www.squareyards.com/sukhwani-associates-projects/2275/builder,,6,8,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Ceilings: False Ceiling; Fittings & Fixtures: Air Conditioner Fittings; Kitchen-Equipments: Modular Kitchen; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Rappelling/Rock Climbing,Power Backup; Treated Water Supply; Day Care Center; Guest House; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Luxurious Clubhouse; Senior Citizen Area
r385328,Home Tree XI,"Osman Nagar, Hyderabad",Rs73.08 Lac - 92.96 Lac,"Rs5,600 Per Sq. Ft",New Launch,3 BHK,1305 Sq. Ft to 1660 Sq. Ft (Saleable),Home Tree Constructions Pvt Ltd,50 units,0.57 Acres,Ask for Details,Ask for Details,Osman Nagar,West Zone,,https://www.squareyards.com/home-tree-constructions-pvt-ltd-projects/22827/builder,,3,,REA02400000010,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; Guest House; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Intercom Facility,Normal Park / Central Green,Party Hall; Indoor Games
r303427,Vijaya Aqua Green,"Somashetti Halli, Bangalore",Rs35.45 Lac - 48.00 Lac,,Under Construction,"1, 2 BHK",650 Sq. Ft to 880 Sq. Ft (Saleable),Vijaya Enterprises,196 units,2.2 Acres,Ask for Details,Ask for Details,Somashetti Halli,North Bangalore,"Luxurious living near Outer Ring Road and Nelamangala Expressway.,Comprehensive Rera registered for enhanced credibility.,State-of-the-art gymnasium and party hall for relaxation.,Power backup and 24x7 security for peace of mind.,Rainwater harvesting for a sustainable lifestyle.",https://www.squareyards.com/vijaya-enterprises-projects/4820/builder,,1,13,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Ceilings: False Ceiling; Fittings & Fixtures: Air Conditioner Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
r394309,Pethkar Siyona,"Punawale, Pune",Rs78.00 Lac - 1.26 Cr,"Rs6,806 Per Sq. Ft",Ready to Move,"2, 3 BHK",708 Sq. Ft to 1003 Sq. Ft (Carpet),Pethkar,697 units,4.26 Acres,Ask for Details,Ask for Details,Punawale,Pimpri Chinchwad PCMC,,https://www.squareyards.com/pethkar-projects/1656/builder,,1,,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Cards Room; Clubhouse; Indoor Games
r429659,Purvanchal Royal Atlantis,"Gomti Nagar, Lucknow",Rs4.55 Cr,,New Launch,4 BHK,4730 Sq. Ft (Saleable),Purvanchal,104 units,1.74 Acres,Ask for Details,Ask for Details,Gomti Nagar,Lucknow East,,https://www.squareyards.com/purvanchal-projects/182/builder,25 Years Experience,2,17,UPRERAAGT10119,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Fittings & Fixtures: VRV AC Fittings; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Ceilings: False Ceiling, More than 9 Ft; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Kids' Play Areas / Sand Pits; Table Tennis,Power Backup; High Speed Elevators; 24*7 Water Supply; Separate Enrty /Exit Gates,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smart Card Access; Intercom Facility; Video Phone,Sewage Treatment Plant; Normal Park / Central Green,Reading Room/Library; Party Hall; Clubhouse; Indoor Games
r247113,Hero Homes,"Mohali Sector 88, Chandigarh",Rs49.92 Lac - 92.63 Lac,,Ready to Move,"2, 3 BHK",691 Sq. Ft to 1282 Sq. Ft (Carpet),Hero Realty Ltd,543 units,18.5 Acres,Ask for Details,Ask for Details,Mohali Sector 88,Mohali,,https://www.squareyards.com/hero-realty-ltd-projects/2559/builder,13 Years Experience,2,4,PBRERA-OTHER-REA0003,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen, Chimney; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Intercom Facility,Eco Friendly; Large Green Area,Mini Theatre; Party Hall; Cards Room; Clubhouse; Amphitheater; Indoor Games; Spa; Jacuzzi
r378133,Smart World Gems,"Sector 89, Gurgaon",Rs1.41 Cr - 1.81 Cr,"Rs12,749 Per Sq. Ft",Under Construction,"2, 3 BHK",1103 Sq. Ft to 1423 Sq. Ft (Saleable),Smart World Developers,2391 units,52.27 Acres,Ask for Details,Ask for Details,Sector 89,New Gurgaon,,https://www.squareyards.com/smart-world-developers-projects/10286/builder,,3,4,660/2017/307,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen, Chimney; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; Treated Water Supply; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Clubhouse; Amphitheater; Indoor Games
r427043,Casagrand Avenue Park,"Perungudi, Chennai",Price on Request,,New Launch,"2, 3, 4 BHK",1306 Sq. Ft to 2939 Sq. Ft (Saleable),Casagrand,209 units,4.01 Acres,Ask for Details,Ask for Details,Perungudi,Chennai South,,https://www.squareyards.com/casagrand-projects/9761/builder,,25,131,Delhi/Agent/0027/2017,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits; Yoga Areas,Power Backup; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance,Normal Park / Central Green,Indoor Games
r405130,Pranathi Kiara,"Tellapur, Hyderabad",Rs85.79 Lac - 1.34 Cr,"Rs6,599 Per Sq. Ft",Under Construction,"2, 3 BHK",1300 Sq. Ft to 2035 Sq. Ft (Saleable),Pranathi Constructions,360 units,3.3 Acres,Ask for Details,Ask for Details,Tellapur,West Zone,,https://www.squareyards.com/pranathi-constructions-projects/18200/builder,,1,1,REA02400000010,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Golf Putting,Power Backup; PNG; Medical Facility; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Amphitheater; Indoor Games; Luxurious Clubhouse
r396805,Prestige Glenbrook,"Whitefield, Bangalore",Rs1.39 Cr - 3.81 Cr,"Rs13,000 Per Sq. Ft",Under Construction,"2, 3, 4 BHK",1067 Sq. Ft to 2928 Sq. Ft (Saleable),Prestige,285 units,4.5 Acres,Ask for Details,Ask for Details,Whitefield,East Bangalore,"Prestigious address in Whitefield, Bangalore offers unparalleled living experience.,Just 2.5 km from I T P L Main Road, ideal for professionals.,Strategically located on Whitefield Main Road, connecting major landmarks.,Luxurious amenities like mini theatre and gymnasium for a lavish lifestyle.,Spacious apartments with vitrified tiles and oil-bound distemper, perfect for comfort and style.",https://www.squareyards.com/prestige-projects/483/builder,33 Years Experience,26,217,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Skating Rink; Rappelling/Rock Climbing,Power Backup; Pet Area; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Mini Theatre; Party Hall; Clubhouse; Amphitheater; Indoor Games; Spa; Senior Citizen Area
r423846,Ranjekar Umashankar Prasad,"Paud Road, Pune",Rs1.59 Cr - 3.09 Cr,,Under Construction,"2, 3 BHK",234 Sq. Ft to 1436 Sq. Ft (Carpet),Ranjekar Realty,4 units,0.59 Acres,Ask for Details,Ask for Details,Paud Road,Pune West,,https://www.squareyards.com/ranjekar-realty-projects/9383/builder,,9,8,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Air Conditioner Fittings; Structure: RCC Frame Structure,Gymnasium; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Normal Park / Central Green,Reading Room/Library; Indoor Games; Conference Room; High Street Retail; Senior Citizen Area
r379399,Salarpuria Sattva Ashraya,"Bidadi, Bangalore",Rs30.01 Lac - 57.25 Lac,"Rs5,760 Per Sq. Ft",Ready to Move,"1, 2, 3 BHK",521 Sq. Ft to 994 Sq. Ft (Saleable),Salarpuria Sattva Group,660 units,4.2 Acres,Ask for Details,Ask for Details,Bidadi,South Bangalore,,https://www.squareyards.com/salarpuria-sattva-group-projects/4707/builder,,3,90,PRM/KA/RERA/1251/310/AG/171114/000400,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Ceilings: False Ceiling; Bathroom: Geyser, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Rappelling/Rock Climbing,Power Backup; Treated Water Supply; Driver Area; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Reading Room/Library; Party Hall; Clubhouse; Indoor Games; Conference Room; Senior Citizen Area
r426127,Sobha Elysia,"Gift City, Ahmedabad",Rs2.50 Cr - 4.76 Cr,,New Launch,"3, 4 BHK",1817 Sq. Ft to 3462 Sq. Ft (Saleable),Sobha,572 units,2.65 Acres,Ask for Details,Ask for Details,Gift City,Gandhinagar,"Sobha Elysia: Luxurious 3 & 4 BHK apartments in Gift City, Ahmedabad.,Strategically located near Sardar Patel Ring Road and NH 8 for easy connectivity.,Experience opulent living with amenities like power backup and gymnasium.,Well-appointed interiors with oil-bound distemper finishes in master bedrooms.,Choose from spacious 3 & 4 BHK apartments with areas ranging from 1817-3462 sq. ft.,Walmart corporate office and other commercial establishments nearby, making it a prime location.",https://www.squareyards.com/sobha-projects/104/builder,24 Years Experience,17,179,CITY/AUDA/AA00022/220822R1,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,,Clubhouse; Indoor Games; Senior Citizen Area
r428472,Ruby Villa,"Rajakilpakkam, Chennai",Price on Request,,Ready to Move,Ask for Details,Ask for Details,Ruby Builders,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Rajakilpakkam,Chennai South,,https://www.squareyards.com/ruby-builders-projects/9405/builder,22 Years Experience,3,43,Delhi/Agent/0027/2017,,,,,,
r402428,NVT Mystic Garden,"Sarjapur Attibele Road, Bangalore",Rs1.86 Cr - 2.70 Cr,,Partially Ready To Move,"3, 4 BHK",1939 Sq. Ft to 2876 Sq. Ft (Saleable),NVT Quality Lifestyle,92 units,7 Acres,Ask for Details,Ask for Details,Sarjapur Attibele Road,South Bangalore,"Strategically located near Hosur Road, Bangalore.,RERA approved project with compliance guarantee.,Luxurious master bedroom flooring with vitrified tiles.,24/7 power backup for uninterrupted living.,Well-equipped gymnasium for a healthy lifestyle.",https://www.squareyards.com/nvt-quality-lifestyle-projects/5225/builder,,3,4,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Bathroom: Geyser; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green; Large Green Area,Party Hall; Indoor Games
r6414,Bibhab Riviera,"Vibhav Nagar, Agra",Price on Request,,Ready to Move,"3, 5 BHK",1380 Sq. Ft to 3000 Sq. Ft (Saleable),Bibhab Builders,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Vibhav Nagar,Agra South,,https://www.squareyards.com/bibhab-builders-projects/27298/builder,,7,,UPRERAAGT10119,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Play Areas / Sand Pits,24*7 Water Supply,24 x 7 Security; Fire Fighting Systems; Intercom Facility,,
r396136,Sigma Sapphire,"Santacruz East, Mumbai",Rs1.50 Cr - 2.15 Cr,,New Launch,"1, 2 BHK",466 Sq. Ft to 618 Sq. Ft (Carpet),Sigma Realtors India Pvt Ltd,27 units,0.12 Acres,Ask for Details,Ask for Details,Santacruz East,Mumbai Central Suburbs,,https://www.squareyards.com/sigma-realtors-india-pvt-ltd-projects/9339/builder,,3,1,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits; Yoga Areas,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Normal Park / Central Green,Indoor Games
r380454,Landcraft Dinesh Nagar,"Pilkhuwa, Hapur",Rs49.73 Lac,,Ready to Move,"1, 2 BHK",445 Sq. Ft to 975 Sq. Ft (Saleable),Landcraft,92 units,0.73 Acres,Ask for Details,Ask for Details,Ask for Details,Ask for Details,"Prime location in Pilkhuwa, connected to NH 24DelhiLucknow,Elevated living with power backup for peace of mind,Well-designed apartments with oil-bound distemper painted walls,Master bedroom features oil-bound distemper painted walls,Experience life with convenience through badminton court facility",https://www.squareyards.com/landcraft-projects/612/builder,,2,11,,Master Bedroom-Walls: Oil Bound Distemper; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure; Master Bedroom-Flooring: Ceramic Tiles; Other Bedrooms-Flooring: Ceramic Tiles,Badminton Court(s); Kids' Play Areas / Sand Pits; Volleyball; Yoga Areas; Jogging / Cycle Track,Power Backup; Attached Market; Treated Water Supply; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Normal Park / Central Green,Clubhouse; Indoor Games
r5660,Wave Estate,"Mohali Sector 82, Chandigarh",Price on Request,,Ready to Move,Ask for Details,418 Sq. Ft (Carpet),Golden Wave Infratech Pvt Ltd,43 units,255 Acres,Ask for Details,Ask for Details,Mohali Sector 82,Mohali,,https://www.squareyards.com/golden-wave-infratech-pvt-ltd-projects/6463/builder,,5,,PBRERA-OTHER-REA0003,,,,,Normal Park / Central Green,
r432717,Aparna Kanopy Tulip,"Kompally, Hyderabad",Price on Request,"Rs5,970 Per Sq. Ft",Well Occupied,"2, 3 BHK",930 Sq. Ft to 1395 Sq. Ft (Saleable),Aparna Constructions,360 units,14 Acres,Ask for Details,Ask for Details,Kompally,North Zone,,https://www.squareyards.com/aparna-constructions-projects/422/builder,23 Years Experience,14,51,REA02400000010,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Swimming Pool; Kids' Play Areas / Sand Pits,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security,Normal Park / Central Green,Clubhouse; Indoor Games
r427396,Shree Krishna CHS,"LBS Marg, Mumbai",Price on Request,,Ready to Move,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Ask for Details,LBS Marg,Mumbai Central Suburbs,,,,,,A51800000454,,,,,,
r49948,Divyansh Pratham,"Ahinsa Khand 2, Ghaziabad",Rs76.57 Lac - 1.39 Cr,"Rs6,200 Per Sq. Ft",Well Occupied,"2, 3, 4 BHK",1235 Sq. Ft to 2245 Sq. Ft,Divyansh Infraheight,209 units,Ask for Details,Ask for Details,Ask for Details,Ahinsa Khand 2,Ghaziabad City,"Fitness enthusiasts delight with gymnasium facility.,Soothing power backup for uninterrupted living.,Nearby access to Link Road Mohan Nagar Noida, NH 24, Delhi-Lucknow.,Strategically located in Ahinsa Khand 2, with modern infrastructure.,Invest in a comfortable lifestyle at Divyansh Pratham.",https://www.squareyards.com/divyansh-infraheight-projects/236/builder,14 Years Experience,1,6,UPRERAAGT10119,"Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles, Indian Marble; Kitchen-Equipments: Modular Kitchen; Bathroom: Shower Panel; Structure: RCC Frame Structure with infill brick walls",Gymnasium; Swimming Pool; Kids' Pool; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Attached Market; PNG; Treated Water Supply; Medical Facility; Driver Area; Laundromat,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Normal Park / Central Green,Reading Room/Library; Sauna; Clubhouse; Indoor Games; Conference Room; Jacuzzi
r43936,Sunteck Signia Pearl,"Bandra Kurla Complex, Mumbai",Price on Request,"Rs32,781 Per Sq. Ft",Ready to Move,4 BHK,3485 Sq. Ft to 3882 Sq. Ft (Carpet),Sunteck,8 units,0.87 Acres,Ask for Details,30-Aug-16,Bandra Kurla Complex,Mumbai Central Suburbs,"Strategically located near Santa Cruz Chembur Link Road.,Connected to Eastern Express Highway for easy commuting.,Modern apartments with seamless Power Backup convenience.,Vitrified Tiles flooring in Master Bedroom and more.,Rera approved, P51800007921, for assured property.",https://www.squareyards.com/sunteck-projects/603/builder,19 Years Experience,8,26,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Golf Simulator,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smoke/Heat Sensors; Intercom Facility; Video Phone; Emergency Rescue / Alarms,Normal Park / Central Green,Cafe / Coffee Bar; Party Hall; Clubhouse; Indoor Games
r6356,Kumar Imperial Greens,"Sector 16 Greater Noida, Greater Noida",Rs87.61 Lac - 1.56 Cr,"Rs7,816 Per Sq. Ft",Partially Ready To Move,"2, 3 BHK",1105 Sq. Ft to 1990 Sq. Ft (Saleable),Keltech,384 units,2.51 Acres,Ask for Details,30-Dec-19,Sector 16 Greater Noida,Greater Noida West,"Strategically located near Greater Noida West Link Road.,Easy access to Bisrakh Road for speedy connectivity.,Awards winning project with regulatory approval from RERA.,Unwind with comfortable amenities like power backup and state-of-art gymnasium.,Well-designed apartments with laminated wooden flooring and oil bound distemper walls.",https://www.squareyards.com/keltech-projects/264/builder,26 Years Experience,8,,UPRERAAGT10119,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Normal Park / Central Green,Party Hall; Clubhouse; Amphitheater; Indoor Games
r346761,Pardos Okas Residency,"Sushant Golf City, Lucknow",Rs63.04 Lac - 80.75 Lac,,Partially Ready To Move,"2, 3 BHK",1238 Sq. Ft to 1495 Sq. Ft (Saleable),Pardos Developers,550 units,16.62 Acres,Ask for Details,Ask for Details,Sushant Golf City,Lucknow South,,https://www.squareyards.com/pardos-developers-projects/18542/builder,,2,,UPRERAAGT10119,Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Double Bowl Sink; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; Solar Heaters; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Large Green Area,Clubhouse; Indoor Games; Spa
