Project Name,Builder Name,Project Address,Avg Price psft,Completion date,Sizes,Project Area,RERA,Project Size - Tower Count,Project Size - Unit Count,Configurations,Amenities - Count,Amenities - List,Photos Count,Videos Count,Media Count,Review Count,Builder-Established Date,Builder-Project count,Builder description,Possession Status,Launch Date,Price trends
DS Max Shresta,DS-MAX PROPERTIES PRIVATE LIMITED,"Sy No. 93, Kogilu Cross, Bellahalli, North Bangalore, Bangalore",₹5.5 K/sq.ft,"Jul, 2026",940 - 1598 sq.ft.,2 Acres,PRM/KA/RERA/1251/309/PR/220223/005748,,281,"2, 3 BHK Apartments",12,"Children's Play Area, Changing Room, Swimming Pool, Party Hall, Landscaping & Tree Planting, Gymnasium, Squash Court, Closed Car Parking, High Speed Elevators, Senior Citizen Siteout, Power Backup, +2 more",Not Found,Not Found,Not Found,0,2005,142,"DS Max Builders (DS-MAX Properties Pvt. Ltd) is an award-winning Real Estate development firm, based in Bangalore. The company is known for its innovation, quality management, attention to minute details, customer-centric approach and an uncompromising attitude towards quality in all spheres of development. Their properties come with most sought-after locations, competitive pricing and excellent services, thus making them a prestigious brand in the Real Estate industry. Over the years, the companies has grown exponentially and is expanding its sphere beyond Karnataka. Their Mantra for Excellence is “Analyse, Research, Innovate & Deliver” They have a highly qualified and competent team of professionals which has propelled their business growth to respectable heights. DS Max Builders is a one-stop solution for all housing needs - from identification of prime locations to delivering a perfect, enticing abode to our valued customers. Their quest to develop environmentally-friendly modern infrastructure is fueled by their vast understanding of the modern materials and technologies used in construction, the market niche and most importantly, understanding customers' requirements.",Under Construction,"Feb, 2023",₹5.5K/sq.ft
Sattva Ashraya,SATTVA GROUP,"Lakshmisagara, Bidadi, Mysore-Bangalore Road, Bangalore",₹6.75 K/sq.ft,"Mar, 2025",785 - 994 sq.ft.,4.2 Acres,PRM/KA/RERA/1270/302/PR/210731/004204,,660,"2, 3 BHK Apartments",12,"Grocery Shop, Swimming Pool, Skating Rink, Landscaping & Tree Planting, Fire Fighting System, Gymnasium, Medical Facilities, 24X7 Water Supply, Car Parking, Jogging Track, Gated Community, +15 more",Not Found,Not Found,Not Found,0,1986,84,"Sattva Group is one of the promising builders in the field of Real Estate. All Sattva Group constructions have the highest standards of quality through the construction process. Green initiatives, advanced engineering ensure the best standards in construction since 1986. The group mainly focuses on delivering high-quality spaces and have been powering the goals of emerging as a leading name. The builder has created unparalleled projects for its customers with all sorts of amenities and services that meet the needs. Backed by the professional team of architects and designers who plan as per the current Real Estate trend, they always seek the betterment of their clients and guide them to the best path in the property related section of matters and affairs. Sattva Group aims to be a number one Real Estate constructor in India and showcase their talent worldwide.",Ready to Move,"Oct, 2021",₹7.6K/sq.ft
Shriram Solitaire,SHRIRAM PROPERTIES,"Yelahanka, North Bangalore, Bangalore",₹8.2 K/sq.ft,Ready to Move,1045 - 1235 sq.ft.,3.09 Acres,TOR/PRM/KA/RERA/1251/309/PR/221116/000068,,,"2, 2.5 BHK Apartments",12,"Children's Play Area, Amphitheater, Yoga / Meditation Area, Barbecue Area, Gazebo, Swimming Pool, Lift(s), Landscaping & Tree Planting, Badminton Court, Table Tennis, Kid's Pool, +10 more",Not Found,Not Found,Not Found,(1 reviews),1974,111,"We are one of the leading residential real estate development companies in South India, primarily focused on the mid-market and affordable housing categories. We are among the five largest residential real estate companies in South India, including specifically in Bengaluru and Chennai, in terms of number of aggregate units launched in the calendar years 2012 to 2017 and the six months ended June 30, 2018. We are also present in the mid-market premium and luxury housing categories, commercial and office space category as well as plotted development category.

We are part of the Shriram Group, which is a prominent business group with four decades of operating history in India and a well-recognized brand in the retail financial services sector and several other industries. We believe that our relationship with the Shriram Group provides us with strong brand recall and that we benefit, and will continue to benefit, from the trust and confidence that homebuyers, lenders, financial investors, landowners, development partners, contractors and other stakeholders place in the Shriram brand and its operational history.

We commenced operations in Bengaluru in the year 2000 and, have expanded our presence to other cities in South India, i.e., Chennai, Coimbatore and Visakhapatnam. In addition, we also have presence in Kolkata in East India, where we are developing a large mixed-use project. Bengaluru and Chennai are two key markets for us. These cities are two large residential housing markets in India, contributing to approximately 31.24% of the launches and 34.22% of the sold inventory in India’s seven cities (Bengaluru, Mumbai, Delhi, Chennai, Pune, Hyderabad and Kolkata), across calendar years 2016 to 2017 and the six months ended June 30, 2018.

As of November 30, 2018, we have 25 completed projects, representing 12.86 million square feet of Saleable Area, out of which our 20 completed projects in the cities of Bengaluru and Chennai accounted for 87.69% of our Saleable Area. Further, 81.88% of our total Saleable Area for completed projects were in the mid-market category and affordable housing category (with midmarket and affordable categories accounting for 48.02% and 33.86% respectively), and the remainder in the commercial and office space and luxury housing categories, as of November 30, 2018.



PART OF THE FINANCIAL CONGLOMERATE SHRIRAM GROUP
22000+ HAPPY FAMILIES
ECONOMIC TIMES BUSINESS EXCELLENCE AWARD 2020 WINNER: DEVELOPER OF THE YEAR (RESIDENTIAL)
PRIVATE EQUITY INVESTMENT BY GLOBAL PLAYERS MITSUBISHI, TPG KOTAK, WALTON STREET CAPITAL STARWOOD CAPITAL AND TATA CAPITAL




Most Trusted Real Estate Brand
Mid-Segment Project of the Year – Codename Yuva
Customer Service Excellence Award


Developer of the Year Residential


CXO of the Year
Integrated Township Project of the Year


Best Efficient & Sustainable – Smart Real Estate Project",Ready to Move,,₹7.6K/sq.ft
DS Max Sukruth,DS-MAX PROPERTIES PRIVATE LIMITED,"Attibele, Sarjapur Road, Bangalore",₹3.77 K/sq.ft,"Feb, 2026",849 - 1352 sq.ft.,2.54 Acres,PRM/KA/RERA/1251/308/PR/280222/004739,,312,"2, 3 BHK Apartments",12,"Children's Play Area, Swimming Pool, Fire Sprinklers, Lift(s), Party Hall, 24x7 CCTV Surveillance, Gymnasium, 24X7 Water Supply, Maintenance Staff, Banquet Hall, Rain Water Harvesting, +4 more",Not Found,Not Found,Not Found,0,2005,142,"DS Max Builders (DS-MAX Properties Pvt. Ltd) is an award-winning Real Estate development firm, based in Bangalore. The company is known for its innovation, quality management, attention to minute details, customer-centric approach and an uncompromising attitude towards quality in all spheres of development. Their properties come with most sought-after locations, competitive pricing and excellent services, thus making them a prestigious brand in the Real Estate industry. Over the years, the companies has grown exponentially and is expanding its sphere beyond Karnataka. Their Mantra for Excellence is “Analyse, Research, Innovate & Deliver” They have a highly qualified and competent team of professionals which has propelled their business growth to respectable heights. DS Max Builders is a one-stop solution for all housing needs - from identification of prime locations to delivering a perfect, enticing abode to our valued customers. Their quest to develop environmentally-friendly modern infrastructure is fueled by their vast understanding of the modern materials and technologies used in construction, the market niche and most importantly, understanding customers' requirements.",Under Construction,"Feb, 2022",₹5.8 K/sq.ft
Trendsquares Ortus 3,Not Found,By TRENDSQUARE CONSTRUCTIONS,10 K - ₹10.94 K/sq.ft,"Dec, 2023",955 - 2004 sq.ft.,4.5 Acres,PRM/KA/RERA/1251/472/PR/220922/005264,,360,"2, 3 BHK Apartments",12,"Club Rooftop, Amphitheater, Reading Lounge, Internet / Wi-Fi, Cricket Pitch, Tennis Court, Spa, Swimming Pool, Skating Rink, Fountains, Gymnasium, +35 more",Not Found,Not Found,Not Found,0,15-02-2008,3,"Trendsquares is one of Bangalore's front -ranking names with over a decade-long experience in outlining the cityscape. The company is led by techno crats who have perfected the science and art of creating benchmarks of excellence. Trendsquares has, over the past decade, cemented the foundation for success in premier residential offerings to discerning clients. The company’s reputation as being the Premier Builder of choice cannot be contested, as client speak bears testimony to a lifetime of successful real estate experiences. Trendsquares sets extraordinary standards in prime realty priced exclusively for the quality conscious investor. We extend to you our time-tested tradition of integrity, quality, and reliability. It is this coming together of old values and new innovation that sets Trendsquares distinctly apart.",Ready to Move,"Jan, 2020",₹9.3K/sq.ft
Sobha Neopolis,SOBHA LIMITED,"Near Panathur Main Road, Off Marathahalli-ORR, Bangalore East , Bangalore",Not Found,"Dec, 2028",660 - 2481 sq.ft.,25 Acres (70% open),"PRM/KA/RERA/1251/446/PR/200923/006269, PRM/KA/RERA/1251/446/PR/200923/006270, PRM/KA/RERA/1251/446/PR/200923/006271, PRM/KA/RERA/1251/446/PR/220923/006282, PRM/KA/RERA/1251/446/PR/220923/006283",,1875,"1, 3, 4 BHK Apartments",12,"Children's Play Area, Amphitheater, Yoga / Meditation Area, Cricket Pitch, Tennis Court, Reflexology Park, Swimming Pool, Skating Rink, Theme Park, Landscaping & Tree Planting, 24x7 CCTV Surveillance, +9 more",Not Found,Not Found,Not Found,0,1995,254,"Sobha Limited is one of fastest growing real estate companies in India with its operations spread across 13 states and 24 cities as well as in the Middle East. It was established in 1995 and has a market value of Rs 26 billion. The developer is headquartered in Bangalore and is engaged in the development of contractual and residential projects encompassing villas, row houses, plotted development, presidential apartments, luxury and super luxury apartments. Sobha Limited has attained ISO 14001:2004 and OHSAS 18001:2007 certifications for environmental, health and safety management systems. It has bagged various awards like ‘India’s Top 10 Builders Award’ by Construction World, ‘Builder of the Year’ and ‘Most Reliable Builder Award’ by CNBC, ‘Employer of the Year Award’ by Realty Plus and ‘Top Indian Real Estate Company’ by Dun & Bradstreet. Experience and Strengths",Under Construction,"Oct, 2023",₹14.1K/sq.ft
Sanjeevini Aarna,SANJEEVINI GROUP,"Dandupalya Village, Hoskote, Bangalore East , Bangalore",₹7.46 K/sq.ft,"Dec, 2025",940 - 1680 sq.ft.,2.37 Acres (75% open),PRM/KA/RERA/1250/304/PR/170524/006887,,224,"2, 2.5, 3 BHK Apartments",12,"Waiting Lounge, Gazebo, Swimming Pool, Skating Rink, Landscaping & Tree Planting, Mini Theatre, Gymnasium, Fire Fighting System, Car Parking, 24X7 Water Supply, Jogging Track, +22 more",Not Found,Not Found,Not Found,0,6,Not Found,"Throughout our journey, commitment to our Core Values has made Sanjeevini Group the ideal building partner for Bangalore’s most forward-thinking populous. Started in 2010, Sanjeevini Group continues to be a trusted partner in the commercial, residential and hospitality sectors, with an extensive portfolio of projects throughout Bangalore, with our core cluster in and around Whitefield.

WHY SANJEEVINIGROUPS
We undertake a variety of projects for a wide range of clientele and our unique and flexible project management systems ensure that a positive outcome is achieved regardless of size or nature of the project. Our success comes from a steadfast commitment to the client’s vision, a passion for collaborative building practices, and a culture of balance, integrity, leadership and loyalty. At Sanjeevini, we transform the construction experience through creation of an environment that fosters collaboration and project team engagement.

OUR PURPOSE
To Deliver Happiness

OUR VISION
With every brick we lay, we are raising our promise of giving you the very best. We not only committed in building homes, but rather engineering lifestyles that are modeled on luxury and charm, at the same time having an aspect of practicality and ease.

OUR MISSION
Our modus operandi lies in our ability to innovate, based on a customer-devoted approach and feedback. We ensure that our clients get truly international quality and amenities in a natural eco-friendly environment. Beyond the accolades, we believe your satisfaction and approval to be our unprecedented treasures.",Under Construction,"Apr, 2024",₹7.2K/sq.ft
Sona Vistaas,SONA VALLIAPPA GROUP,"DLF New Town, Akshaya Nagar, Off Bannerghatta Road, Begur, South Bangalore, Bangalore",Not Found,"Jun, 2026",472 - 2060 sq.ft.,10 Acres,PRM/KA/RERA/1251/310/PR/171103/001748,,310,"1, 2, 2.5, 3, 3.5 BHK Apartments",12,"Amphitheater, Cricket Pitch, Gazebo, Skating Rink, Table Tennis, Concierge Service, 24X7 Water Supply, Senior Citizen Siteout, Indoor Games, Piped Gas Connection, Party Lawn, +40 more",Not Found,Not Found,Not Found,0,1938,1,"Quality upgradation is a journey and never a destination. Sona Valliappa Group, incorporated in 1938 is a multifaceted organisation today. Under the dynamic leadership of Mr. C Valliappa, the group’s Chairman, it's been 50 years of spinning success stories! Our business portfolio spans across Software and BPO, Education, Plantations, Real estate, Textiles, Logistics & Warehousing, Corporate Hospitality & Leisure. Our group runs one of the prestigious educational institutions in south India by name Sona College of Engineering which is based out of Salem, TN. Sona Valliappa Group is headquartered in Bangalore with a remarkable presence in Southern India and overseas.",Under Construction,"Aug, 2024",₹9.7K/sq.ft
Sattva Misty Charm,SATTVA GROUP,"Opposite Holiday Village Resort Standalone, Kanakapura Road, Near Talaghattapura, South Bangalore, Bangalore",₹9.97 K/sq.ft,Ready to Move in,554 - 1475 sq.ft.,10 Acres (70% open),PRM/KA/RERA/1251/310/PR/180507/001635,,797,"1, 2, 3 BHK Apartments",12,"Amphitheater, Cricket Pitch, Skating Rink, Fountains, Table Tennis, Kid's Pool, Water Softner Plant, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout, +46 more",Not Found,Not Found,Not Found,(5 reviews),1986,84,"Sattva Group is one of the promising builders in the field of Real Estate. All Sattva Group constructions have the highest standards of quality through the construction process. Green initiatives, advanced engineering ensure the best standards in construction since 1986. The group mainly focuses on delivering high-quality spaces and have been powering the goals of emerging as a leading name. The builder has created unparalleled projects for its customers with all sorts of amenities and services that meet the needs. Backed by the professional team of architects and designers who plan as per the current Real Estate trend, they always seek the betterment of their clients and guide them to the best path in the property related section of matters and affairs. Sattva Group aims to be a number one Real Estate constructor in India and showcase their talent worldwide.",Ready to Move in,"Jun, 2018",₹9.2K/sq.ft
Arvind Bel Air,ARVIND SMARTSPACES LTD,"Survey No. 52/3, Opp. KSRSAC, New Town Road, Vidyaranyapura, North Bangalore, Bangalore",₹10.54 K/sq.ft,"Jun, 2026",1132 - 1626 sq.ft.,3.7 Acres,PRM/KA/RERA/1251/472/PR/200515/003406,,334,"2, 2.5, 3 BHK Apartments",12,"Waiting Lounge, Amphitheater, Internet / Wi-Fi, Tennis Court, Gazebo, Spa, Swimming Pool, Fountains, Fire Sprinklers, Landscaping & Tree Planting, Table Tennis, +33 more",Not Found,Not Found,Not Found,0,2009,24,"Built on 80 years old legacy of the Lalbhai Group and established in year 2009, Arvind SmartSpaces Ltd. is committed to deliver a high quality experience to its customers. Were focused on creating real estate solutions that add value to lives. This reflects in the precision of our processes, the simplicity of our transactions and the thoughtfulness in everything we build. Were artisans who take great pride in the process of creation, for the joy it delivers. The company has the vision to create value for all the stake holders by redefining the standards of excellence and trust in the real estate industry. It is focused on creating real estate solutions that add value to life styles across categories. The company has established its presence in residential , commercial and land development space in a short period of time. Following the spectacular success of its projects and significant unmet demand, Arvind SmartSpaces has ambitious plans of coming up with other innovative offerings and mega projects in Ahmedabad and Bangalore catering to residential and commercial space.",Under Construction,"Jun, 2020",₹10.3K/sq.ft
Birla OJASVI,BIRLA ESTATE,"Rajarajeshwari Nagar, Bangalore",₹14.56 K - 15.93 K/sq.ft,"Jan, 2031",460 - 1387 sq.ft.,10 Acres,PRM/KA/RERA/1251/310/PR/040924/006989,,615,"1, 2, 3 BHK Apartments",12,"Waiting Lounge, Amphitheater, Reading Lounge, Sauna Bath, Spa, Reflexology Park, Skating Rink, Swimming Pool, Fire Sprinklers, Landscaping & Tree Planting, Mini Theatre, +30 more",Not Found,Not Found,Not Found,0,7,Not Found,"A renowned name in the real estate industry, Birla Estates is a wholly-owned subsidiary of Century Textiles and Industries, the flagship company of the B. K. Birla Group of Companies which has a presence across various segments, including cement, textiles, rayon yarn, pulp and paper, salt and chemicals. Birla Estates is engaged in developing the land parcels which are held by the group. The company is also engaged in joint developments and strategic tie-ups across top cities in the country.",Under Construction,"Jan, 2024",₹13.5K/sq.ft
Sri Garudadri Gardens,SRI GARUDADRI CONSTRUCTIONS,"Rajarajeshwarinagar, Bangalore",9.24 K - ₹9.89 K/sq.ft,"Jun, 2025",1000 - 1500 sq.ft.,0.72 Acres,PRM/KA/RERA/1251/310/PR/291223/006517,,56,"2, 3 BHK Apartments",12,"Children's Play Area, Solid Waste Management And Disposal, Lift(s), Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, 24x7 CCTV Surveillance, Gymnasium, Electrification(Transformer, Solar Energy etc), Car Parking, 24X7 Water Supply, Jogging Track, +8 more",Not Found,Not Found,Not Found,0,Not Found,Not Found,Not Found,Under Construction,"Sep, 2023",₹6.7 K/sq.ft
M1 Terra Alegria Phase 1,Not Found,By M1 HOMES,₹7.89 K/sq.ft,Ready to Move,1826 - 1956 sq.ft.,7.5 Acres,PRM/KA/RERA/1250/304/PR/171208/001069,,103,3 BHK Villa,12,"Amphitheater, Internet / Wi-Fi, Cricket Pitch, Tennis Court, Spa, Swimming Pool, Skating Rink, Vastu Compliant, Landscaping & Tree Planting, Gymnasium, 24X7 Water Supply, +21 more",Not Found,Not Found,Not Found,(5 reviews),2013,6,"M1 Homes is a part of the M1 Group. Besides Real Estate, the M1 Group has interests in investment advisory and philanthropy (through the M1 Foundation). Backed by an experienced team of Real Estate professionals and investors, M1 Homes is an expert at spotting hidden construction sector investment opportunities and bringing together the right set of skills to be able to fructify those into great returns. The company also invests in the opportunities that it identifies, thereby exercising a fair degree of control over the progress of the various projects. Currently focused on the Bengaluru market, M1 Homes would expand into the other major cities across India in the near future. The M1 Group has a presence in the United States and the Middle East, besides India.",Ready to Move,"Oct, 2018",₹7.6K/sq.ft
DSR Highland Greenz,DSR INFRASTRUCTURE PVT LTD,"Chikkanayakanahalli at Off Sarjapur, South Bangalore, Bangalore",₹10.74 K/sq.ft,Ready to Move,875 - 1422 sq.ft.,10.1 Acres (73% open),PRM/KA/RERA/1251/446/PR/110522/004876,,900,"2, 3 BHK Apartments",12,"Internet / Wi-Fi, Cricket Pitch, Tennis Court, Swimming Pool, Skating Rink, Fire Sprinklers, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Fire Escape Staircases, Gymnasium, Fire Fighting System, +33 more",Not Found,Not Found,Not Found,0,1988,38,"DSR Infra Projects was established with the vision of transforming the Real Estate Industry and today after the journey of so many years, its projects stand testimony to the shining excellence and brilliance in execution. Commanding an unparalleled expertise, the Group has spread its operations across South India across many Real Estate verticals, catering to various categories of clients. DSR Infra Projects repertoire has a wide array of exclusive projects which have been crafted to international standards. With diversified business interests across many portfolios, DSR Infra Projects today has achieved staggering success, thanks to its partners, associates and employees. Its success is shared and cherished among its people who work towards the common goal of a promising and prosperous future.",Ready to Move,"May, 2022",₹10.7K/sq.ft
Purva Atmosphere,PURAVANKARA LIMITED,"Near Manyata, Tech Park Rd, Thanisandra, Thanisandra Main Road, Bangalore",₹16.66 K/sq.ft,"Mar, 2025",1680 - 2010 sq.ft.,12 Acres (45% open),PRM/KA/RERA/1251/472/PR/190204/002350,,939,3 BHK Apartment,12,"Cricket Pitch, Swimming Pool, Landscaping & Tree Planting, Table Tennis, Gymnasium, Kid's Pool, Fire Fighting System, Water Softner Plant, Squash Court, Car Parking, 24X7 Water Supply, +33 more",Not Found,Not Found,Not Found,0,1975,116,"Purva Land, launched in 2021, is the dedicated arm of Puravankara Ltd. for plotted development projects. By providing the ever-appreciating benefits of land, the company aims to be India’s only aspirational plotted brand by developing themed-based communities with high-quality infrastructure and an unmatched living experience.",Ready to Move,"Dec, 2019",₹16.4K/sq.ft
JRC PALLADIO,JRC PROJECTS PVT LTD,"Near Indus International School, Sarjapur, Bangalore East , Bangalore",Not Found,"Dec, 2025",2444 - 3853 sq.ft.,30 Acres,PRM/KA/RERA/1251/308/PR/180504/001600,,378,4 BHK Villa,12,"Volleyball Court, Cricket Pitch, Spa, Table Tennis, Kid's Pool, Water Softner Plant, 24X7 Water Supply, Shopping Mall, Party Lawn, Sewage Treatment Plant, Intercom, +45 more",Not Found,Not Found,Not Found,0,2011,6,"JRC Projects is among the most admired real estate developers of India with its residential projects focussing on three life style categories – Go-Classical Homes, Go-Green Homes and Go-Smart Homes. Its projects are distinguished for their high quality construction, aesthetic appeal, functional design and optimum use of space, Green Living etc   JRC operates mainly in three strategic business verticals – Realty, Hospitality and Infrastructure which are designed to leverage inherent complementary competencies. As a result, high quality products and services are delivered at competitive prices. Synergy among business verticals has helped create new value curve by achieving both high quality and cost advantage .",Under Construction,"Jun, 2019",₹10.3K/sq.ft
CasaGrand Aquene,CASAGRAND BUILDER PRIVATE LIMITED,"SY.No 84/4, Kengeri, Bangalore",5 K - ₹11.55 K/sq.ft,"Nov, 2024",519 - 1550 sq.ft.,3.77 Acres (75% open),PRM/KA/RERA/1251/310/PR/210422/004845,,333,"1, 2, 3 BHK Apartments",12,"Waiting Lounge, Adventure club, Amphitheater, Cricket Pitch, Reflexology Park, Skating Rink, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Table Tennis, Business Suites, +22 more",Not Found,Not Found,Not Found,0,2004,159,"Casagrand Builder Private Limited is a real estate enterprise committed to building aspirations and delivering value. In the last fifteen years, we have developed over 22 million sqft of prime residential real estate across Chennai, Bengaluru, and Coimbatore. Over 18,250 happy families across 112+ landmark properties stand testimony to our commitment. In the sixteenth year of our journey, we at Casagrand are all set to progress further forward with projects worth over Rs. 8000 crores in the pipeline.",Ready to Move,"Apr, 2022",₹5.7K/sq.ft
Provident Ecopolitan Phase 1,Not Found,By PROVIDENT HOUSING LIMITED,₹9.6 K/sq.ft,"Sep, 2027",1057 - 1427 sq.ft.,2.72 Acres (89% open),PRM/KA/RERA/1251/309/PR/180823/006187,,,"2, 3 BHK Apartments",12,"Grocery Shop, Garbage Disposal, Swimming Pool, Fire Sprinklers, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Gymnasium, Fire Fighting System, Electrification(Transformer, Solar Energy etc), Water Softner Plant, Squash Court, +37 more",Not Found,Not Found,Not Found,0,2008,77,"Established in 2008, Provident Housing Limited is a large-scale community developer, offering the greatest value within the residential segment. The company caters to the diverse residential needs of buyers, with a focus on aspirational home ownership. Provident Housing carries a portfolio of remarkable residential developments across 9 cities, namely, Bengaluru, Kochi, Mumbai, Goa, Hyderabad, Mangalore, Chennai, Coimbatore, and Pune.
16+ Years of Trust
50,000+ Happy Customers
12.8 Mn Sq.Ft. Delivered
9 Cities
12,500+ Homes Delivered
11,000+ Homes in the Making",Under Construction,"Aug, 2023",₹9.6K/sq.ft
Godrej Lakeside Orchard,GODREJ PROPERTIES LTD.,"Sarjapur Road, Kodathi Village, Chikkakannalli, Chikkakadiganahalli, South Bangalore, Bangalore",11.63 K - ₹33.81 K/sq.ft,"Jan, 2030",323 - 2662 sq.ft.,15.9 Acres (75% open),PRM/KA/RERA/1251/446/PR/300924/007105,,699,"Studio, 2, 3, 3.5, 4, 4.5 BHK Apartment,Studio Apartments",12,"Amphitheater, Cricket Pitch, Futsal, Volleyball Court, Tennis Court, Reflexology Park, Skating Rink, Swimming Pool, Pet Grooming, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, +31 more",Not Found,Not Found,Not Found,0,1990,298,"Godrej Properties Ltd is the real estate segment of the 120-year Godrej Group. Established in 1990, the developer is known for its excellent craftsmanship in developing contemporary housing projects which cover commercial, infrastructural and residential spaces including townships. It has been accredited with over 200 awards and recognitions such as the “Real Estate Company Of The Year” at the Construction Week India Awards 2015, ‘Golden Peacock Award for Sustainability’ for the year 2015 by Institute Of Directors (IOD), “Most Reliable Builder for 2014"" at the CNBC AWAAZ Real Estate Awards 2014, “Innovation Leader in Real Estate” award at the NDTV Property Awards 2014 and “Popular Choice - Developer of the Year” award by ET NOW in 2013. Experience and Strengths",Under Construction,"Nov, 2024",₹10.7 K/sq.ft
Renaissance Reserva,RENAISSANCE HOLDINGS,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, Outer Ring Road-Yeshwanthpur, Bangalore",9.14 K - ₹9.66 K/sq.ft,Ready to Move,1230 - 1550 sq.ft.,2.55 Acres (63% open),PRM/KA/RERA/1251/309/PR/190614/002602,,214,"2, 3 BHK Apartments",12,"Children's Play Area, Yoga / Meditation Area, Bar/Chill-out Lounge, Skating Rink, Party Hall, Badminton Court, Table Tennis, 24x7 CCTV Surveillance, Gymnasium, 24X7 Water Supply, Multipurpose Hall, +9 more",Not Found,Not Found,Not Found,(5 reviews),1994,41,Renaissance Holdings builder is known for their affable and friendly relation with clients. They started their huge amount of good work in the 2000 year. They deal in the residential sector with the aim of making beautiful and attractive buildings. They stand high in the construction field because of their work and dedication. They are very punctual about their work and planning. The company fulfills the client’s dreams cheerfully and happily. The builder has done lots of their work in the Bangalore city with good planning. The builder main motto is providing beautiful and pleasant home in affordable price. Their every building structure is different and unique form each other.,Ready to Move,"Jan, 2020",₹9.2K/sq.ft
Oceanus White Meadows,OCEANUS DWELLING PVT. LTD.,"Sy. No. 21/2. Kembathahally, Anjanapura, South Bangalore, Bangalore",₹7.5 K/sq.ft,"Dec, 2028",1257 - 1938 sq.ft.,1.5 Acres (50% open),PRM/KA/RERA/1251/310/PR/270623/006023,,135,"2, 2.5, 3, 4 BHK Apartments",12,"Children's Play Area, Swimming Pool, Solid Waste Management And Disposal, Visitor Parking, Landscaping & Tree Planting, Lift(s), Water Conservation, Rain water Harvesting, 24x7 CCTV Surveillance, Gymnasium, Fire Fighting System, Electrification(Transformer, Solar Energy etc), +8 more",Not Found,Not Found,Not Found,0,2010,34,"Oceanus Dwelling Pvt. Ltd. Is a group where thought is deliberately integrated into every facet of business. Where every square foot of space exudes maximum utility, stereotypes are discarded, and traditional values seamlessly merge with youthful enthusiasm. They make sure that managerial and administrative prowess go hand in hand with creative skills and sound technical know how, to deliver to every customer, spaces designed on pure intelligence.Renowned for its choice of locations when planning a project, and the future it promises for the investors. Because, with every home that Oceanus Dwelling builds, comes that guarantee of not just the best of comforts and conveniences, but of immense value - appreciation. Because Oceanus firmly believes, that a home of one's own is among the most precious things in life.",Under Construction,"Jul, 2023",₹7.3K/sq.ft
Birla Trimaya,BIRLA ESTATE,"Devanahalli, North Bangalore, Bangalore",13.28 K - ₹20.94 K/sq.ft,"Jun, 2029",473 - 3166 sq.ft.,31.85 Acres,"PRM/KA/RERA/1250/303/PR/040924/006988, PRM/KA/RERA/1250/303/PR/300823/006200",,,"1, 2, 3, 4 BHK Apartment,Villas",12,"Children's Play Area, Yoga / Meditation Area, Recreation Facilities, Skating Rink, Swimming Pool, Solid Waste Management And Disposal, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, 24x7 CCTV Surveillance, Gymnasium, Fire Fighting System, +12 more",Not Found,Not Found,Not Found,0,7,Not Found,"A renowned name in the real estate industry, Birla Estates is a wholly-owned subsidiary of Century Textiles and Industries, the flagship company of the B. K. Birla Group of Companies which has a presence across various segments, including cement, textiles, rayon yarn, pulp and paper, salt and chemicals. Birla Estates is engaged in developing the land parcels which are held by the group. The company is also engaged in joint developments and strategic tie-ups across top cities in the country.",Under Construction,"Aug, 2023",₹8.6 K/sq.ft
Prestige Raintree Park,PRESTIGE PROJECTS PVT LTD,"SH 35, Whitefield Main Road, Varthur, Bangalore East , Bangalore",₹14.4 K/sq.ft,"Dec, 2028",2005 - 3700 sq.ft.,28 Acres,PRM/KA/RERA/1251/446/PR/270824/006981,,1368,"3, 4, 5 BHK Apartments",12,"Cricket Pitch, Swimming Pool, Fire Sprinklers, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Table Tennis, Mini Theatre, Gymnasium, Manicured Garden, Flower Garden, Electrification(Transformer, Solar Energy etc), +34 more",Not Found,Not Found,Not Found,0,1986,219,"Over the last decade, the Prestige Group has firmly established itself as one of the leading and most successful developers of real estate in India by imprinting its indelible mark across all asset classes. Founded in 1986, the group’s turnover is today in excess of Rs 3518 Cr (for FY 15); a leap that has been inspired by CMD Irfan Razack and marshaled by his brothers Rezwan Razack and Noaman Razack. As of 30th June 2020, the group has completed 247 projects covering 134 million sft, and currently has 45 ongoing projects covering over 53 million sft, 56 mn sft of upcoming projects, and holds a land bank of 262 acres with potential developable area of 27 mn sft. The Market Capital of the company as on 30 June 2020 is INR 84,021 Mn. The group’s turnover for the quarter ended June 30, 2020 is INR 12,963 Mn.",Under Construction,"Sep, 2024",₹10.3 K/sq.ft
