XID,Registration Number,Apartment Type,Block Number,Carpet Area (In sq. meters),Area of Exclusive Balcony (In sq. meters),Area of Exclusive Verandah (In sq. meters),Area of Exclusive Terrace (In sq. meters),Area of Exclusive Store (In sq. meters),Any Other Area (In sq. meters),Proposed Number of Apartments,
r413888,RAJ/P/2023/2571,MIG Villa Plot No. 03,1,115.06,10.52,0,0,0,0,1,1
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r413888,RAJ/P/2023/2571,MIG Villa Plot No. 09,1,79.85,5.94,0,0,0,0,1,1
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r413888,RAJ/P/2023/2571,MIG Villa Plot No. 10,1,99.42,10.93,0,0,0,0,1,1
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r413888,RAJ/P/2023/2571,MIG Villa Plot No. 121,1,73.19,4.36,0,0,0,0,1,1
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r413888,RAJ/P/2023/2571,MIG Villa Plot No. 122,1,31.86,0,0,0,0,0,1,0
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r413888,RAJ/P/2023/2571,MIG Villa Plot No. 123,1,89.79,10.31,0,0,0,0,1,1
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r413888,RAJ/P/2023/2571,MIG Villa Plot No. 124 to 132,1,89.89,11.54,0,0,0,0,9,7
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r413888,RAJ/P/2023/2571,MIG Villa Plot No. 133,1,113.66,13.22,0,0,0,0,1,1
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r413888,RAJ/P/2023/2571,MIG Villa Plot No. 134,1,128.71,14.76,0,0,0,0,1,1
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r413888,RAJ/P/2023/2571,MIG Villa Plot No. 64,1,101.93,10.83,0,0,0,0,1,1
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r413888,RAJ/P/2023/2571,MIG Villa Plot No. 96,1,89.2,3.06,0,0,0,0,1,1
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r413888,RAJ/P/2023/2571,MIG Villa Plot No. 97,1,115.8,8.98,0,0,0,0,1,1
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r413888,RAJ/P/2023/2571,MIG Villa Plot No.65,1,88.55,9.33,0,0,0,0,1,1
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r413888,RAJ/P/2023/2571,SHOP NO. 1 TO 34,1,6,0,0,0,0,0,34,0
r413888,RAJ/P/2023/2571,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r413888,RAJ/P/2023/2571,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r401961,RAJ/P/2022/2254,"3BHK (103,203,303,403,503,603)",1,98.96,19.61,0,0,0,0,6,2
r401961,RAJ/P/2022/2254,"3BHK (104,204,304,404,504)",1,101.06,17.68,0,0,0,0,5,1
r401961,RAJ/P/2022/2254,"3BHK (105,205,305,405,505)",1,94.42,16.14,0,0,0,0,5,4
r401961,RAJ/P/2022/2254,"3BHK (106,206,306,406,506,606)",1,89.97,13.46,0,0,0,0,6,4
r401961,RAJ/P/2022/2254,"3BHK (107,207,307,407,507,607)",1,89.97,13.46,0,0,0,0,6,3
r401961,RAJ/P/2022/2254,3BHK (604),1,101.06,17.68,0,0,0,0,1,0
r401961,RAJ/P/2022/2254,3BHK (605),1,94.42,16.14,0,0,0,0,1,1
r401961,RAJ/P/2022/2254,"4BHK (101,201,301,401,501)",1,137.99,16.11,0,0,0,0,5,0
r401961,RAJ/P/2022/2254,"4BHK (102,202,302,402,502)",1,146.66,17.45,0,0,0,0,5,3
r401961,RAJ/P/2022/2254,4BHK (601),1,137.99,16.11,0,0,0,0,1,0
r401961,RAJ/P/2022/2254,4BHK (602),1,146.66,17.45,0,0,0,0,1,0
r416147,RAJ/P/2023/2719,Floor-FlatNo.:First Floor - 10th Floor : Flat 101 to 1001 : All 4BHK,1,104.05,9.1,0,113.29,0,0,10,10
r416147,RAJ/P/2023/2719,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view
Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any) view
Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any) view
HVAC Drawing (Showing air ducting, ac shafts etc , if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,
r416147,RAJ/P/2023/2719,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,Floor-FlatNo.:First Floor - 10th Floor : Flat 102 to 1002 :All 4BHK,1,101.26,14.03,0,116.74,0,0,10,10
r416147,RAJ/P/2023/2719,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view
Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any) view
Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any) view
HVAC Drawing (Showing air ducting, ac shafts etc , if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,
r416147,RAJ/P/2023/2719,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,Floor-FlatNo.:First Floor - 10th Floor : Flat 103 to 1003 : All 4BHK,1,110.37,5.57,0,119.25,0,0,10,0
r416147,RAJ/P/2023/2719,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view
Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any) view
Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any) view
HVAC Drawing (Showing air ducting, ac shafts etc , if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,
r416147,RAJ/P/2023/2719,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,Floor-FlatNo.:First Floor - 10th Floor : Flat 104 to 1004-: All 4BHK,1,111.02,5.57,0,0,0,0,10,0
r416147,RAJ/P/2023/2719,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view
Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any) view
Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any) view
HVAC Drawing (Showing air ducting, ac shafts etc , if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,
r416147,RAJ/P/2023/2719,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,Floor-FlatNo.:First Floor - 10th Floor : Flat 105 to 1005-: All 4BHK,1,105.63,9.1,0,0,0,0,10,0
r416147,RAJ/P/2023/2719,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view
Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any) view
Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any) view
HVAC Drawing (Showing air ducting, ac shafts etc , if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,
r416147,RAJ/P/2023/2719,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,Floor-FlatNo.:First Floor - 10th Floor : Flat 106 to 1006-: All 4BHK,1,99.87,13.01,0,0,0,0,10,0
r416147,RAJ/P/2023/2719,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view
Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any) view
Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any) view
HVAC Drawing (Showing air ducting, ac shafts etc , if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,
r416147,RAJ/P/2023/2719,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,Floor-FlatNo.:First Floor - 10th Floor : Flat 107 to 1007-: All 4BHK,1,110.37,5.57,0,119.53,0,0,10,0
r416147,RAJ/P/2023/2719,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view
Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any) view
Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any) view
HVAC Drawing (Showing air ducting, ac shafts etc , if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,
r416147,RAJ/P/2023/2719,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,Floor-FlatNo.:First Floor - 10th Floor : Flat 108 to 1008-: All 4BHK,1,111.02,5.57,0,119.53,0,0,10,0
r416147,RAJ/P/2023/2719,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view
Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any) view
Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any) view
HVAC Drawing (Showing air ducting, ac shafts etc , if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,
r416147,RAJ/P/2023/2719,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,,,,,,,,
r416147,RAJ/P/2023/2719,"HVAC Drawing (Showing air ducting, ac shafts etc , if any)",view,,,,,,,,
r416246,RAJ/P/2023/2636,"3BHK (102,202,302,402,502,602)",6,73.06,7.49,0,0,0,0,6,0
r416246,RAJ/P/2023/2636,"3BHK (104,204,304,404,504,604)",6,76.65,3.48,0,0,0,0,6,0
r416246,RAJ/P/2023/2636,"3BHK (105,205,305,405,505,605)",6,75.95,6.78,0,0,0,0,6,0
r416246,RAJ/P/2023/2636,"3BHK (106,206,306,406,506,606)",6,75.82,3.73,0,0,0,0,6,0
r416246,RAJ/P/2023/2636,"3BHK(103,203,303,403,503,603)",6,73.08,6.27,0,0,0,0,6,0
r416246,RAJ/P/2023/2636,"3BHK(107,207,307,407,507,607)",6,73.56,4.31,0,0,0,0,6,0
r416246,RAJ/P/2023/2636,"3BHK(109,209,309,409,509,609)",6,75.82,3.92,0,0,0,0,6,0
r416246,RAJ/P/2023/2636,"4BHK (101,201,301,401,501,601)",6,103.73,13.09,0,0,0,0,6,0
r416246,RAJ/P/2023/2636,"4BHK (108,208,308,408,508,608)",6,105.85,11.23,0,0,0,0,6,0
r416246,RAJ/P/2023/2636,"4BHK (110,210,310,410,510,610)",6,104.73,5.42,0,0,0,0,6,0
r273337,RAJ/P/2023/2700,2 BHK CORNER,B-5,71.53,5.38,0,0,0,0,24,24
r273337,RAJ/P/2023/2700,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r273337,RAJ/P/2023/2700,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r273337,RAJ/P/2023/2700,2 BHK MIDDLE,B-5,70.41,5.38,0,0,0,0,48,47
r273337,RAJ/P/2023/2700,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r273337,RAJ/P/2023/2700,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r273337,RAJ/P/2023/2700,3 BHK,B-5,89.27,5.66,0,0,0,0,24,23
r273337,RAJ/P/2023/2700,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r273337,RAJ/P/2023/2700,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r417246,RAJ/P/2023/2582,2 BHK Flat (101-501),Block- 1,65.59,3.79,0,0,0,0,5,3
r417246,RAJ/P/2023/2582,2 BHK Flat (102-502),Block- 1,65.68,3.79,0,0,0,0,5,3
r417246,RAJ/P/2023/2582,2 BHK Flat (103-503),Block- 1,62.03,5.3,0,0,0,0,5,0
r417246,RAJ/P/2023/2582,2 BHK Flat (104-504),Block- 1,62.07,5.73,0,0,0,0,5,1
r417246,RAJ/P/2023/2582,2 BHK Flat (105-505),Block- 1,60.24,3.44,0,0,0,0,5,2
r417246,RAJ/P/2023/2582,2 BHK Flat (106-506),Block- 1,69.45,3.85,0,0,0,0,5,0
r417246,RAJ/P/2023/2582,2 BHK Flat (107-507),Block- 1,56.51,7.24,0,0,0,0,5,1
r417246,RAJ/P/2023/2582,2 BHK Flat (108-508),Block- 1,57.32,5.82,0,0,0,0,5,2
r417246,RAJ/P/2023/2582,2 BHK Flat (109-509),Block- 1,55.36,6.7,0,0,0,0,5,2
r416251,RAJ/P/2023/2730,"3BHK (101,201,301,401,501,601)",6,81.37,7.01,0,0,0,0,6,0
r416251,RAJ/P/2023/2730,"3BHK (102,202,302,402,502,602)",6,72.7,3.69,0,0,0,0,6,0
r416251,RAJ/P/2023/2730,"3BHK (106,206,306,406,506,606)",6,77.39,4.3,0,0,0,0,6,0
r416251,RAJ/P/2023/2730,"3BHK (107,207,307,407,507,607)",6,70.13,3.76,0,0,0,0,6,0
r416251,RAJ/P/2023/2730,"3BHK (110,210,310,410,510,610)",6,77.69,7.45,0,0,0,0,6,0
r416251,RAJ/P/2023/2730,"3BHK(103,203,303,403,503,603)",6,79.13,3.54,0,0,0,0,6,0
r416251,RAJ/P/2023/2730,"3BHK(104,204,304,404,504,604)",6,74.39,4.69,0,0,0,0,6,0
r416251,RAJ/P/2023/2730,"3BHK(105,205,305,405,505,605)",6,74.27,6.51,0,0,0,0,6,0
r416251,RAJ/P/2023/2730,"3BHK(108,208,308,408,508,608)",6,73.74,2.23,0,0,0,0,6,0
r416251,RAJ/P/2023/2730,"3BHK(109,209,309,409,509,609)",6,76.4,3.54,0,0,0,0,6,0
r417410,RAJ/P/2023/2651,"2BHK, A105-A805",1,59.18,12.77,0,0,0,0,8,0
r417410,RAJ/P/2023/2651,"2BHK, A106-A806",1,57.96,12.54,0,0,0,0,8,0
r417410,RAJ/P/2023/2651,"2BHK, A207-A807",1,57.96,12.54,0,0,0,0,7,0
r417410,RAJ/P/2023/2651,"2BHK, A208-A808",1,57.96,12.54,0,0,0,0,7,0
r417410,RAJ/P/2023/2651,"2BHK, B104-B804",1,59.18,12.77,0,0,0,0,8,0
r417410,RAJ/P/2023/2651,"2BHK, B105-B805",1,57.96,12.54,0,0,0,0,8,0
r417410,RAJ/P/2023/2651,"2BHK, B206-B806",1,57.96,12.54,0,0,0,0,7,0
r417410,RAJ/P/2023/2651,"2BHK, B207-B807",1,57.96,12.54,0,0,0,0,7,0
r417410,RAJ/P/2023/2651,"3BHK, A101-A801",1,101.78,17.11,0,0,0,0,8,0
r417410,RAJ/P/2023/2651,"3BHK, A102-A802",1,101.78,17.11,0,0,0,0,8,
r417410,RAJ/P/2023/2651,"3BHK, A103-A803",1,81.97,13.35,0,0,0,0,8,0
r417410,RAJ/P/2023/2651,"3BHK, A104-A804",1,101.78,17.11,0,0,0,0,8,0
r417410,RAJ/P/2023/2651,"3BHK, B101-A801",1,101.78,17.11,0,0,0,0,8,0
r417410,RAJ/P/2023/2651,"4BHK, B102-B802",1,143.29,28.72,0,0,0,0,8,0
r417410,RAJ/P/2023/2651,"4BHK, B103-B803",1,143.29,25.25,0,0,0,0,8,0
r420000,RAJ/P/2023/2841,Villa No. C-1,1,153.27,10.09,3.73,34.36,0,69.17,1,1
r422450,RAJ/P/2024/2923,4 BHK,Block/Tower-2,160.78,42.03,0,0,0,0,16,15
r422450,RAJ/P/2024/2923,4 BHK with Private Terrace,Block/Tower-2,160.78,42.03,0,17.4,0,0,16,15
r422450,RAJ/P/2024/2923,5 BHK Duplex,Block/Tower-2,271.07,74.71,0,0,0,0,2,1
r422450,RAJ/P/2024/2923,5 BHK Duplex with Private Terrace,Block/Tower-2,271.07,74.71,0,17.4,0,0,2,2
