xid,Project name,Review,Sentiment
R22804,Pareena Mi Casa,"
Have been staying here for 1.5 years. Please don't go with the 5 star reviews, they are paid reviews or by the people who want to hike the prices of this place.

Here is the honest review:
TLDR: Please don't buy flat at this society. Your hard earned money will go complete waste. If you are looking to rent, make sure your owner has solved all their issues with the society. Still we would not recommend renting this place.

CONS:
1. Building construction quality is very poor
2. Maintenance and project team: Unresponsive and keep passing the work to each other.
3. Consistent Seepage issues in the flats.
4. Absurd parking charges for extra car. They are asking for 36K per year for an additional car.
5. No facilities or amenities. We were told, everything will be ready in 6 months, but it's been 1.5 years and still there no amenities.",negative
R22804,Pareena Mi Casa,"Overall experience with civil team, specially Mr.Kapil(Civil Manager @Micasa) is extremely cooperative throughout the construction process and guided us till handover and given confidence to provide technical support and help even beyond handover with smiling face. Lots of respect for such a kind personality. Thank you Team Pareena. ",positive
R370626,Risinia Skyon,"Living here from October 2023. Society has 6 tower and a club house. Total 754 flats, peaceful and great place to live. ",positive
R370626,Risinia Skyon,This apartment community slowly turning out to be the most lively and happening residential spot in this neighborhood. I see the value appreciation here is a lot better than many other communities in Bachupally. ,positive
R370626,Risinia Skyon,Low quality buildings. Too dusty and noisey place. connectivity wise it’s good. Better to buy property where there is low dust and high quality. Dust will cause lot of allergies and breathing issues. Think about your health too. ,negative
R370626,Risinia Skyon,Spacious gated community. Good club house with great facilities. ,positive
R370626,Risinia Skyon,So many problems after we moved in. Not recommended ,negative
R370626,Risinia Skyon,A little away from the main road and near to Pragathi Nagar. Balcony views are the best,positive
R370626,Risinia Skyon,I don't have any photos of the structure but they're build very much spacious Flats especially 3BHK Flats & views I'm updated view from sit-out areas ,positive
R370626,Risinia Skyon,Flats size are small it's about 800 sft.and prices are high. And buildings are so close that you can see other rooms from your room and vice versa. ,negative
R370626,Risinia Skyon,"I had great experience with this project is awsm construction, and quality wise thy are maintaining good , in every aspect they are excellent, yes sales team were lacking of information, but ok ",positive
R370626,Risinia Skyon,"The overall experience with Risinia sales team was not pleasant. They lack internal coordination and gave us wrong information which led to too many to and fro. They mentioned incorrect completion timelines.Only after probing I found out their actual RERA completion date is 2026( I found out by checking in govt websites). If I'd have bought the property basis sales team's word, I'd have made a bad decision which would majorly impact me financially. One of the seniors in Risinia head office gave us correct information.

The sales team needs some proactiveness. You need to remind them to share the data/documents/or even location. A Salesman literally told us 2bhk are sold out even when they were still available. Another salesman later told us about the availability and showed the flats.

We were really inclined to buy from Risinia because of the economical pricing and quality of work but would turn out to be a really bad decision considering the actual completion timeline.",negative
R370626,Risinia Skyon,Good community with all amenities. There are 6 blocks where 2 blocks are 3 BHK and rest are 2 BHK ,positive
R370626,Risinia Skyon,"Living here from October 2023. Society has 6 tower and a club house. Total 754 flats, peaceful and great place to live",positive
R370626,Risinia Skyon," ""Spacious gated community. Good club house with great facilities.""",positive
R370626,Risinia Skyon,Experience the neat and clean venture to leave peacefully  ,positive
R370626,Risinia Skyon,Brand new community with excellent features,positive
R370626,Risinia Skyon,Great community for kids to learn ,positive
R370626,Risinia Skyon,"I had great experience with this project is awsm construction, and quality wise thy are maintaining good , in every aspect they are excellent, yes sales team were lacking of information, but ok ",positive
R370626,Risinia Skyon,"One of the good project in bachupally, receiving timely updates about the construction. Thanks to marketing manager Kishore.. and management Venkat Reddy garu.. hope will complete ontime construction as said.. TQ..  ",positive
R370626,Risinia Skyon,Very nice place. Bought a flat in here and construction is going at a very good pace and quality is very good ,positive
R370626,Risinia Skyon,Very good place I like this complex ,positive
R370626,Risinia Skyon,Low quality buildings. Too dusty and noisey place. connectivity wise it’s good. Better to buy property where there is low dust and high quality. Dust will cause lot of allergies and breathing issues. Think about your health too.,negative
R370626,Risinia Skyon,So many problems after we moved in. Not recommended,negative
R370626,Risinia Skyon,Flats size are small it's about 800 sft.and prices are high. And buildings are so close that you can see other rooms from your room and vice versa.,negative
R370626,Risinia Skyon,Lot of dust and pollution in this area,negative
