Sr.No.,Project Name,Promoter Name,Promoter Address,Project Type,Email Id,Mobile No,Project Registration No.,District,Approved on
709,Malhar Vadvala Residency,Vasudev Developers,"Near Ranasan Raiway Crossing, Ranasan Gandhinagar Gandhinagar 382330",Residential/Group Housing,brightways2018@gmail.com,8401142219,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA06041/160919,Gandhinagar,16-09-2019
710,YASH FLORA,YASHRAJ DEVELOPERS,"5,RADHA KRISHNA COMPLEX, CANAL ROAD, GHODASAR Ahmedabad 380050",Residential/Group Housing,yashrajdeveloper77@gmail.com,9824287777,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00317/031017,Ahmedabad,03-10-2017
711,SUN PRIMA,SUN DEVELOPERS,"SUNBUILDERS TRANSITION SPACE, OPP. SATYAM CORPORATE SQUARE, SINDHUBHAVAN ROAD BODAKDEV Ahmedabad 380059",Residential/Group Housing,sunprima2017@gmail.com,9227219595,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00074/040917,Ahmedabad,04-09-2017
712,CRYSTAL HEIGHTS,NIRMAAN BUILDERS,"335, ISCON MALL NEAR BIG BAZAR, 150 FEET RING ROAD, RAJKOT Rajkot 360005",Residential/Group Housing,hbkalaria.gst@gmail.com,9925572917,PR/GJ/RAJKOT/RAJKOT/Others/RAA00971/111217,Rajkot,11-12-2017
713,ABHISHEK BLISS,DHRUV ENTERPRISE,"BESIDES SAYAJI TOWNSHIP,WATER TANK ROAD NR.KHODIYAR NAGAR,NEW KARELIBUG,VADODARA 390019 Vadodara 390019",Residential/Group Housing,abhishekbliss43@gmail.com,9898724705,PR/GJ/VADODARA/VADODARA/Others/RAA01278/100118,Vadodara,10-01-2018
714,AMBA TOWSHIP SECTOR 1D PART-1,AMBA TOWNSHIP PRIVATE LIMITED,"BASEMENT, TOWER A, VARDAN TOWER, NARANPURA, OPP. SHANTI APARTMENT, PRAGATI NAGAR, SHASTRI NAGAR, Ahmedabad 380013",Residential/Group Housing,secretarialandlegal@gmail.com,7622013963,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA01254/090118,Gandhinagar,09-01-2018
715,AMBA TOWNSHIP SECTOR 1D PART-2,AMBA TOWNSHIP PRIVATE LIMITED,"BASEMENT, TOWER A, VARDAN TOWER, NARANPURA, OPP. SHANTI APARTMENT, PRAGATI NAGAR, SHASTRI NAGAR, Ahmedabad 380013",Residential/Group Housing,secretarialandlegal@gmail.com,7622013963,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA01231/A1R/130919,Gandhinagar,06-01-2018
716,Shreenath Classic,Square Inch Projects India Ltd.,"112 Sangath Mall 1, Opp. Govt. Engineering College Sabarmati, Gandhinagar Highway, Motera, Ahmedabad, Gujarat, 380005, India Ahmedabad 380005",Residential/Group Housing,yogesh2041965@gmail.com,9925233638,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA01662/170218,Gandhinagar,17-02-2018
717,Shiv Bungalows,Shiv Developers,"14, Mahadevnagar Society, Near Brahma Kumaris, Opp. Nayak Nagar Hall, Stadium Road Navrangpura Ahmedabad 380009",Residential/Group Housing,shivdevelopers15@gmail.com,9173758792,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02272/050418,Ahmedabad,05-04-2018
718,SHANTIKUNJ,Teraiya Developers,"A 204 Sagar Samrat, Near Jalaram Temple, Ellisbrige, Ahmedabad 380006",Residential/Group Housing,ac.teraiyagroup@gmail.com,9909995353,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01034/161217,Ahmedabad,16-12-2017
719,Shreeya Antilia,Shreeya Antilia,"307, Milstone BLDG., NR. Khodiyar Restaurant NR. Drive in Cinema, Thaltej Ahmedabad 380054",Residential/Group Housing,rera.antilia@gmail.com,9879572336,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00236/EX1/261218,Ahmedabad,22-09-2017
720,SKYLINE APPARTMENT,SKY DEVELOPERS,"SURVEY NO. 489/2, SKYLINE APPARTMENT, NR. GANGOTRI CIRCLE, NIKOL Ahmedabad 382350",Residential/Group Housing,mahesh74patel@gmail.com,7600090390,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01705/200218,Ahmedabad,20-02-2018
721,Navpad Helios,Navpad Properties LLP,"12 G, Vithal Complex, opp.sakar english medium school New C.G road, Chandkheda Ahmedabad 382424",Residential/Group Housing,navpadhelios@gmail.com,9825229115,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00297/EX1/051118,Gandhinagar,29-09-2017
722,VICTORIA HERITAGE,EARTH DEVELOPERS,"VICTORIA HERITAGE, NR. GANGOTRI CIRCLE, NR. STATUS 20, NAVA NIKOL, Ahmedabad 382345",Residential/Group Housing,aj.gaudani@hotmail.com,9687749944,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02040/160318,Ahmedabad,16-03-2018
723,shreenath gardenia,HARDIK M PARAKHIYA PROPRIETOR OF SHREENATH DEVELOPERS,"F.P. NO.-159, T.P. 66 BEHIND SHRUTI ROW HOUSE Surat 394107",Residential/Group Housing,shreenathgardenia@gmail.com,8140298787,PR/GJ/SURAT/SURAT CITY/SUDA/RAA02243/EX1/020119,Surat,03-04-2018
724,Sahajanand Hills,Hari Corporation,"SAHAJANAND HILLS (PART-A) T.P.-9, F.P.-109 ,PALANPOR MATHURANAGARI ROAD,SURAT Surat 395009",Residential/Group Housing,haricorporation216@gmail.com,9825559665,PR/GJ/SURAT/SURAT CITY/SUDA/RAA00912/051217,Surat,05-12-2017
725,DHARM VED,HIND BUILDCON,VRUNDAVAN PARTY PLOT ROAD NR. GANGOTRI CIRCLE Ahmedabad 382350,Residential/Group Housing,sanjay_mayurlam@yahoo.com,9925035943,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01711/EX2/210219,Ahmedabad,20-02-2018
726,PANCHAMRUT RESIDENCY,MAA DURGA DEVELOPERS,"401 ROYAL NEST,NEAR KALYAN NAGAR-2 KARELIBAG VADODARA Vadodara 390018",Residential/Group Housing,jagdishsoni26101@yahoo.com,9712929619,PR/GJ/VADODARA/VADODARA/Others/RAA04321/EX2/081121,Vadodara,12-12-2018
727,SAMVAAD SAMANVAY,Samvaad Real Estate developers,": 419, Orange Mall, Nr. Chandkheda Bus Stand Visat Zundal Road, Chandkheda Ahmedabad 382424",Residential/Group Housing,dixitpatel4099@gmail.com,9925041268,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00147/140917,Ahmedabad,14-09-2017
728,OCEAN COLINA,SHREE ASTHALAKSHMI,"OCEAN COLINA,B/H ARJUN GREEN NR. VARDAN TOWER, PRAGATI NAGAR,NARANPURA, AHMEDABAD Ahmedabad 395009",Residential/Group Housing,oceancolina@gmail.com,9825116062,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01756/260218,Ahmedabad,26-02-2018
729,SHREE UMANG LAXMI RESIDENCY,Propritorship of DOLATBHAI DEVJIBHAI VANJARA (PROP. OF GEHLOT ENTERPRISE),"A-20, HARIDHAM SOCIETY CROSS ROAD, NEAR NILKANTH RESIDENCY,AMROLI Surat 394107",Residential/Group Housing,umanglaxmi2015@gmail.com,9714672000,PR/GJ/BHARUCH/ANKLESVAR/Others/RAA01868/050318,Bharuch,05-03-2018
730,YOGIRAJ UPVAN,Janki Enterprise,"A-11/2, Raj Laxmi Park Society, New Sama Road, Vadodara Vadodara 390024",Residential/Group Housing,j.pandya76@gmail.com,9879525300,PR/GJ/VADODARA/VADODARA/Others/RAA05266/110419,Vadodara,11-04-2019
731,SHIVALAY HEIGHTS,S R BUILDCON,"5, SHRI RAM KUTIR, NARMAD COLONY, SHAHIBAUG, AHMEDABAD Ahmedabad 380004",Residential/Group Housing,shivalayheight@gmail.com,9825654394,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00035/310817,Ahmedabad,31-08-2017
732,DIWALI ELEGANCE,D B BUILDCON,"VAISHNODEVI CIRCLE TO ZUNDAL CIRCLE OFF SP RING ROAD , TRAGAD Ahmedabad 382470",Residential/Group Housing,manish.dbbuildcon@gmail.com,9426460173,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00490/171017,Ahmedabad,17-10-2017
733,ATIQ RESIDENCY,ATIQ DEVELOPERS,"SUR NO - 847/2 GULMOHAR SOCIETY,NEAR BURHANI SOCIETY VATVA,AHMADABAD Ahmedabad 382440",Residential/Group Housing,atiqmotors@gmail.com,9427126926,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04709/210119,Ahmedabad,21-01-2019
734,Parimal Green,Sargam Corporation,"Parimal Green, Nr. Nilkanth Residency, B/h. Mangal Pandey Hall, Nikol Road, Nikol, Ahmedabad-382350 Ahmedabad 382350",Residential/Group Housing,davrachirag771982@gmail.com,9712966986,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00736/161117,Ahmedabad,16-11-2017
735,Madhu govind heights,Dhramendrabhai Gajjar( Dharam Infrastructure),8-B jay vijay society near devendra society paliyad nagar road naranpura ahmedabad Ahmedabad 380013,Residential/Group Housing,dharamenterprise_ahd@yahoo.co.in,9825067349,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00803/221117,Ahmedabad,22-11-2017
736,ARISE WESTERN,Arise Buildcon,"F.P NO. 189/1,NEAR UMIYA CAMPUS,SOLA BHAGWAT, OFF S.G HIGHWAY,GOTA,AHMEDBAD Ahmedabad 380060",Residential/Group Housing,arisehome@yahoo.com,9925199052,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01260/090118,Ahmedabad,09-01-2018
737,PANCHKUTIR BUNGLOWS,SAHYOG DEVELOPERS,SURVAY NO 228 OLD SURVAY NO 116 NEAR PINACAL INTERNATIONAL SCHOOL NANA CHILODA RING ROAD CIRCLE LIMBADIA TALUKA GANDHINAGAR 382330 Ahmedabad 382330,Residential/Group Housing,sanket.thummar@gmail.com,9909914920,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00682/EX1/180219,Gandhinagar,13-11-2017
738,MAHI RESIDENCY,GORDHANBHAI HARJIBHAI MAVADIYA PROP. OF MOTI BUILDERS & ORGANISERS,"PLOT NO 9-10-11, GOVERDHAN ROW HOUSE VESU Surat 395007",Residential/Group Housing,ghmavadia@gmail.com,9898283655,PR/GJ/SURAT/SURAT CITY/SUDA/RAA04528/291218,Surat,29-12-2018
739,Aadinath Heights,SUMTINATH DEVELOPERS,"52-Gajanand Society Manjalpur Naka, Vadodara Vadodara 390011",Residential/Group Housing,isagarparmar@gmail.com,9825802334,PR/GJ/VADODARA/VADODARA/Others/RAA04715/210119,Vadodara,21-01-2019
740,Phoenix Towers-Phase-2,Someshwar Organisors,"M-33, Someshwar Square Vesu Surat 395007",Residential/Group Housing,phoenix@someshwargroup.com,9879057353,PR/GJ/SURAT/SURAT CITY/SUDA/RAA01323/170118,Surat,17-01-2018
741,Akshar Tilak,D S Associates,"F P no - 105, village- uvarsad, near sargasan cross road gandhinagar Gandhinagar 382422",Residential/Group Housing,ronakdc@gmail.com,9998222900,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA02874/120618,Gandhinagar,12-06-2018
742,SANMATI PARK,SANMATI DEVELOPERS,"Sanmati Park , F.P.N0.207,Near M.S. Hostel and Kaizen School Vemali, Sama Savali Road Vadodara 390008",Residential/Group Housing,sanmatipark@gmail.com,7096106108,PR/GJ/VADODARA/VADODARA/Others/RAA04401/EX3/A1R/140622,Vadodara,18-12-2018
743,SAHJANAND IRIS,SAHAJANAND CORPORATION,TULSI DAHM OPP MAHALAXMI PARTY PLOT MANJALPUR Vadodara 390011,Residential/Group Housing,sandip1562@gmail.com,9898926626,PR/GJ/VADODARA/VADODARA/Others/RAA03534/290918,Vadodara,29-09-2018
744,SARTHAK HABITAT,OM DEVELOPERS,SARTHAK HABITANT B/H PANCHAMRUT SCHOOL NEAR HERRITAGE SQUARE NIKOL Ahmedabad 382350,Residential/Group Housing,bhojalimpex@gmail.com,9825063916,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00230/220917,Ahmedabad,22-09-2017
745,Karma Villa,Karma Constructiob,"SUREVEU NO96 /FP 72 BORISANA, PANCHVATI, KALOL Ahmedabad 382721",Residential/Group Housing,rakeshshah.2103@gmail.com,9909983069,PR/GJ/GANDHINAGAR/KALOL/AUDA/RAA00655/091117,Gandhinagar,09-11-2017
746,SAVVY STRATA,SAVVY INFRASTRUCTURE PRIVATE LIMITED,"B-900, SHAPATH-4, OPP: KARNAVATI CLUB PRAHLAD NAGAR, S.G. ROAD, Ahmedabad 380015",Residential/Group Housing,marketing@savvygroup.in,8980012908,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01242/080118,Ahmedabad,08-01-2018
747,SANSKAR BUNGALOW,GIRIRAJ DEVELOPERS,OPP ATAL UDHYAN NR PRAMUKH VANDAN DUPLEX SUNPHARMA ROAD Vadodara 390020,Residential/Group Housing,girirajdevelopers28@gmail.com,9824094773,PR/GJ/VADODARA/VADODARA/Others/RAA03645/EX1/020419,Vadodara,09-10-2018
748,SHREE RANG VILLA,SHREE JAYDEV GROUP,B 8 OM RESIDENCY WAGHODIA ROAD VADODARA Vadodara 390019,Residential/Group Housing,jaydev2311@gmail.com,9825243007,PR/GJ/VADODARA/VADODARA/Others/RAA03829/251018,Vadodara,25-10-2018
749,GOLDEN HEAVEN,GOLDEN ASSOCIATES,"F.P.No.160,T.P.27 OPP. UTRAN POWER HOUSE, UTRAN Surat 394105",Residential/Group Housing,goldenheaven143@gmail.com,9925206169,PR/GJ/SURAT/SURAT CITY/SUDA/RAA00363/EX2/160722,Surat,06-10-2017
750,ANGEL PALACE,ANGEL INFRA,"BLOCK NO:339/3,F.P. NO:127,T.P.48 KHOLWAD Surat 394190",Residential/Group Housing,angelinfra339@gmail.com,9137888004,PR/GJ/SURAT/KAMREJ/SUDA/RAA01629/150218,Surat,15-02-2018
751,VICENZA CLOUD 9,PAWAN INFRAHOMES PRIVATE LIMITED,"vicenza cloud 9 , kalali talsat road vadodara Vadodara 390012",Residential/Group Housing,dalia_kp@yahoo.co.in,9227106388,PR/GJ/VADODARA/VADODARA/Others/RAA03799/EX2/EX1/080622,Vadodara,24-10-2018
752,Shalin Sky,Shalin Realty LLP,7 Shalin Bungalows Shilaj Ahmedabad 380059,Residential/Group Housing,shalinrealty@gmail.com,9825420070,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00277/270917,Ahmedabad,27-09-2017
753,KENS AVLON HEIGHTS,KENS DEVELOPERS,OPP SADGURU VATIKA BUNGLOWS NIKOL Ahmedabad 382350,Residential/Group Housing,pethani15@gmail.com,9825438852,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02622/090518,Ahmedabad,09-05-2018
754,Champa Elegance,Bhumiti Associates,Plot No-37 Laxmi Society Subhashnagar Bhavnagar 364001,Residential/Group Housing,bhumitiasso@gmail.com,9426207602,PR/GJ/BHAVNAGAR/BHAVNAGAR/Others/RAA01937/080318,Bhavnagar,08-03-2018
755,VINAYAK APARTMENTS,VINAYAK DEVELOPERS,"First Floor, Ravi Complex Junagadh Road, Veraval Gir Somnath 362265",Residential/Group Housing,rera7.vinayakapartments@gmail.com,9913592165,PR/GJ/GIR SOMNATH/VERAVAL/Others/RAA04391/161218,Gir Somnath,16-12-2018
756,Radhe Homes,Krishna Realty,"Nr. Lambha Baliyadev Temple, Lambha To Shahwadi Road Narol, Ahmedbad Ahmedabad 382405",Residential/Group Housing,vasanigroup@gmail.com,9825042416,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02376/EX1/200620,Ahmedabad,16-04-2018
757,EARTH PARADISE,Omkar Developers,"9, Vrundavan Colony, Opp. Ghevar Complex, Dafnala Road, Shahibaug Ahmedabad 380004",Residential/Group Housing,omkardeveloper2015@gmail.com,8866404626,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00253/EX1/190918,Gandhinagar,26-09-2017
758,VRAJ ORIANA,VASHISTH DEVELOPERS,"607, SHIROMANI COMPLEX OPP OCEAN PARK, NEHRUNAGAR Ahmedabad 380015",Residential/Group Housing,vrajoriana@gmail.com,9825049921,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00658/EX1/061018,Ahmedabad,09-11-2017
759,Tulsi Elegance,Bijan Patel Proprietor of Tulsi Infracon,"JALADEEP, OPP GCET ROAD, VALLABH VIDYANAGAR ANAND Anand 388315",Residential/Group Housing,tulsiinfracon53@gmail.com,9925465573,PR/GJ/ANAND/ANAND/Others/RAA03194/EX1/110219,Anand,20-07-2018
760,Dev Tapovan Residency,TULIP DEVELOPERS,"Panch Amba, Sutharwad Near Siddhanath Mandir, Vapi. Valsad 396191",Residential/Group Housing,devtapovanresidency@gmail.com,9227807780,PR/GJ/VALSAD/PARDI/Others/RAA02471/EX1/190119,Valsad,24-04-2018
761,SANIDHYA GREEN,SHREEJI CORPORATION,MAVADI RAJKOT Rajkot 360005,Residential/Group Housing,alpeshladani59@gmail.com,9328970900,PR/GJ/RAJKOT/RAJKOT/Others/RAA01314/160118,Rajkot,16-01-2018
762,SHREE RANGAM VILLA,SHREE RANGAM HOMES,G 11 B H COMPLEX KARELIBAUG VADODARA Vadodara 390018,Residential/Group Housing,prakashchauhan548@gmail.com,7069003477,PR/GJ/VADODARA/VAGHODIA/Others/RAA02091/EX1/160419,Vadodara,20-03-2018
763,IOLITE,VAIBHAV CORPORATION PVT. LTD.,401 EMERALD PRODUCTIVITY ROAD Vadodara 390007,Residential/Group Housing,accounts@vaibhavcorp.com,9427301511,PR/GJ/VADODARA/VADODARA/Others/RAA03632/EX1/050621,Vadodara,09-10-2018
764,NEW ALKAPURI RESIDENCY,AARYA CREATORS,"GF 6 , PRANAM COMPLEX, AKOTA DINESHMILL ROAD , Vadodara 390020",Residential/Group Housing,thakkarparam@ymail.com,9687888225,PR/GJ/VADODARA/VADODARA/Others/RAA03002/260618,Vadodara,26-06-2018
765,AKSHAR PARADISE,YOGI STUCBUILD POWER PVT LTD,WOODSVILLE VADSAR Vadodara 390010,Residential/Group Housing,aksharparadise@yahoo.com,9998944421,PR/GJ/VADODARA/VADODARA/Others/RAA03688/151018,Vadodara,15-10-2018
766,SANIDHYA HARMONY,AMI ENTERPRISE,"MANJAR BUNGLOW B/H OM TOWER, SATELLITE Ahmedabad 380015",Residential/Group Housing,shreeriddhibuilders@yahoo.co.in,9825012392,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02702/190518,Ahmedabad,19-05-2018
767,EARTH ELEGANCE,EARTH ENTERPRISE,B 41 HIMAVAN APARTMENT OPP INDUCTOTHERM BOPAL AHMEDABAD GUJRAT Ahmedabad 380058,Residential/Group Housing,bhavinpatel2123@gmail.com,9898025722,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02680/150518,Ahmedabad,15-05-2018
768,North Enclave,PACIFICA INDIA PROJECTS PRIVATE LIMITED,"33 Amrapalash Bungalows, B/h Fun Republic, Ramdevnagar Ahmedabad 380015",Residential/Group Housing,amararera@pacificacompanies.in,9099933085,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA04324/A1R/211021,Gandhinagar,12-12-2018
769,Shikhar 49,Vardan Developer,"35, Anandkunj App., Opp. Kothari Tower Ramnagar, Sabarmati Ahmedabad 380005",Residential/Group Housing,shikhar49vardan@gmail.com,7203911515,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA01220/050118,Gandhinagar,05-01-2018
770,DEVI DREAMZ,JJ Developers,"Jayeshkumar J Shingala, Nr Raj Dairy 60 Feet road, Veraval, Gir Somnath, Gujarat - 362266 Gir Somnath 362266",Residential/Group Housing,rera20.devidreamz@gmail.com,9913592165,PR/GJ/GIR SOMNATH/VERAVAL/Others/RAA05312/240419,Gir Somnath,24-04-2019
771,SPANDAN BUNGLOWS,SHREE MARUTINANDAN DEVELOPERS,"OPP. MAHADEV RESIDENCY, NR. SWAMINARAYAN PARK NARODA Ahmedabad 382330",Residential/Group Housing,tapatel1011@gmail.com,9737470227,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01693/190218,Ahmedabad,19-02-2018
772,SHUBH ASHISH,SHUBHRATNA DEVELOPERS PRIVATE LIMITED,PLOT NO 346/2 SECTOR NO 7/A Gandhinagar 382007,Residential/Group Housing,info.shubhratna@gmail.com,9825285800,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06405/EX2/050823,Ahmedabad,29-11-2019
773,JALDHARA-319,S K ASSOCIATES (Prop. : SHAILESH K MISTRY),"7,ROOP SURYA BUNGLOW, RAMDEVNAGAR,SATELLITE,AHMEDABAD Ahmedabad 380015",Residential/Group Housing,skassociates64@yahoo.com,9825024005,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA02320/100418,Ahmedabad,10-04-2018
774,RUSHABH VILLA,RUSHABH COPRPORATION,"Rushabh Villa, Nr. Devasya Land Mark, Nikol Ahmedabad 382350",Residential/Group Housing,bharat.rajvini@gmail.com,9824085539,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01144/291217,Ahmedabad,29-12-2017
775,Shyam 84,Motera Developers,"B-12, ATISHY BELLE VILLE, OPP. KIRAN MOTARS, MOTERA, AHMEDABAD Ahmedabad 380005",Residential/Group Housing,shyammotera.84@gmail.com,9924239738,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01631/150218,Ahmedabad,15-02-2018
776,STHAPATYA HIGHTS,STHAPATYA INFRASTRUCTURE,"STHAPATYA HIGHTS, NR. GOPI FARM OGNAJ, AHMEDABAD Ahmedabad 380060",Residential/Group Housing,sthapatyahightsrera@gmail.com,9898528124,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01573/EX1/210119,Ahmedabad,08-02-2018
777,MIG SCHEME TP 1 FP 68,VADODARA MUNICIPAL CORPORATION,"Affordable Housing Dept, Office of Executive Engineer, Raopura Kanyashala No.03, Raopura, Vadodara-390 001 Vadodara 390001",Residential/Group Housing,reravmc134@gmail.com,9427600961,PR/GJ/VADODARA/VADODARA/Others/RAA03564/031018,Vadodara,03-10-2018
778,AVYUKTA,ELEGANCE DEVELOPERS,5 PRERANADEEP BUNGALOWS OPP NIRMA SCHOOL BODAKDEV AHMEDABAD Ahmedabad 380054,Residential/Group Housing,accounts@marutinandan.com,9898030200,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00595/061117,Ahmedabad,06-11-2017
779,DIVINE GALAXY,GALAXY ENTERPRISE,"Divine Galaxy, Opp Lotus Court Kalali Village Road Vadodara 390012",Residential/Group Housing,divinegalaxy2014@gmail.com,9979897565,PR/GJ/VADODARA/VADODARA/Others/RAA03958/EX1/080819,Vadodara,05-11-2018
780,SAMARPAN PARK,OM INFRASTRUCTURE SAMARPAN PARK,NR SANKAL RESIDENCY UVARSAD NEW VAVOL Gandhinagar 382016,Residential/Group Housing,samarpanpark@gmail.com,9898010610,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA02021/EX2/210919,Gandhinagar,16-03-2018
781,SAGAR PLAZA,NIKITA ENTERPRISES,"2, DEVNANDAN PARK, NR. JAYNARAYAN SOC., KARODIA ROAD, GORWA, VADODARA Vadodara 390016",Residential/Group Housing,manojtmk2007@yahoo.co.in,9712739683,PR/GJ/VADODARA/VADODARA/Others/RAA04997/EX1/011021,Vadodara,07-03-2019
782,RUKSHMANI HEIGHTS,RUKSHMANI HEIGHTS LLP,"BH, PATHAK SCHOOL, 150 FEER RING ROAD NANAMAVA Rajkot 360004",Residential/Group Housing,rukshmaniheightllp.rera@gmail.com,9824295232,PR/GJ/RAJKOT/RAJKOT/Others/RAA00549/EX1/310119,Rajkot,27-10-2017
783,PIOUS AANGAN,FRIENDS DEVELOPERS,"241, BARONET COMPLEX, OPP. SABARMATI POLICE STATION, SABARMATI Ahmedabad 382424",Residential/Group Housing,friends21415@gmail.com,9879026225,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA02473/EX1/141218,Ahmedabad,24-04-2018
784,Arihant Bungalows,SHIV HARI DEVELOPERS,"Arihant Bungalows, nr. Ambalal park Tajpura road, Padra Vadodara 391440",Residential/Group Housing,shivharidevelopers@gmail.com,8866029080,PR/GJ/VADODARA/PADRA/Others/RAA04028/151118,Vadodara,15-11-2018
785,Silver Palm,SHIVAM REALTY,"silver palm,bharat petrolium lane waghodia dabhoi ring road,vadodara-390025 Vadodara 390025",Residential/Group Housing,info@silverpalm.in,9227100551,PR/GJ/VADODARA/VADODARA/Others/RAA02147/EX1/261020,Vadodara,23-03-2018
786,Casa Lakeside Phase 2,PACIFICA LAKESIDE DEVELOPERS LLP,"33, Amrapalash Bungalows Ramdevnagar Ahmedabad 380015",Residential/Group Housing,casa2rera@pacificacompanies.com,9099933085,PR/GJ/VADODARA/VADODARA/Others/RAA00704/EX3/130723,Vadodara,14-11-2017
787,SURYADARSHAN,SHIV SHAKTI ENTERPRISE,"38 SONALI SOCIETY, NR CHANDRAVALI SOCIETY KARELIBAUG 390018 Vadodara 390018",Residential/Group Housing,suryadarshan37@gmail.com,9727444499,PR/GJ/VADODARA/VADODARA/Others/RAA02717/230518,Vadodara,23-05-2018
788,Maurya Grace,KRRISH INFRACON,"8, Darshan Appartment , Kaliash Society , Mahalaxmi 5 roads , Paldi , Ahmendabad- 380007. Ahmedabad 380007",Residential/Group Housing,abshah25@gmail.com,9979589953,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01466/310118,Ahmedabad,31-01-2018
789,Dev Aashish 41,Abjibapa Buildcon Pvt Ltd,58 GOKUL DUPLEX KATHWADA ROAD Ahmedabad 382330,Residential/Group Housing,jigarpatel6585@gmail.com,7600015917,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01493/EX1/180219,Ahmedabad,03-02-2018
790,Maple Greens Residency,Maple Greens Developers,"504,Shanti Mall,Nr Bharat Petrol Pump,Sola Road,Ghatlodia Ahmedabad Ahmedabad 380061",Residential/Group Housing,maplegreens.504@gmail.com,9825050796,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00512/231017,Ahmedabad,23-10-2017
791,APPLE GREENS,SHREENATHJI INFRASTRUCTURE,"APPLE GREENS, NAGESHWAR MAIN ROAD MADHAPAR, RAJKOT Rajkot 360006",Residential/Group Housing,shreenhtji@gmail.com,9909185888,PR/GJ/RAJKOT/RAJKOT/Others/RAA01874/EX1/240519,Rajkot,05-03-2018
792,MADHUBAN 28,SAMAY CONSTRUCTION,"MADHUBAN 28, OPP CADILA FARM B/H MAPLE FARM, CHHARODI Ahmedabad 382170",Residential/Group Housing,rohit_7388@hotmail.com,9909912403,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01570/080218,Ahmedabad,08-02-2018
793,SHUKAN RIVERA,SHREE HARI CORPORATION,"SHUKAN RIVERA,OPP. D-MART, SINGANPORE COZWAY ROAD,SINGANPORE,SURAT Surat 395004",Residential/Group Housing,shukanrivera@gmail.com,9824561908,PR/GJ/SURAT/SURAT CITY/SUDA/RAA04949/280219,Surat,28-02-2019
794,DIVYAKUNJ PARISAR,B.M.ENTERPRISE,"201,PRUTHVI COMPLEX NR. REGENTA HOTEL, USMANPURA Ahmedabad 380013",Residential/Group Housing,bmbuildcon89@yahoo.com,9925188835,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00300/EX1/071218,Ahmedabad,29-09-2017
