Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,No. of Flats/Apartments constructed,No. of Flats/ Apartments booked,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING,Document URL,OC Document Path
305 OF 2017 DATED 16-10-2017,1.24 ACRES GROUP HOUSING,MEENAL HOUSING PVT. LTD.,SURAJKUND,FARIDABAD,30,40,Yes,70,30,10,40,30,50,0,30,0,0,0,7800,3226,1.24 (Acre),31-12-2020,80,ITALIAN /MARBLE /TILES,"MODULAR KITCHEN WITH CHIMNEY, HOB & GRANITE COUNTER",UPVC,L & T,SHINDLER OR EQUIVALENT,L & T,PAINT,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Mzk=,oc\05 OF 2017-OC_uploaded.pdf
264 OF 2017 DATED 03-10-2017,EFAW PLAZA AREA 2.725 ACRES COMMERCIAL COLONY,SUNRAYS INFRASTRUCTURE PVT. LTD.,SECTOR-79,FARIDABAD,15,10,Yes,60,15,15,15,10,0,0,0,0,0,0,0,10,2.725 (Acre),02-12-2020,16.67,STAIRCASE WELL AREA - GRANITE/LOCAL STONE/KOTA STONE BASEMENT - VDF /TRIMIX UNITS - RAW FLOOR ( UNFINISHED) CORRIDORS - GRANITE/LOCAL STONE/KOTA STONE PLAZA - COMMERCIAL TILE/PAVER TILES/LOCAL STONE,N.A,DOORS- HARDWOOD/WPC FRAMES WINDOWS - ALUMINUM ANODIZED/POWER COATED,MODULAR SWITCHED - ANCHOR ROMA /LEGRAND /HAVELLS COMMON AREA / CORRIDOR LED LIGHTS,IN BLOCK-A ( 12 NOS - 4 PASSENGER AND 2 NOS - 13 PASSENGER MRL LIFT) IN BLOCK-B ( 7 NOS - 4 PASSENGER AND 1 NOS - 13 PASSENGER MRL LIFT),COPPER WIRING - FINOLEX/HAVELLS/POLYCAB/KEI MODULAR SWITCHES - ANCHOR ROMA /LEGRAND /HAVELLS,UNITS - UNFINISHED FLOOR AND BLOCK WALLS BASEMENT - VDF / TRIMIX FLOORING AND OBD PAINT,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQz,oc\03 OF 2017-OC_uploaded.pdf
HRERA-PKL-PKL-339-2022,THE VALLEY GARDENS,DLF HOMES PANCHKULA PVT. LTD.,"SECTOR 3, VILLAGE BHAGWANPUR
AND ISLAMABAD, PINJORE KALKA URBAN COMPLEX",PANCHKULA,2461,1514,No,492,951,0,0,60,0,0,0,0,0,43649,Not Found,Not Found,34.229 (Acre),Not available,Not available,TILES / MARBLE / GRANITE/ LAMINATE FLOORING/ IPS FLOORING,ACRYLIC EMULSION/ OBD/ WHITEWASH,MS/ ALUMINUM/ WOODEN/ UPVC,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTINGS,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Mjgy,oc\ HRERA-PKL-PKL-339-2022-OC_uploaded.pdf
HRERA-PKL-FBD-76-2018,"PHASE-I, PLOTS, SECTOR-81",COUNTYWIDE PROMOTERS PVT. LTD.,"SECTOR-81, FARIDABAD.",FARIDABAD,400.00,60.00,Yes,230.00,85.00,140.00,0,0,0,0,0,0,0,0.00,Not Found,Not Found,15.12 (Acre),Not available,Not available,NOT APPLICABLE.,NOT APPLICABLE.,NOT APPLICABLE.,NOT APPLICABLE.,NOT APPLICABLE.,NOT APPLICABLE.,NOT APPLICABLE.,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTE1,oc\ HRERA-PKL-FBD-76-2018-OC_uploaded.pdf
198 OF 2017 DATED 15.9.2017,"RPS INFINIA TOWER-3, PHASE-III",RPS INFRASTRUCTURE LTD.,"VILLAGE SARAI KHAWAJA, SECTOR
-27 A, FARIDABAD",FARIDABAD,45,74,No,148,45,0,0,119,0,0,0,0,0,8921.59,233,114,1.68 (Acre),30-09-2023,0,INTERNAL FLOORING OF UNITS : TO BE DONE BY CUSTOMER AS PER PREFERENCE & REQUIREMENT. LOBBY/CORRIDORS/STAIRS: KOTA STONE/VITRIFIED TILES IN PLEASANT SHADES/COMBINATIONS,NOT APPLICABLE,FRAMELESS/UPVC/ALUMINUM FRAME,ISI MARKED LIGHTING FIXTURES IN COMMON AREA,PASSENGER LIFTS OF SUITABLE/APPROVED CAPACITY,ISI MARKED LIGHTING FIXTURES IN COMMON AREA,PLASTER WITH PLEASANT SHADES OF DISTEMPER ON WALLS AND KOTA STONE/VITRIFIED TILES IN PLEASANT SHADES/COMBINATIONS IN FLOORING,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Nzk4,oc\ 198 OF 2017 DATED 15.9.2017-OC_uploaded.pdf
GGM/474/206/2021/42 DATED 27.07.2021,SIGNATURE GLOBAL PARK -II (PHASE II),SINATUREGLOBAL HOMES PVT LTD,"VILLAGE DHUNELA, SECTOR-36",GURUGRAM,266.20,158.80,No,0,110.60,42.40,0,7.10,0,0,0,0,0,0,Not Found,Not Found,2.00 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NDA4,oc\RERA-GRG-859-2021-OC_uploaded.pdf
GGM/883/615/2024/110 DATED 08.11.2024.,GODREJ ASTRA,WONDER CITY BUILDCON LTD.,"SECTOR 54, URBAN ESTATE, GURU
GRAM II",GURUGRAM,244.72,233.72,Yes,870.91,20.52,48.85,465.43,0,0,0,0,0,0,0,Not Found,Not Found,2.759 (Acre),Not available,Not available,VITRIFIED TILES/CERAMIC TILES,"FLOOR: VITRIFIED TILES, WALL: CERAMIC TILES2FT ABOVE COUNTER AND OBD PAINT ONREMAINING AREA, CEILING: OBD PAINT",LAMINATED/PAINTED/POWER COATED FRAMESOF WOODEN/ALUMINIUM/UPVC MATERIAL,AS PER BUILDING NORMS,TOWER 1 & 2: 3 PASSENGER LIFT & 1 SERVICELIFT (EACH),AS PER SPECIFICATION. OF STANDARD MAKE,10 TO 12MM THICK PLASTER ON BLOCKWORKSAND RCC WALLS AND COLUMNS WITH CEMENTMORTAR OF 1:5,Not Found,Not Available
GGM/881/613/2024/108 DATED 04.11.2024,SS CAMASA,NORTH STAR TOWERS PRIVATE LIMITED,"SECTOR 90, VILLAGE BADHA & NA
WADA FATEHPUR",GURUGRAM,506,289,No,722,1112,144,72,578,0,0,0,0,0,0,Not Found,Not Found,5.0456 (Acre),Not available,Not available,VITRIFIED TILE,STONE COUNTER WITH SINGLE LEVER CP FITTINGS AND SINK,EXTERNAL- UPVC FRAMES WITH SLIDING GLASS SHUTTERS INTERNAL - MARANDI WOOD FRAMES,ISI MARKED FITTINGS,EACH TOWER HAS BEEN PROVIDED 03 NOS PASSANGER LIFTS AND 01 SERVICE LIFT,ISI MARKED FITTINGS,OIL BOUND DISTEMPER,Not Found,Not Available
GGM/880/612/2024/107 DATED 23.10.2024,ELDECO FAIRWAY RESERVE,ELDECO INFRASTRUCTURE AND PROPERTIES LIMITED,"SECTOR-80, MANESAR, GURUGRAM",GURUGRAM,128.26,219.00,No,1039.20,0,81.20,260.00,1268.00,0,0,25.00,0,0,0,Not Found,Not Found,33752.00 (Sqr/mtrs),Not available,Not available,MARBLE/ STONE/ TILES/ LAMINATED WOODEN FLOORING/TREMIX / CC FLOOR / PAVERS,"""FLOORS: MARBLE/ STONE/ TILES; WALLS: VITRIFIED TILES/ CERAMIC TILES/ PLASTIC PAINT/OBD; CEILING: OBD/ PLASTIC PAINT; FLUSH DOOR WITH LAMINATE/ PU/ VENEER FINISH/ GOOD QUALITY PAINT WINDOW/ GLAZING: GLAZED WINDOWS WITH UPVA/AL/MS FRAMES"" GLAZED WINDOWS WITH UPVA/AL/MS","""HARDWOOD /ENGINERED WOOD"" /UPVC/AL/MS FRAMES",MODULAR SWITCHES. SOCKETS & SWITCH BOARDS,2 LIFTS PER TOWER,"MODULAR SWITCHES, SOCKET & SWITCH BOARDS",NA,Not Found,Not Available
GGM/879/611/2024/106 DATED 21.10.2024,WINDCHANTS PHASE C,EXPERION DEVELOPERS PRIVATE LIMITED,SECTOR 112 GURUGRAM,GURUGRAM,185.59,45.42,Yes,85.17,14.74,13.61,303.93,156.02,467.99,29.90,32.75,0,0,0,Not Found,Not Found,1.1965 (Acre),Not available,Not available,"IMPORTED MARBLE, LAMINATED WOODEN FLOORING, ANTI SKID VITRIFIED TILES","VITRIFIED TILES 2' ABOVE KITCHEN COUNTER, REST OF WALLS IN ACRYLIC EMULSION PAINT.","MAIN DOOR TO FLAT - HARDWOOD FRAME WITH VENEERED FLUSH DOOR, ALUMINIUM/ UPVC GLAZINGS WITH FLY NET IN ALL SLIDERS AND PERFORMANCE GLASS.",AS PER DESIGN,"2 TO A CORE, TOTAL 60 NOS. FLATS",AS PER DESIGN,HARDWOOD FRAME,Not Found,Not Available
GGM/870/602/2024/97 DATED 24.09.2024,GODREJ MIRAYA,GODREJ PROJECTS DEVELOPMENT LIMITED,"SECTOR 43, URBAN ESTATE, GURU
GRAM II",GURUGRAM,346,464,Yes,2174,33,123,1241,0,2915,0,0,0,0,0,Not Found,Not Found,5.1575 (Acre),Not available,Not available,VITRIFIED TILES/CERAMIC TILES,"FLOOR: VITRIFIED TILES, WALL: CERAMIC TILES 2FT ABOVE COUNTER AND OBD PAINT ON REMAINING AREA, CEILING: OBD PAINT",LAMINATED/PAINTED/POWER COATED FRAMES OF WOODEN/ALUMINIUM/UPVC MATERIAL,AS PER BUILDING NORMS,TOWER A & B: 3 PASSENGER LIFT & 1 SERVICE LIFT TOWER C: 4 PASSENGER LIFT & 1 SERVICE LIFT,AS PER SPECIFICATION. OF STANDARD MAKE,10 TO 12MM THICK PLASTER ON BLOCKWORKS AND RCC WALLS AND COLUMNS WITH CEMENT MORTAR OF 1:5,Not Found,Not Available
GGM/866/598/2024/93 DATED 09.09.2024,SIGNATUREGLOBAL TWIN TOWER DXP,FOREVER BUILDTECH PRIVATE LIMITED,"VILLAGE-HAYATPUR, SECTOR-84,
GURUGRAM, HARYANA",GURUGRAM,141.20,362.23,No,0,135.51,17.98,0,4.50,0,0,0,0,0,0,Not Found,Not Found,4.6875 (Acre),Not available,Not available,MARBLE/VITRIFIED TILES/ PORCELEIN TILES,MARBLE/VITRIFIED TILES/ PORCELEIN TILES,ALUMINUM FRAMES WITH TOUGHENED GLASS,ISI MARKED,4 NO OF FLATES & 4 LIFTS,ISI MARKED,ACRYLIC EMULSION PAINT,Not Found,Not Available
GGM/865/597/2024/92 DATED 04.09.2024,TARC ISHVA,TARC LIMITED,SECTOR 63A GURUGRAM,GURUGRAM,2055.81,710.79,Yes,2499.31,0,57.59,120.72,931.50,1740.54,185.67,60.95,0,0,0.6225,Not Found,Not Found,6.9500 (Acre),Not available,Not available,TILE/WOODEN FLOORING/MARBLE,SINGLE LEVER COUNTER TOP,WINDOWS - ALUMINIUM POWDER-COATED SECTIONS AND FLUSH DOOR,FAN AND ELECTRIC POINT,2 PASSENGER LIFTS SERVING EVERY APARTMENT,"HEAVY DUTY CONDUTING MODULAR SWITCHES, C CURVE MCB",ACRYLIC EMULSION PAINT,Not Found,Not Available
GGM/863/595/2024/90 DATED 02.09.2024,TREVOC ROYAL RESIDENCES,JHS ESTATE PRIVATE LIMITED,"SECTOR 56, URBAN ESTATE, GURG
AON II, HARYANA",GURUGRAM,566.34,39.06,Yes,1041.31,0,15,386.16,286.62,0,0,31.5,0,0,100.7673,Not Found,Not Found,2.059 (Acre),Not available,Not available,ITALIAN/ IMPORTED MARBLE/ VITRIFIED TILE/LAMINATE WOODEN FLOORING/ ANTISKIDVITRIFIED,WALLS: PLASTER + DADO ABOVE COUNTERUP TO 2FT HIGH IN VITRIFIED TILE,HARDWOOD DOOR FRAME WITH FLUSHDOOR/LAMINATE OR SKIN DOOR PANELS,MODULAR SWITCHES AND SOCKETS,NA,PROVISION ONLY,"PUTTY WITH COMBINATION OF OBD AND ACRYLIC EMULSION, PLASTER NOT REQUIRED FOR RCC SURFACES",Not Found,Not Available
GGM/862/594/2024/89 DATED 28.08.2024,SANCTUARY 105,1000 TREES HOUSING PRIVATE LIMITED,"SECTOR 105, NEAR DAULATABAD F
LYOVER, DWARKA EXPRESSWAY",GURUGRAM,107.49,1625.99,No,1739.37,302.43,20.00,1093.65,206.55,0,0,62.37,0,0,0,Not Found,Not Found,17548.87 (Sqr/mtrs),Not available,Not available,"VITRIFIED TILES FLOORING IN LIVING, DINING & LOBBY, LAMINATED WOODEN/VITRIFIED TILES FLOORING IN BEDROOMS. TILES IN KITCHEN, CERAMIC TILE IN UTILITY/SERVANT ROOM AND TOILETS. BALCONIES WILL BE IN ANTI-SKID CERAMIC FLOORING","ALL KITCHEN COUNTERS IN PRE-POLISHED GRANITE/ MARBLE STONE, ELECTRICAL POINTS FOR CHIMENY , HOB, MICROWAVE & FRIDGE TO BE PROVIDED","MAIN ENTRANCE DOOR FRAME –POLISHED/ENAMEL PAINTED ENGINEERED WOOD DOOR FRAME. ALL INTERNAL DOORS FRAME-LAMINATED/ENAMEL PAINTED ENGINEERED WOOD DOOR FRAME . EXTERNAL WINDOW FRAME OF UPVC SECTIONS,SIZE & SECTION AS PER THE DESIGN OF ARCHITECT",PROVISION FOR ADEQUATE LIGHT & POWER POINTS. TELEPHONE & T.V. OUTLETS IN DRAWING AND MASTER BEDROOM. MOULDED MODULAR PLASTIC SWITCHES &PROTECTIVE; MCB'S,LIFTS TO BE PROVIDED FOR ACCESS TO ALL HABITABLE FLOORS FROM COMMON LOBBY,"PROVISION FOR ADEQUATE LIGHT & POWER POINTS.TELEPHONE & T.V. OUTLETS IN DRAWING, DINING AND ALL BEDROOM; MOULDED MODULAR PLASTIC SWITCHES & PROTECTIVE; MCB'S",OIL BOUND DISTEMPER OF APPROPRIATE COLOUR ON INTERIOR WALLS & CEILINGS,Not Found,Not Available
GGM/860/592/2024/87 DATED 16.08.2024,ESTATE 360,MAX ESTATES GURGAON LIMITED,"VILLAGE-HARSARU, SECTOR 36-A,",GURUGRAM,383.5,382.20,Yes,1500,61.12,46,1200,34.35,8127.93,0,90,0,0,3102.534,Not Found,Not Found,11.80 (Acre),Not available,Not available,BEDROOMS : LAMINATED WOODEN FLOORING OR EQUIVALENT LIVING/ DINING : IMPORTED MARBLE OR EQUIVALENT KITCHEN : PREMIUM QUALITY VITRIFIED TILES,FLOORING: PREMIUM QUALITY VITRIFIED TILES WALL: CERAMIC/ VITRIFIED TILES AND ACRYLIC EMULSION PAINT,ALUMINIUM/ UPVC FRAME,MODULAR SWITCHES & SOCKETS,4 LIFTS - 15 PAX + 1 LIFT - 15 PAX (41 LANDING) 2.5 M/S,MODULAR SWITCHES & SOCKETS,AS PER DESIGN AND SPECIFICATIONS,Not Found,Not Available
GGM/849/581/2024/76 DATED 15.07.2024,4S THE AURRUM,4S DEVELOPERS PRIVATE LIMITED,"VILLAGE ULLAHWAS & BEHRAMPUR,
SECTOR 59 & 63A GURUGRAM",GURUGRAM,166.70,353.00,Yes,350.00,138.11,10.09,990.18,52.93,2257.21,0.00,24.00,0.00,0.00,0,Not Found,Not Found,5.42957 (Acre),Not available,Not available,IMPORTED MARBLE/LAMINATED WOODEN FLOORING/TILES,PREMIUM TILES UPTO 2FT ABOVE COUNTER AND ACRYLIC EMULSION PAINTS IN BALANCE AREA,PAINTED/POLISHED FRAMES WITH PAINTER/LAMINATED/POLISHED/VENEERED FLUSH DOORS,HAVELLS/KEI/POLYCAB OR EQUIVALENT,KONE/THYSENKRUPP OR EQUIVALENT,HAVELLS/KEI/POLYCAB OR EQUIVALENT,ACRYLIC EMULSION PAINT,Not Found,Not Available
GGM/846/578/2024/73 DATED 01.07.2024,GODREJ VRIKSHYA,GODREJ VESTAMARK LLP,SECTOR 103,GURUGRAM,1400.54,836.45,No,3753.42,141.16,157.71,2019.26,0,15784.26,0,0,301.10,0,20651.39,Not Found,Not Found,14.86225 (Acre),Not available,Not available,VITRIFIED TILES / CERAMIC TILES,"FLOOR: VITRIFIED TILES WALL: CERAMIC TILES 2'-0"" ABOVE COUNTER & OIL BOUND DISTEMPER CEILING: OIL BOUND DISTEMPER",LAMINATE FINISH FLUSH DOORS/MOULDED SHUTTER WITH WOODEN FRAME)(PREHUNG- LVL WITH LAMINATE),AS PER BUILDING NORMS,3 IN EACH TOWER- 2 PASSENGER AND 1 SERVICE,AS PER BUILDING NORMS,"PROVIDING AND APPLYING 10 TO 12MM THICK PLASTER TO MASONRY AND RCC WALLS, COLUMNS ETC. IN CEMENT MORTAR 1:5",Not Found,Not Available
GGM/844/576/2024/71 DATED 01.07.2024,M3M ANTALYA HILLS 3,LOON LAND DEVELOPMENT LIMITED,"SECTOR 79 & 79B, GURUGRAM",GURUGRAM,202.20,62.23,Yes,0,33.56,27.46,54.74,43.71,0,0,0,0,0,0,Not Found,Not Found,4.17 (Acre),Not available,Not available,VITRIFIED TILES/LAMINATE WOODEN FOR BEDROOM ; ANTISKID CERAMIC TILES FOR TOILET,"VITRIFIED TILES, PLASTER AND OBD",UPVC / ALUMINIUM POWDER COATED FOR EXTERNAL,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,PLASTER AND OBD,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTE5Mw==,oc\GGM-844-576-2024-71 DATED 01.07.2024-OC_uploaded.pdf
GGM/842/574/2024/69 DATED 24.06.2024,SMARTWORLD ONE DXP PHASE-2,NOURISH DEVELOPERS PRIVATE LIMITED,"SECTOR 113, VILLAGE CHAUMA,GU
RUGRAM",GURUGRAM,261.98,63.60,Yes,0.00,95.40,100.73,114.11,179.08,0.00,0.00,0.00,0.00,0.00,0,Not Found,Not Found,5.1055 (Acre),Not available,Not available,BARE R.C.C. SLAB,NA,ALUMINIUM FRAME,LED TYPE FITTINGS IN COMMON AREA ONLY,PASSENGER AND SERVICE LIFT AS PER VERTICAL TRAFFIC,LED TYPE FITTING COMMON AREA ONLY,GYPSUM PLASTER & PAINT,Not Found,Not Available
GGM/837/569/2024/64 DATED 14.06.2024,LUSHLANDS,ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,"VILLAGE GWAL PAHARI, SECTOR 0
2, GURUGRAM",GURUGRAM,354.25,59.94,Yes,167.67,60.23,41.68,11.55,154.26,1770.39,0,0,0,0,0,208,38,8.349 (Acre),30-06-2029,10,"MARBLE, LAMINATED FLOORING AND WOODEN FLOOR",MARBLE (GREY WILLIAN//EQ UIVALENT)CORIAN COUNTER MODULAR KITCHEN/ EQUIVALENT,DOORS - PANELED DOORS &SS; HARDWARE,ISI STANDARD,AS PER APPLICABLE NORMS,ISI STANDARDS,PAINT FINISH,Not Found,Not Available
GGM/831/563/2024/58 DATED 03.06.2024,SIGNATUREGLOBAL TITANIUM SPR,SIGNATUREGLOBAL (INDIA) LIMITED,"VILLAGE- FAZILPUR JHARSA, SEC
TOR-71, GURUGRAM, HARYANA",GURUGRAM,418.53,662.50,Yes,0,274.43,55.19,0,48.06,0,0,0,0.200,0,2.6877,Not Found,Not Found,14.3825 (Acre),Not available,Not available,IMPORTED MARBLE,IMPORTED MARBLE,"HIGH LAMINATED SHUTTER, FLUSH DOOR SHUTTERS",AS/ SELECTION,"PASSENGER LIFT, SERVICE LIFT, PENTHOUSE INTERNAL LIFT, PRIVATE LIFT FOR EACH TOWER / WING",AS/SELECTION,NA,Not Found,Not Available
GGM/829/561/2024/56 DATED 03.06.2024,ANANTAM,JAI GANGA REALTECH LLP,"VILLAGE BADHA, SECTOR-85",GURUGRAM,784.97,542.78,Yes,2130.31,559.23,224.28,1896.38,44.86,2354.51,0,60.42,0,0,0.41185,Not Found,Not Found,5.29375 (Acre),Not available,Not available,"ITELIEN MARBEL/TILES, WOODEN FLOORING OR EQUIVALENT","ITELIEN MARBEL/TILES, PAINT OR EQUIVALENT, FALSE CEILING OR EQUIVALENT ,FLUSHDOOR WITH SUNMICA/VEENER OR EQUIVALENT",FLUSHDOOR WITH SUNMICA/VEENER -BHUTANI. KALPATRO OR EQUIVALANT,"MODULAR SWITCHES, BOXES, SOCKETS",ISI MARKED AS PER MARKET STANDARD,"MODULAR SWITCHES, BOXES, SOCKETS, MCB,DB ETC.","FALSE CEILING, WALLS-PLASTICEMUSION/ACRYLIC/PAINT FLOORING- ITALIAN/IMPORTED MARBLE",Not Found,Not Available
GGM/828/560/2024/55 DATED 27.05.2024,SOBHA ALTUS,SOBHA LIMITED,"REVENUE ESTATE OF VILLAGE PAW
ALA KHUSRUPUR, SECTOR-106, GURUGRAM",GURUGRAM,133.47,320.44,Yes,0,165.64,12.69,0,8.32,2319.33,0,0,0,0,3266.71,Not Found,Not Found,5.51 (Acre),Not available,Not available,CERAMIC/VITRIFIED,CERAMIC/VITRIFIED,ALUMINIUM/UPVC/GLASS,"SWITCHES, SOCKET, SWITCH BOARD, SWITCH BOARD BOXES,MCB, EXHAUST FAN",SCHINDLER/KONE/OTIS/EQUIVALENT,"SWITCHES, SOCKET, SWITCH BOARD, SWITCH BOARD BOXES,MCB, EXHAUST FAN",PLASTIC EMULSION,Not Found,Not Available
GGM/826/558/2024/53 DATED 24.05.2024,CENTRAL PARK BIGNONIA TOWERS,ST. PATRICKS REALTY PVT. LTD.,"VILLAGE DHUNELA, SECTOR-32 SO
HNA- GURUGRAM, HARYANA",GURUGRAM,425.05,85.01,Yes,850.09,113.35,85.01,340.04,141.68,0,0,0,0,0,2.25425,Not Found,Not Found,7.35625 (Acre),Not available,Not available,"ITALIAN MARBLE, RECON WOODEN, VINYL FLOOR(GYM), RUBBER FLOORING (GYM), EPOXY FLOOR, DECK IPE ( FOR OUTDOOR AREAS), TILE ( UTILITY AND SERVICE AREAS)","TILE CLADDING, SS EQPT., GAS BANK, INDUSTRIAL EXHAUST",FLUSHED DOORS/ FIRE RATED DOORS,SWITCHES/SOCKETS AND SWITCHGEARS,"ITALIAN STONE,VENEER, METAL PROFILES",SWITCHES/SOCKETS AND SWITCHGEARS,NA,Not Found,Not Available
GGM/824/556/2024/51 DATED 13.05.2024,THE SELECT PREMIA,ADORE PROPMART LLP,"VILLAGE SHIKOHPUR AND KHERKI
DAULA SECTOR 77 TEHSIL MANESAR",GURUGRAM,900,900,Yes,800,750,200,500,600,1250,750,0,0,0,0.046,Not Found,Not Found,9.2453 (Acre),Not available,Not available,VITRIFIED TILES/ GRANITE/ MARBLE,"COUNTER TOP - GRANITE/MARBLE TOP, VITRIFIED TILES UP TO 2 FT HEIGHT ABOVE COUNTER",POWER COATED ALUMINIUM/ UPVC,ISI MARKED,4 LIFT IN EACH TOWER,ISI MARKED,OIL BOUND DISTEMPER (OBD)/ ACRYLIC EMULSION,Not Found,Not Available
GGM/823/555/2024/50 DATED 03.05.2024,SEASONS,KEYSTONE WORLD PVT LTD,"SECTOR 77, GURUGRAM",GURUGRAM,162.00,236.00,Yes,100.00,65.00,22.00,450.00,200.00,750,0,100.00,0,0,6280.362,Not Found,Not Found,4.0350 (Acre),Not available,Not available,LIVING ROOM / DINING FAMILY LOUNGE - ITALIAN/ IMPORTED MARBLE BED ROOM-LAMINATED WOODEN FLOOR KITCHEN-TILES BATHROOMS - TILES BALCONIES / TERRACES- TILES SERVANT ROOM & TOILET-TILES APARTMENT LIFT LOBBIES (PRIVATE).-ITALIAN/ IMPORTED MARBLE,"CERAMIC TILES ABOVE KITCHEN PLATFORM UPTO APPROXIMATELY 2 FEET AND LOW VOC ACRYLIC EMULSION PAINT IN THE BALANCE AREA,CEILING - LOW VOC ACRYLIC EMULSION PAINT AND PART POP","DOORS - WOODEN FRAME WITH FLUSH DOOR WITH VENEER FINISH (ON BOTH SIDES) & ARCHITRAVES,UPVC FRAMED SINGLE GLAZING UNIT,WOODEN FRAME WITH FLUSH DOOR WITH BOTH SIDE LAMINATED FINISH & ARCHITRAVE",HEAVY DUTY/ MEDIUM DUTY,HIGH SPEED ELEVATORS,MODULAR,LOW VOC ACRYLIC EMULSION,Not Found,Not Available
GGM/821/553/2024/48 DATED 29.04.2024,M3M ALTITUDE,MANGLAM MULTIPLEX PRIVATE LIMITED,"SECTOR 65, GURUGRAM",GURUGRAM,321.19,127.03,Yes,369.37,144.54,32.12,205.88,64.24,0.00,0.00,0.00,0.00,0.00,0.004,Not Found,Not Found,2.79 (Acre),Not available,Not available,LAMINATED WOODEN FLOORING / VITRIFIED TILES / CERAMIC TILE,"STONE OVER KITCHEN COUNTER, SS SINK","""MAIN DOOR - MODULAR DOORS WITH HARDWARES. BED ROOMS / TOILETS / KITCHEN DOORS: - MODULAR DOORS WITH HARDWARES.""",COMMON AREA LIGHT FIXTURES,HIGH SPEED ELEVATORS (PASSENGER & SERVICE),COMMON AREA LIGHT FIXTURES,AS STATED ABOVE,Not Found,Not Available
GGM/819/551/2024/46 DATED 22.04.2024,DLF PRIVANA WEST,DLF LIMITED,SECTOR 76/77,GURUGRAM,1745.67,604.12,Yes,2120.71,614.09,253.72,0,2230.94,0,0,0,0,0,13365.248,Not Found,Not Found,12.572 (Acre),Not available,Not available,TILES/MARBLE/GRANITE/LAMINATED WOODEN,MODULAR KICTHEN WITH APPLIANCES AS PERPOINT 6.6 CABINETRY AND SS SINK,MS/UPVC/ALWOOD/COMPOSITION MATERIAL,SWITCH BOX AND SOCKETS,BRANDED MAKE,SAME AS POINT 8,NA,Not Found,Not Available
GGM/818/550/2024/45 DATED 22.04.2024,PARQ,KEYWEST EDUINFRA & SERVICES PRIVATE LIMITED,"VILLAGE NAURANGPUR, SECTOR-80",GURUGRAM,164.66,429.71,Yes,60.00,107.29,32.23,41.00,8.57,2708.3,33.3,60,0,0,0.877,Not Found,Not Found,5.6 (Acre),Not available,Not available,MARBLE/ PREMIUM QUALITY TILES/ EQUIVALENT,FLOOR TILES & PAINT,DOUBLE/SINGLE GLASS,LED FIXTURES,PASSENGER/SERVICE/FIREMAN LIFT,LED FIXTURES,PAINT SURFACE,Not Found,Not Available
GGM/812/544/2024/39 DATED 08.04.2024,KRISUMI WATERSIDE RESIDENCES,KRISUMI CORPORATION PVT. LTD.,"SECTOR- 36A, GURUGRAM, HARYAN
A",GURUGRAM,2092.02,692.04,Yes,596.58,497.15,99.43,696.01,123.29,0,0,0,0,0,2.4821,Not Found,Not Found,5.0951 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Available
GGM/808/540/2024/35 DATED 01.04.2024,SOBHA ARANYA PHASE-1,SOBHA LIMITED,"SECTOR-80, REVENUE ESTATE OF
VILLAGE NAURANGPUR, GURUGRAM",GURUGRAM,490.72,300.70,Yes,0,243.66,34.12,0,12.41,0,0,0,0,0,7544.10,Not Found,Not Found,14.81747 (Acre),Not available,Not available,VERTIFIED/CERAMIC TILES,RAK OR EQUIVALENT,TIMBER WITH BOTH SIDE MASONITE SKIN,CLIPSAL- OPALE/EQUIVA LENT,4 FLATS PER FLOOR-D TOWER 3 FLATS PER FLOOR-Z TOWER 3 NO OF LIFTS PER FLOOR,CLIPSAL- OPALE/EQUIVA LENT,EXTERIOR PAINT,Not Found,Not Available
